,Frankee Merch,Internet Of Things,I See The Stars,Sugar Daddy,Better Boogie,One More Factor,Halos Dance,Sunman
08-01-2023 13:48:25.308270,"(8.0, 14.5, 12.0)","(19.0, 75.0, 68.9)","(3.9, 8.2, 6.866666666666666)","(1.85, 2.34, 2.1799999999999997)","(6.0, 8.8, 8.384615384615385)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:26.610225,"(8.0, 14.5, 12.0)","(19.0, 75.0, 208.4)","(3.9, 8.2, 6.866666666666666)","(1.85, 2.34, 2.038666666666667)","(6.0, 8.8, 8.36)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:27.967927,"(8.0, 15.5, 12.0)","(19.0, 230.0, 208.4)","(3.9, 8.2, 6.866666666666666)","(1.85, 2.3, 2.038666666666667)","(6.0, 9.2, 8.36)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:29.228338,"(8.0, 15.5, 12.0)","(19.0, 230.0, 208.4)","(3.9, 8.2, 6.866666666666666)","(1.85, 2.3, 2.038666666666667)","(6.0, 9.2, 8.36)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:30.538086,"(8.0, 15.5, 12.0)","(19.0, 230.0, 208.4)","(3.9, 8.2, 6.866666666666666)","(1.85, 2.28, 2.081176470588235)","(6.0, 9.2, 8.36)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:32.016644,"(8.0, 15.5, 12.0)","(19.0, 230.0, 208.4)","(3.9, 8.2, 6.866666666666666)","(1.85, 2.28, 2.081176470588235)","(6.0, 9.2, 8.36)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:33.490610,"(8.0, 15.5, 13.5)","(19.0, 230.0, 208.4)","(3.9, 8.2, 7.0)","(1.85, 2.28, 2.081176470588235)","(6.0, 9.2, 8.733333333333333)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:34.796131,"(8.0, 15.0, 13.2)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.28, 2.081176470588235)","(6.0, 9.0, 8.733333333333333)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:36.023620,"(8.0, 15.0, 13.2)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.133333333333333)","(1.85, 2.28, 2.081176470588235)","(6.0, 9.0, 8.733333333333333)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:37.316326,"(8.0, 15.0, 13.2)","(19.0, 230.0, 208.4)","(3.9, 8.6, 7.133333333333333)","(1.85, 2.28, 2.081176470588235)","(6.0, 9.0, 8.733333333333333)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:38.595665,"(8.0, 15.0, 13.2)","(19.0, 230.0, 208.4)","(3.9, 8.6, 7.133333333333333)","(1.85, 2.28, 2.081176470588235)","(6.0, 9.0, 8.733333333333333)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:39.876980,"(8.0, 15.0, 13.2)","(19.0, 230.0, 208.4)","(3.9, 8.6, 7.133333333333333)","(1.85, 2.28, 2.081176470588235)","(6.0, 9.0, 8.733333333333333)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:41.035703,"(8.0, 15.0, 13.2)","(19.0, 230.0, 208.4)","(3.9, 8.6, 7.133333333333333)","(1.85, 2.28, 2.081176470588235)","(6.0, 9.0, 8.733333333333333)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:42.239104,"(8.0, 15.0, 13.2)","(19.0, 230.0, 208.4)","(3.9, 8.6, 7.133333333333333)","(1.85, 2.28, 2.081176470588235)","(6.0, 9.0, 8.733333333333333)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:43.617740,"(8.0, 15.0, 14.4)","(19.0, 230.0, 208.4)","(3.9, 8.6, 7.0)","(1.85, 2.28, 2.157142857142857)","(6.0, 9.0, 8.6)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:45.069494,"(8.0, 17.0, 14.4)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.157142857142857)","(6.0, 9.4, 8.6)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:46.416800,"(8.0, 17.0, 13.333333333333332)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.157142857142857)","(6.0, 9.4, 8.36470588235294)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 188.8)"
08-01-2023 13:48:47.711286,"(8.0, 19.0, 14.75)","(19.0, 230.0, 208.4)","(3.9, 8.4, 6.720000000000001)","(1.85, 2.26, 2.157142857142857)","(6.0, 9.6, 8.636363636363637)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:48:48.916744,"(8.0, 19.0, 14.75)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.128)","(6.0, 9.4, 8.636363636363637)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:48:50.159734,"(8.0, 19.0, 14.75)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.128)","(6.0, 9.4, 8.636363636363637)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:48:51.411831,"(8.0, 19.0, 14.75)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.4, 8.866666666666665)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:48:52.531125,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.2, 8.866666666666665)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:48:53.681365,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.2, 8.866666666666665)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:48:54.864664,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.2, 8.866666666666665)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:48:56.216734,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.2, 8.866666666666665)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:48:57.481137,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.2, 8.866666666666665)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:48:58.724053,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.2, 8.866666666666665)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:48:59.861003,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.2, 9.114285714285714)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:00.984516,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.8, 9.114285714285714)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:02.132999,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.8, 9.114285714285714)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:03.322937,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.8, 9.114285714285714)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:04.587690,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.8, 9.114285714285714)","(31.0, 230.0, 177.25)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:05.884722,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 9.8, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:07.099191,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:08.428766,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:09.642394,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:10.808753,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:12.258188,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:13.485764,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:14.735918,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:15.869039,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:17.063964,"(8.0, 18.5, 16.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:18.240886,"(8.0, 18.5, 15.833333333333332)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:19.454764,"(8.0, 18.5, 14.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:20.618329,"(8.0, 18.5, 14.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:21.758235,"(8.0, 18.5, 14.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:22.855990,"(8.0, 18.5, 14.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:24.002420,"(8.0, 18.5, 14.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:25.246139,"(8.0, 18.5, 14.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:26.447891,"(8.0, 18.5, 14.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:27.690202,"(8.0, 18.5, 14.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:28.780362,"(8.0, 18.5, 14.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:29.913086,"(8.0, 18.5, 14.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 9.0)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:31.146258,"(8.0, 18.5, 13.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 8.714285714285714)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:32.393364,"(8.0, 14.5, 13.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 8.714285714285714)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:33.847485,"(8.0, 14.5, 13.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 8.714285714285714)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:35.062927,"(8.0, 14.5, 13.5)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 8.714285714285714)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:36.174525,"(8.0, 18.5, 17.357142857142858)","(19.0, 230.0, 208.4)","(3.9, 8.4, 7.0)","(1.85, 2.26, 2.1266666666666665)","(6.0, 10.0, 8.714285714285714)","(31.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(31.0, 230.0, 127.5)"
08-01-2023 13:49:37.240366,"(9.0, 18.5, 17.357142857142858)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.0)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.0, 8.714285714285714)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 230.0, 127.5)"
08-01-2023 13:49:38.277638,"(9.0, 18.5, 17.357142857142858)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.0)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.0, 8.714285714285714)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 230.0, 127.5)"
08-01-2023 13:49:39.403513,"(9.0, 18.5, 17.357142857142858)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.0)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.0, 8.714285714285714)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 230.0, 127.5)"
08-01-2023 13:49:40.497099,"(9.0, 18.5, 17.357142857142858)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.0)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.0, 8.714285714285714)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 230.0, 127.5)"
08-01-2023 13:49:41.563245,"(9.0, 18.5, 17.357142857142858)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.0)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 10.04)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 230.0, 127.5)"
08-01-2023 13:49:42.564125,"(9.0, 18.5, 17.357142857142858)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.0)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 10.04)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 230.0, 127.5)"
08-01-2023 13:49:43.671288,"(9.0, 18.5, 17.357142857142858)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.0)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 10.04)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 230.0, 127.5)"
08-01-2023 13:49:44.744930,"(9.0, 18.5, 17.357142857142858)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.0)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 10.04)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 230.0, 117.5)"
08-01-2023 13:49:45.891825,"(9.0, 18.5, 15.3)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 10.04)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:49:46.968376,"(9.0, 18.5, 15.3)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 10.04)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:49:48.162953,"(9.0, 18.5, 15.3)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 10.04)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:49:49.308175,"(9.0, 18.5, 15.3)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 10.04)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:49:50.472921,"(9.0, 18.5, 15.3)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 10.04)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:49:51.642784,"(9.0, 18.5, 13.928571428571429)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 10.04)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:49:52.788084,"(9.0, 18.5, 13.928571428571429)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 10.04)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
