,Trajec Holiday,Lady Lightfeet,Outspend,Marion Grace,Finishing Touch,Lucky Stroke
15-12-2022 11:37:33.743018,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.25)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.471428571428572)","(13.0, 100.0, 78.25)"
15-12-2022 11:37:34.626125,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.25)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.471428571428572)","(13.0, 100.0, 78.25)"
15-12-2022 11:37:35.551861,"(12.0, 32.0, 19.4)","(3.3, 6.0, 4.4799999999999995)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.471428571428572)","(13.0, 100.0, 78.25)"
15-12-2022 11:37:36.498490,"(12.0, 32.0, 19.4)","(3.3, 6.0, 4.4799999999999995)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.471428571428572)","(13.0, 100.0, 78.25)"
15-12-2022 11:37:37.363846,"(12.0, 32.0, 19.4)","(3.3, 6.0, 4.4799999999999995)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.471428571428572)","(13.0, 100.0, 78.25)"
15-12-2022 11:37:38.314129,"(12.0, 32.0, 19.4)","(3.3, 6.0, 4.4799999999999995)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.471428571428572)","(13.0, 100.0, 78.375)"
15-12-2022 11:37:39.178218,"(12.0, 32.0, 19.4)","(3.3, 6.0, 4.4799999999999995)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.471428571428572)","(13.0, 100.0, 78.375)"
15-12-2022 11:37:40.163172,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.366666666666666)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.2)","(13.0, 100.0, 78.375)"
15-12-2022 11:37:41.159458,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.366666666666666)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.2)","(13.0, 100.0, 78.375)"
15-12-2022 11:37:42.135694,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.366666666666666)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.2)","(13.0, 100.0, 78.375)"
15-12-2022 11:37:43.370625,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.366666666666666)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.2)","(13.0, 100.0, 78.375)"
15-12-2022 11:37:44.381740,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.366666666666666)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 78.375)"
15-12-2022 11:37:45.357872,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 78.375)"
15-12-2022 11:37:46.506158,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 78.375)"
15-12-2022 11:37:47.414376,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 78.375)"
15-12-2022 11:37:48.400968,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 78.375)"
