,Rheinberg,Remix,Pyrois,Nunthorpe,Thesecondatportsea,High Resolution
11-01-2023 14:18:29.968962,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.926470588235293)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8933846153846152)","(10.0, 16.5, 14.5)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:31.048595,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.926470588235293)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8933846153846152)","(10.0, 16.5, 14.5)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:32.093028,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.926470588235293)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8933846153846152)","(10.0, 16.5, 14.5)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:33.197120,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.926470588235293)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8933846153846152)","(10.0, 16.5, 14.5)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:34.295857,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.926470588235293)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8933846153846152)","(10.0, 16.5, 14.5)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:35.377612,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.926470588235293)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8933846153846152)","(10.0, 16.5, 14.5)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:36.398629,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.926470588235293)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8933846153846152)","(10.0, 16.5, 14.5)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:37.481823,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.926470588235293)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8933846153846152)","(10.0, 16.5, 14.5)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:38.517615,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.837209302325581)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8933846153846152)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:39.751542,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.837209302325581)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8933846153846152)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:40.915881,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.837209302325581)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8792857142857142)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:41.920407,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.837209302325581)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.89, 1.8792857142857142)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:43.128839,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.837209302325581)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.89, 1.8792857142857142)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:44.356101,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.837209302325581)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.89, 1.8792857142857142)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:18:45.525974,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.837209302325581)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.89, 1.8792857142857142)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:46.492346,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.837209302325581)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.89, 1.8792857142857142)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:47.502372,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.845238095238095)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.89, 1.8792857142857142)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:48.556530,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.845238095238095)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8780000000000001)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:49.569715,"(4.2, 5.9, 5.703448275862069)","(10.0, 12.0, 11.845238095238095)","(6.0, 7.6, 7.137777777777778)","(1.7, 1.9, 1.8780000000000001)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:50.497458,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.88888888888889)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.879375)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:51.510637,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.930555555555555)","(6.0, 7.2, 7.08)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
