,Take On,Show Dor,Bourbon Falls,Jamaican Express,Izzies Beau,The Ugly Sister,La Capita,Hautapu
12-01-2023 11:39:17.623448,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:18.881373,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:20.342088,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:21.625065,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:22.897322,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:24.081498,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:25.306262,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:26.555332,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:27.842239,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:29.083005,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:30.228609,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:31.494397,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:32.839847,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:34.156042,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:35.440026,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:36.708548,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:38.010523,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:39.471578,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:40.876959,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:42.226032,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:43.631755,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:45.055167,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:46.681374,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:48.044023,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:49.400215,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:50.676045,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:51.963307,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:53.331678,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:54.671918,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:55.976437,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:57.220029,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:58.525454,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:39:59.834727,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:01.126411,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:02.401423,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:03.716611,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:05.031272,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:06.314386,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:07.612365,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:08.922342,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:10.198784,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:11.482358,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:12.763702,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:13.978519,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:15.258992,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
12-01-2023 11:40:16.453884,"(3.1, 5.9, 5.806557377049181)","(19.0, 65.0, 58.793103448275865)","(5.0, 8.4, 8.245454545454546)","(4.2, 9.4, 8.175)","(21.0, 100.0, 93.27586206896552)","(3.6, 6.0, 5.828571428571429)","(9.0, 21.0, 14.0)","(13.0, 32.0, 19.0)"
