,Incentive,Captain Bond,Boomsong,Iron Will,Hamaki,Zanzibar Gem,Another Cognac,Notifies,Inequality
04-01-2023 15:46:53.970675,"(6.5, 11.5, 10.807692307692308)","(5.5, 8.4, 8.257142857142856)","(9.0, 12.0, 11.84375)","(4.4, 5.4, 5.228571428571429)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.117647058823529)","(15.0, 16.0, 14.666666666666666)","(31.0, 46.0, 45.7)"
04-01-2023 15:46:55.350300,"(6.5, 11.5, 10.807692307692308)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.84375)","(4.4, 5.4, 5.237037037037037)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.666666666666666)","(31.0, 46.0, 45.7)"
04-01-2023 15:46:56.748775,"(6.5, 11.5, 10.9375)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.791666666666666)","(4.4, 5.4, 5.237037037037037)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.666666666666666)","(31.0, 46.0, 45.7)"
04-01-2023 15:46:58.122893,"(6.5, 11.5, 10.9375)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.791666666666666)","(4.4, 5.4, 5.237037037037037)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.666666666666666)","(31.0, 46.0, 45.7)"
04-01-2023 15:46:59.454111,"(6.5, 11.5, 10.9375)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.791666666666666)","(4.4, 5.4, 5.237037037037037)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.666666666666666)","(31.0, 46.0, 45.7)"
04-01-2023 15:47:00.753789,"(6.5, 11.5, 10.9375)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.791666666666666)","(4.4, 5.4, 5.237037037037037)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.666666666666666)","(31.0, 46.0, 45.7)"
04-01-2023 15:47:02.098916,"(6.5, 11.5, 10.9375)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.791666666666666)","(4.4, 5.4, 5.237037037037037)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.666666666666666)","(31.0, 46.0, 45.7)"
04-01-2023 15:47:03.350057,"(6.5, 11.5, 10.9375)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.791666666666666)","(4.4, 5.4, 5.237037037037037)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.666666666666666)","(31.0, 46.0, 45.7)"
04-01-2023 15:47:04.634436,"(6.5, 11.5, 10.9375)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.791666666666666)","(4.4, 5.4, 5.24424778761062)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.875)","(31.0, 46.0, 45.7)"
04-01-2023 15:47:05.934305,"(6.5, 11.5, 10.9375)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.791666666666666)","(4.4, 5.4, 5.24424778761062)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.875)","(31.0, 46.0, 45.7)"
04-01-2023 15:47:07.262082,"(6.5, 11.5, 10.9375)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.791666666666666)","(4.4, 5.4, 5.24424778761062)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.666666666666666)","(31.0, 46.0, 45.7)"
04-01-2023 15:47:08.506574,"(6.5, 11.5, 10.9375)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.791666666666666)","(4.4, 5.4, 5.24424778761062)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.666666666666666)","(31.0, 46.0, 45.7)"
04-01-2023 15:47:09.751197,"(6.5, 11.5, 10.9375)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.791666666666666)","(4.4, 5.4, 5.24424778761062)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.666666666666666)","(31.0, 46.0, 45.7)"
04-01-2023 15:47:11.003736,"(6.5, 11.5, 10.9375)","(5.5, 8.6, 8.257142857142856)","(9.0, 12.0, 11.791666666666666)","(4.4, 5.4, 5.24424778761062)","(7.0, 7.8, 7.777777777777778)","(5.0, 5.7, 5.684615384615385)","(7.0, 9.6, 8.945454545454545)","(15.0, 16.0, 14.666666666666666)","(31.0, 46.0, 45.7)"
