,Carmelized,Lockdown Vanna,Makinlimmargaritas,Playing For Two,Golden Sally,Smokin Lady,Showthemoneyhoney,Polish The Diamond,Xposed Secret,Stryda
07-01-2023 10:13:52.345358,"(11.0, 40.0, 34.2)","(21.0, 230.0, 187.3)","(14.0, 150.0, 32.15384615384615)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.4, 7.0)","(26.0, 230.0, 186.7)","(6.0, 11.0, 9.84)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8461538461538463)"
07-01-2023 10:13:53.596182,"(11.0, 40.0, 34.2)","(21.0, 230.0, 187.3)","(14.0, 36.0, 26.200000000000003)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 10.5, 9.84)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8461538461538463)"
07-01-2023 10:13:54.919560,"(11.0, 40.0, 34.2)","(21.0, 230.0, 187.3)","(14.0, 36.0, 26.200000000000003)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 10.5, 8.92)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8461538461538463)"
07-01-2023 10:13:56.170674,"(11.0, 40.0, 34.2)","(21.0, 230.0, 187.3)","(14.0, 36.0, 26.200000000000003)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 11.5, 8.88888888888889)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8461538461538463)"
07-01-2023 10:13:57.411167,"(11.0, 40.0, 34.2)","(21.0, 230.0, 176.75)","(14.0, 36.0, 26.200000000000003)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 11.0, 8.88888888888889)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8461538461538463)"
07-01-2023 10:13:58.778763,"(11.0, 40.0, 34.2)","(21.0, 230.0, 176.75)","(14.0, 36.0, 26.200000000000003)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 11.0, 8.88888888888889)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8461538461538463)"
07-01-2023 10:14:00.122707,"(11.0, 40.0, 34.2)","(21.0, 230.0, 176.75)","(14.0, 36.0, 26.4)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 11.0, 9.44)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8461538461538463)"
07-01-2023 10:14:01.465532,"(11.0, 40.0, 34.2)","(21.0, 230.0, 176.75)","(14.0, 36.0, 115.5)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 10.0, 9.44)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8461538461538463)"
07-01-2023 10:14:02.715564,"(11.0, 40.0, 34.2)","(21.0, 230.0, 176.75)","(14.0, 150.0, 115.5)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 10.0, 9.44)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8240740740740742)"
07-01-2023 10:14:03.932916,"(11.0, 40.0, 34.2)","(21.0, 230.0, 176.75)","(14.0, 150.0, 115.5)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 10.0, 9.44)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8863636363636365)"
07-01-2023 10:14:05.141895,"(11.0, 40.0, 34.2)","(21.0, 230.0, 176.75)","(14.0, 150.0, 115.5)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 10.0, 9.44)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8863636363636365)"
07-01-2023 10:14:06.401820,"(11.0, 40.0, 34.2)","(21.0, 230.0, 176.75)","(14.0, 150.0, 115.5)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 10.0, 9.44)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8863636363636365)"
07-01-2023 10:14:07.731271,"(11.0, 40.0, 34.2)","(21.0, 230.0, 176.75)","(14.0, 150.0, 115.5)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 10.0, 9.44)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8863636363636365)"
07-01-2023 10:14:09.153554,"(11.0, 40.0, 34.2)","(21.0, 230.0, 176.75)","(14.0, 150.0, 115.5)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 10.0, 9.066666666666666)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8653846153846154)"
07-01-2023 10:14:10.420281,"(11.0, 40.0, 34.2)","(21.0, 230.0, 176.75)","(14.0, 150.0, 115.5)","(10.0, 30.0, 23.333333333333336)","(26.0, 230.0, 187.1)","(5.5, 9.2, 7.0)","(26.0, 230.0, 186.7)","(6.0, 10.0, 9.3)","(31.0, 230.0, 200.57142857142856)","(1.75, 2.0, 1.8653846153846154)"
