,Test The Law,Deep Point,Midnight Rush,Whatsanamegeorge,Zebella,Our Shining Star,Sir Toop,Soames,Im A Dexstar
07-01-2023 13:18:33.270859,"(5.5, 7.2, 7.0)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.55)","(11.0, 17.0, 14.75)","(3.5, 4.2, 3.975)","(9.0, 14.0, 13.25)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.44)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:34.522769,"(5.5, 7.2, 7.0)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.55)","(11.0, 17.0, 14.75)","(3.5, 4.2, 3.975)","(9.0, 14.0, 13.25)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.44)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:35.695496,"(5.5, 7.2, 7.0)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.55)","(11.0, 17.0, 14.75)","(3.5, 4.2, 3.975)","(9.0, 14.0, 13.25)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.44)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:36.941309,"(5.5, 7.2, 7.0)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.56)","(11.0, 17.0, 14.75)","(3.5, 4.2, 3.975)","(9.0, 14.0, 13.25)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.44)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:38.164944,"(5.5, 7.2, 7.0)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.56)","(11.0, 17.0, 14.75)","(3.5, 4.2, 3.975)","(9.0, 14.0, 13.25)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.44)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:39.339018,"(5.5, 7.2, 7.0)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.56)","(11.0, 17.0, 14.75)","(3.5, 4.2, 3.975)","(9.0, 14.0, 13.25)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.44)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:40.551738,"(5.5, 7.2, 7.0)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.56)","(11.0, 17.0, 14.75)","(3.5, 4.2, 3.975)","(9.0, 14.0, 13.25)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.44)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:41.838520,"(5.5, 7.2, 7.0)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.56)","(11.0, 17.0, 14.75)","(3.5, 4.2, 3.975)","(9.0, 14.0, 13.25)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.44)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:43.141693,"(5.5, 7.2, 7.0)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.56)","(11.0, 17.0, 14.75)","(3.5, 4.2, 3.975)","(9.0, 14.0, 13.25)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.44)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:44.462259,"(5.5, 7.2, 7.0)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.56)","(11.0, 17.0, 14.75)","(3.5, 4.2, 3.975)","(9.0, 14.0, 13.25)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.44)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:45.700709,"(5.5, 7.2, 7.0)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.0)","(3.5, 4.2, 3.975)","(9.0, 14.0, 12.636363636363637)","(10.0, 16.0, 15.14)","(8.0, 9.8, 9.44)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:46.902927,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.0)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.7)","(8.0, 9.8, 9.44)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:48.081772,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.061538461538461)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.0, 14.791666666666668)","(8.0, 9.8, 9.221333333333332)","(91.0, 220.0, 165.0)"
