,Chromatic Lass,Little O Little E,Bank Card,Gattolottasparkle,Phantom Queen,Lady Gangster,Las Vegas Blvd,Warriorinthehouse,Blue Mountain,Valued Energy
16-12-2022 10:31:30.185246,"(2.5, 2.74, 2.5275)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.74, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:31.343459,"(2.5, 2.74, 2.5275)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:32.523312,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:33.642638,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:34.802698,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:35.962076,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:37.185086,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:38.393395,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:39.555592,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:40.664674,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:41.830047,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:43.032577,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:44.222219,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:45.426871,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:46.614360,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:47.749577,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:48.862626,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:49.974830,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:51.109683,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:52.217708,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:53.346709,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:54.502601,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:55.641416,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:56.784837,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:31:57.987442,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
