,Tudor Folk,River Matt,Slingshot Snoop,Shes The Grouse,Golden State,Dark Horse
11-01-2023 09:11:48.099190,"(41.0, 400.0, 249.20000000000002)","(3.0, 9.2, 5.152888888888889)","(2.4, 3.5, 3.466470588235294)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 38.0, 27.666666666666668)"
11-01-2023 09:11:49.188031,"(41.0, 400.0, 249.20000000000002)","(3.0, 9.2, 5.152888888888889)","(2.4, 3.5, 3.466470588235294)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 38.0, 27.666666666666668)"
11-01-2023 09:11:50.220014,"(41.0, 400.0, 249.20000000000002)","(3.0, 9.2, 5.152888888888889)","(2.4, 3.5, 3.466470588235294)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 38.0, 27.666666666666668)"
11-01-2023 09:11:51.350249,"(41.0, 400.0, 249.20000000000002)","(3.0, 9.2, 5.152888888888889)","(2.4, 3.5, 3.466470588235294)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 38.0, 27.666666666666668)"
11-01-2023 09:11:52.388075,"(41.0, 400.0, 249.20000000000002)","(3.0, 9.2, 5.152888888888889)","(2.4, 3.5, 3.466470588235294)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 38.0, 27.666666666666668)"
11-01-2023 09:11:53.498407,"(41.0, 400.0, 249.20000000000002)","(3.0, 9.2, 5.152888888888889)","(2.4, 3.5, 3.466470588235294)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 38.0, 27.666666666666668)"
11-01-2023 09:11:54.539282,"(41.0, 99998, 9411.188235294117)","(3.0, 34.0, 17.98909090909091)","(2.4, 3.5, 3.466470588235294)","(6.5, 99998, 9872.457215189874)","(4.8, 21.0, 15.0)","(7.5, 99998, 9872.457215189874)"
11-01-2023 09:11:55.531208,"(41.0, 99998, 9411.188235294117)","(3.0, 34.0, 17.98909090909091)","(2.4, 3.5, 3.466470588235294)","(6.5, 99998, 9872.457215189874)","(4.8, 21.0, 15.0)","(7.5, 99998, 9872.457215189874)"
11-01-2023 09:11:56.420293,"(41.0, 99998, 9411.188235294117)","(3.0, 34.0, 17.98909090909091)","(2.4, 3.5, 3.466470588235294)","(6.5, 99998, 9872.457215189874)","(4.8, 21.0, 15.0)","(7.5, 99998, 9872.457215189874)"
11-01-2023 09:11:57.436141,"(41.0, 99998, 9411.188235294117)","(3.0, 34.0, 17.98909090909091)","(2.4, 3.5, 3.466470588235294)","(6.5, 99998, 9872.457215189874)","(4.8, 21.0, 15.0)","(7.5, 99998, 9872.457215189874)"
11-01-2023 09:11:58.487124,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:11:59.525804,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:00.532965,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:01.527658,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:02.695933,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:03.669761,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:04.555928,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:05.605759,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:06.650738,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:07.680094,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:08.767036,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:09.675163,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
