,Finniss Whisper,Vega Black,Succession,Pink Confetti,Cawbourne Donna,Finniss Eagle,Dashing Kara,Hey Day
06-01-2023 12:46:06.788287,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.107692307692307)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:07.889528,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.533333333333333)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:09.068881,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.0)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:10.237507,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.0)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:11.338079,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.0)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:12.500227,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.0)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:13.580735,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.0)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:14.584491,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.266666666666667)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:15.708414,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.266666666666667)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:16.864479,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:17.960409,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
