,Dr Hayley,Pipe Cove,Highland Fame,Aquiline Nose,Lily St Regis,Harden Up Tommy,Toxic Turtle,Cha Cha Socks
10,"[datetime.datetime(2022, 11, 28, 19, 8, 47, 971354), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 971354), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 971354), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 971354), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 971354), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 971354), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 971354), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 47, 971354), 31.0, 240.0]"
11,"[datetime.datetime(2022, 11, 28, 19, 8, 49, 106095), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 49, 106095), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 49, 106095), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 49, 106095), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 49, 106095), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 49, 106095), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 49, 106095), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 49, 106095), 31.0, 240.0]"
12,"[datetime.datetime(2022, 11, 28, 19, 8, 50, 247402), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 50, 247402), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 50, 247402), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 50, 247402), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 50, 247402), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 50, 247402), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 50, 247402), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 50, 247402), 31.0, 240.0]"
13,"[datetime.datetime(2022, 11, 28, 19, 8, 51, 377217), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 51, 377217), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 51, 377217), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 51, 377217), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 51, 377217), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 51, 377217), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 51, 377217), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 51, 377217), 31.0, 240.0]"
14,"[datetime.datetime(2022, 11, 28, 19, 8, 52, 513199), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 52, 513199), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 52, 513199), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 52, 513199), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 52, 513199), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 52, 513199), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 52, 513199), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 52, 513199), 31.0, 240.0]"
15,"[datetime.datetime(2022, 11, 28, 19, 8, 53, 646452), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 53, 646452), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 53, 646452), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 53, 646452), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 53, 646452), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 53, 646452), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 53, 646452), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 53, 646452), 31.0, 240.0]"
16,"[datetime.datetime(2022, 11, 28, 19, 8, 54, 775372), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 54, 775372), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 54, 775372), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 54, 775372), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 54, 775372), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 54, 775372), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 54, 775372), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 54, 775372), 31.0, 240.0]"
17,"[datetime.datetime(2022, 11, 28, 19, 8, 55, 909253), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 55, 909253), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 55, 909253), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 55, 909253), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 55, 909253), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 55, 909253), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 55, 909253), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 55, 909253), 31.0, 240.0]"
18,"[datetime.datetime(2022, 11, 28, 19, 8, 57, 44361), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 57, 44361), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 57, 44361), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 57, 44361), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 57, 44361), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 57, 44361), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 57, 44361), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 57, 44361), 31.0, 240.0]"
19,"[datetime.datetime(2022, 11, 28, 19, 8, 58, 182529), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 58, 182529), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 58, 182529), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 58, 182529), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 58, 182529), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 58, 182529), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 58, 182529), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 58, 182529), 31.0, 240.0]"
