,Liberty Royal,Maximum Sophie,Inga Letty,Reel It In,Myola Knight,Inter Clem,Silver Power,Indigo Indy
09-01-2023 15:33:01.687804,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:02.724843,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:03.819868,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:04.897820,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:06.015902,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:07.102715,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:08.247184,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:09.371136,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:10.558375,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:11.799738,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
