,Ultimate Ad,Maxwell Robyn Nz,Incognito,Clementsorrell,Sunshine Karamea,Bently Bullet,Will I Am,Ice Blaster,The Maldives
10-01-2023 13:19:16.053800,"(6.0, 9.4, 8.166666666666668)","(2.05, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 33.75)","(51.0, 220.0, 71.25)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 37.78571428571429)"
10-01-2023 13:19:17.414075,"(6.0, 9.4, 8.166666666666668)","(2.05, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 33.75)","(51.0, 220.0, 71.25)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 37.78571428571429)"
10-01-2023 13:19:18.811070,"(6.0, 9.4, 8.166666666666668)","(2.05, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 33.75)","(51.0, 220.0, 71.25)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 37.78571428571429)"
10-01-2023 13:19:20.206163,"(6.0, 9.4, 8.166666666666668)","(2.05, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 33.75)","(51.0, 220.0, 71.25)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 37.78571428571429)"
10-01-2023 13:19:21.590944,"(6.0, 9.4, 8.166666666666668)","(2.05, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 33.75)","(51.0, 220.0, 71.25)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 37.78571428571429)"
10-01-2023 13:19:22.878552,"(6.0, 9.4, 8.166666666666668)","(2.05, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 33.75)","(51.0, 220.0, 71.25)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 37.78571428571429)"
10-01-2023 13:19:24.660038,"(6.0, 9.4, 8.166666666666668)","(2.05, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 43.2)","(51.0, 220.0, 84.0)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 47.0)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 35.3)"
10-01-2023 13:19:26.497172,"(6.0, 9.4, 8.166666666666668)","(2.05, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 49.5)","(51.0, 220.0, 84.0)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 47.0)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:27.881669,"(6.0, 9.4, 8.166666666666668)","(2.05, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:29.277030,"(6.0, 9.4, 8.166666666666668)","(2.0, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:30.717335,"(6.0, 9.4, 8.166666666666668)","(2.0, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:32.281667,"(6.0, 9.4, 8.166666666666668)","(2.0, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:33.760300,"(6.0, 9.4, 8.166666666666668)","(2.0, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:35.096669,"(6.0, 9.4, 8.166666666666668)","(2.0, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:36.775411,"(6.0, 9.4, 8.166666666666668)","(2.0, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 32.6)"
