,Champagne Reactor,Mollidor,Baby Ginnie,Lord Denzel,Batman Bart,Matai Reactor,Caught Out,Nevaevabend,Jamaican Resort
15-12-2022 13:40:08.754722,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.3)","(4.2, 6.0, 5.325)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:09.953585,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.3)","(4.2, 6.0, 5.325)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:11.114598,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.3)","(4.2, 6.0, 5.325)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:12.251971,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.3)","(4.2, 6.0, 5.325)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:13.469479,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.3)","(4.2, 6.0, 5.325)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:14.606570,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.3)","(4.2, 6.0, 5.325)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:15.820687,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.3)","(4.2, 6.0, 5.325)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:17.021518,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.3)","(4.2, 6.0, 5.325)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:18.187723,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.3)","(4.2, 6.0, 5.325)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:19.397840,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.3)","(4.2, 6.0, 5.325)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:20.698039,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.3)","(4.2, 6.0, 5.867441860465116)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:22.063980,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.342857142857143)","(4.2, 6.0, 4.279999999999999)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:23.364050,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.342857142857143)","(4.2, 5.9, 5.675000000000001)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:24.611760,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.342857142857143)","(4.2, 5.9, 5.72258064516129)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
15-12-2022 13:40:25.890715,"(16.0, 36.0, 22.333333333333332)","(16.0, 36.0, 19.333333333333332)","(51.0, 150.0, 123.5)","(4.0, 5.8, 4.875)","(2.9, 3.85, 3.33)","(4.4, 6.2, 5.342857142857143)","(4.2, 5.8, 5.72258064516129)","(21.0, 40.0, 28.0)","(21.0, 48.0, 32.0)"
