,Projector,Hello Jett,Rock Icon,Tabasco Lad,Deloris Bale,Edsel Bale,Regenerate
14-12-2022 11:54:16.318395,"(1.55, 1.72, 1.6616666666666666)","(9.0, 18.5, 16.357142857142858)","(71.0, 210.0, 140.0)","(9.0, 16.0, 15.333333333333332)","(4.6, 9.6, 7.0)","(8.5, 20.0, 17.866666666666667)","(15.0, 50.0, 45.84615384615385)"
14-12-2022 11:54:17.344777,"(1.55, 1.72, 1.6494117647058824)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 148.0769230769231)","(9.0, 16.0, 15.636363636363637)","(4.6, 9.6, 8.311764705882354)","(8.5, 20.0, 17.866666666666667)","(15.0, 50.0, 45.84615384615385)"
14-12-2022 11:54:18.355860,"(1.55, 1.72, 1.6494117647058824)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 165.27777777777777)","(9.0, 16.0, 15.636363636363637)","(4.6, 9.4, 8.311764705882354)","(8.5, 20.0, 17.866666666666667)","(15.0, 50.0, 45.84615384615385)"
14-12-2022 11:54:19.644868,"(1.55, 1.72, 1.6494117647058824)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 165.27777777777777)","(9.0, 16.0, 15.636363636363637)","(4.6, 9.2, 7.38)","(8.5, 19.5, 17.166666666666664)","(15.0, 50.0, 47.0)"
14-12-2022 11:54:21.296462,"(1.55, 1.72, 1.6184615384615386)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 165.27777777777777)","(9.0, 16.0, 15.75)","(4.6, 9.2, 7.38)","(9.0, 18.5, 15.5)","(15.0, 50.0, 47.0)"
14-12-2022 11:54:22.615476,"(1.55, 1.72, 1.6494117647058824)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 165.27777777777777)","(9.0, 16.0, 15.75)","(4.6, 9.2, 7.38)","(9.0, 18.5, 16.055555555555557)","(15.0, 50.0, 47.0)"
14-12-2022 11:54:23.720862,"(1.55, 1.72, 1.6494117647058824)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 165.27777777777777)","(9.0, 16.0, 15.75)","(4.6, 9.2, 7.38)","(9.0, 18.5, 16.055555555555557)","(15.0, 50.0, 41.78260869565217)"
14-12-2022 11:54:24.762049,"(1.55, 1.72, 1.6494117647058824)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 165.27777777777777)","(9.0, 16.0, 15.75)","(4.6, 9.2, 7.38)","(9.0, 18.5, 16.5)","(15.0, 50.0, 41.78260869565217)"
14-12-2022 11:54:25.831326,"(1.55, 1.72, 1.6184615384615386)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 165.27777777777777)","(9.0, 16.0, 15.75)","(4.6, 9.2, 7.38)","(9.0, 18.5, 16.5)","(15.0, 50.0, 40.28)"
14-12-2022 11:54:26.885655,"(1.55, 1.72, 1.6564705882352941)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 7.38)","(9.0, 18.5, 16.5)","(15.0, 50.0, 40.28)"
14-12-2022 11:54:27.970047,"(1.55, 1.72, 1.6564705882352941)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 7.1)","(9.0, 18.5, 16.5)","(15.0, 50.0, 40.28)"
14-12-2022 11:54:29.015758,"(1.55, 1.72, 1.6564705882352941)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 6.9)","(9.0, 18.5, 16.5)","(15.0, 50.0, 40.28)"
14-12-2022 11:54:29.979494,"(1.55, 1.72, 1.673846153846154)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 6.9)","(9.0, 18.5, 16.5)","(15.0, 50.0, 40.28)"
14-12-2022 11:54:31.115639,"(1.55, 1.72, 1.673846153846154)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 6.9)","(9.0, 18.5, 16.5)","(15.0, 50.0, 40.28)"
14-12-2022 11:54:32.090972,"(1.55, 1.72, 1.673846153846154)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 6.9)","(9.0, 18.5, 16.5)","(15.0, 50.0, 40.28)"
14-12-2022 11:54:33.063737,"(1.55, 1.72, 1.6564705882352941)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 6.9)","(9.0, 18.5, 16.5)","(15.0, 46.0, 26.235294117647058)"
14-12-2022 11:54:34.036268,"(1.55, 1.72, 1.6564705882352941)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 6.9)","(9.0, 18.5, 16.5)","(15.0, 44.0, 40.85714285714286)"
14-12-2022 11:54:35.013831,"(1.55, 1.72, 1.66)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 6.9)","(9.0, 18.5, 16.5)","(15.0, 44.0, 40.85714285714286)"
14-12-2022 11:54:35.945749,"(1.55, 1.72, 1.66)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 6.9)","(9.0, 18.5, 16.5)","(15.0, 44.0, 40.85714285714286)"
14-12-2022 11:54:36.893805,"(1.55, 1.72, 1.636923076923077)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 6.9)","(9.0, 18.5, 16.5)","(15.0, 44.0, 40.85714285714286)"
14-12-2022 11:54:38.082874,"(1.55, 1.72, 1.6705882352941175)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 6.9)","(9.0, 18.5, 16.5)","(15.0, 42.0, 25.636363636363637)"
14-12-2022 11:54:39.052988,"(1.55, 1.72, 1.6705882352941175)","(9.0, 18.5, 16.92105263157895)","(71.0, 210.0, 175.0)","(9.0, 16.0, 15.75)","(4.6, 9.2, 6.9)","(9.0, 18.5, 16.5)","(15.0, 42.0, 25.243243243243242)"
14-12-2022 11:54:40.014536,"(1.55, 1.72, 1.6705882352941175)","(9.0, 18.5, 17.1)","(71.0, 210.0, 179.03846153846155)","(9.0, 16.0, 15.75)","(4.6, 8.6, 7.199999999999999)","(9.0, 18.0, 16.2)","(15.0, 42.0, 27.238095238095237)"
14-12-2022 11:54:41.056162,"(1.55, 1.72, 1.6818181818181817)","(9.0, 18.5, 16.7)","(71.0, 210.0, 179.03846153846155)","(9.0, 16.0, 15.333333333333332)","(4.6, 8.4, 7.454545454545455)","(9.0, 18.0, 16.2)","(15.0, 42.0, 27.238095238095237)"
14-12-2022 11:54:42.047880,"(1.55, 1.72, 1.689032258064516)","(9.0, 18.5, 17.566666666666666)","(71.0, 210.0, 179.03846153846155)","(9.0, 15.5, 14.763157894736842)","(4.6, 8.4, 6.733333333333333)","(9.0, 18.0, 16.2)","(15.0, 42.0, 27.238095238095237)"
