,Krafty Boy,The Dancer,Tom The Curious,Mach Daddy,Smooth Overarm Nz,Pippo Nien,Dark Terror,Dukkah,Terryrama,Eagle Commander
07-12-2022 19:21:51.450437,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.5, 14.166666666666666)","(4.8, 5.6, 5.455555555555556)","(3.9, 99999, 99990)","(17.0, 26.0, 21.047619047619047)","(14.0, 16.0, 14.75)","(8.5, 11.0, 10.857142857142858)","(3.2, 4.0, 3.825)","(11.0, 23.0, 16.666666666666668)"
07-12-2022 19:21:52.792332,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 14.5, 14.166666666666666)","(4.8, 5.9, 5.345454545454546)","(3.9, 99999, 99990)","(17.0, 26.0, 21.047619047619047)","(14.0, 16.0, 14.75)","(8.5, 11.0, 10.65)","(3.2, 4.0, 3.78955223880597)","(11.0, 23.0, 16.666666666666668)"
07-12-2022 19:21:54.163022,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 14.5, 14.166666666666666)","(4.8, 5.4, 6.216666666666667)","(3.9, 99999, 99990)","(17.0, 26.0, 21.047619047619047)","(13.0, 16.0, 14.75)","(8.5, 11.0, 10.333333333333334)","(3.2, 4.0, 3.798360655737705)","(11.0, 23.0, 16.666666666666668)"
07-12-2022 19:21:55.498883,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 14.5, 14.166666666666666)","(4.8, 6.8, 6.216666666666667)","(3.9, 99999, 99990)","(17.0, 26.0, 21.047619047619047)","(13.0, 16.0, 14.5)","(8.5, 11.0, 10.857142857142858)","(3.2, 4.0, 3.798360655737705)","(11.0, 23.0, 16.666666666666668)"
07-12-2022 19:21:56.804476,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 14.5, 14.25)","(4.8, 6.4, 5.85)","(3.9, 99999, 99990)","(17.0, 26.0, 20.666666666666668)","(13.0, 15.5, 14.5)","(8.5, 11.0, 10.4)","(3.2, 4.0, 3.798360655737705)","(11.0, 23.0, 16.666666666666668)"
07-12-2022 19:21:58.132174,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.5)","(4.8, 6.2, 5.9)","(3.9, 99999, 99990)","(17.0, 26.0, 20.666666666666668)","(13.0, 15.5, 14.5)","(8.5, 11.0, 10.4)","(3.2, 4.0, 3.798360655737705)","(11.0, 23.0, 16.666666666666668)"
07-12-2022 19:21:59.495302,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 14.4375)","(4.8, 6.2, 6.1066666666666665)","(3.9, 99999, 99990)","(17.0, 26.0, 20.666666666666668)","(13.0, 15.5, 14.5)","(8.5, 11.0, 10.4)","(3.2, 4.0, 3.798360655737705)","(11.0, 23.0, 16.666666666666668)"
07-12-2022 19:22:00.897472,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 14.4)","(4.8, 6.2, 5.96)","(3.9, 99999, 99990)","(17.0, 26.0, 23.46666666666667)","(13.0, 15.5, 14.5)","(8.5, 11.0, 10.4)","(3.3, 4.0, 3.94375)","(11.0, 23.0, 16.666666666666668)"
07-12-2022 19:22:02.291102,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.2)","(4.8, 6.2, 5.96)","(3.9, 99999, 99990)","(17.0, 28.0, 26.11111111111111)","(13.0, 15.5, 14.714285714285714)","(8.5, 11.0, 10.4)","(3.3, 4.0, 3.9663461538461537)","(11.0, 23.0, 16.666666666666668)"
07-12-2022 19:22:03.660264,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.2, 5.675)","(3.9, 99999, 99990)","(17.0, 28.0, 26.11111111111111)","(13.0, 15.0, 14.25)","(8.5, 11.0, 10.4)","(3.3, 4.0, 3.9663461538461537)","(11.0, 23.0, 16.666666666666668)"
