,Charming Lass,Indian Wells,Always A Show,Summer Lilly,Ebony Tralee,Lend The Moose,Cash Key
04-01-2023 14:14:01.285745,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.35)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 7.975)","(6.0, 12.0, 9.76)"
04-01-2023 14:14:02.479606,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.35)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 7.975)","(6.0, 12.0, 9.76)"
04-01-2023 14:14:03.797322,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.35)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 7.975)","(6.0, 12.0, 9.76)"
04-01-2023 14:14:05.106840,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.35)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 7.975)","(6.0, 12.0, 9.76)"
04-01-2023 14:14:06.408576,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.35)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 7.975)","(6.0, 12.0, 9.76)"
04-01-2023 14:14:07.888942,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.35)","(8.5, 17.0, 10.725000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 7.975)","(6.0, 12.0, 9.76)"
04-01-2023 14:14:09.162006,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.35)","(8.5, 16.5, 10.725000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 7.975)","(6.0, 12.0, 9.76)"
04-01-2023 14:14:10.400107,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.35)","(8.5, 16.5, 10.725000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 7.975)","(6.0, 12.0, 9.76)"
04-01-2023 14:14:11.618606,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.35)","(8.5, 16.5, 10.725000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 7.975)","(6.0, 12.0, 9.76)"
04-01-2023 14:14:12.912614,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.35)","(8.5, 16.5, 10.725000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 7.975)","(6.0, 12.0, 9.76)"
04-01-2023 14:14:14.396347,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.35)","(8.5, 16.5, 10.725000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 7.975)","(6.0, 12.0, 9.76)"
04-01-2023 14:14:15.816901,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.35)","(8.5, 16.5, 10.725000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 7.975)","(6.0, 12.0, 9.76)"
04-01-2023 14:14:17.058023,"(10.0, 23.0, 19.166666666666668)","(8.5, 16.5, 12.55)","(8.5, 16.5, 10.975000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:18.226677,"(10.0, 23.0, 19.333333333333332)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.5, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:19.473369,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:20.709628,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:21.950914,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:23.182329,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:24.390903,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:25.505964,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:26.609471,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:27.679885,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:28.852691,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:30.041332,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:31.264939,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:32.647118,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.0)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:33.970849,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.666666666666666)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:35.204188,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.666666666666666)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:36.246281,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 11.533333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 9.3)"
