,Hearts And Minds,Kazio,Demando,Coastal Town,Rich Memories,Playing It Safe,Laureus,Longtimedreaming,Mahrez,Golwen
08-12-2022 14:10:57.352068,"(6.5, 10.0, 10.825)","(10.0, 15.0, 14.8)","(3.7, 4.8, 5.133333333333334)","(7.5, 8.8, 8.435714285714285)","(20.0, 60.0, 38.57142857142857)","(8.0, 11.0, 10.533333333333333)","(6.5, 8.4, 7.827272727272727)","(15.0, 20.0, 19.029411764705884)","(4.6, 4.9, 4.82755905511811)","(101.0, 290.0, 195.71428571428572)"
08-12-2022 14:10:58.802228,"(6.5, 11.0, 10.825)","(10.0, 15.0, 14.8)","(3.7, 6.0, 5.223076923076923)","(7.5, 8.8, 8.379999999999999)","(20.0, 60.0, 33.333333333333336)","(8.0, 11.0, 10.533333333333333)","(6.5, 8.4, 7.827272727272727)","(15.0, 20.0, 19.029411764705884)","(4.6, 5.0, 4.82755905511811)","(101.0, 290.0, 195.71428571428572)"
08-12-2022 14:11:00.158723,"(6.5, 11.0, 10.825)","(10.0, 15.0, 14.8)","(3.7, 5.9, 5.223076923076923)","(7.5, 8.8, 8.379999999999999)","(20.0, 60.0, 33.333333333333336)","(8.0, 11.0, 10.533333333333333)","(6.5, 8.4, 7.827272727272727)","(15.0, 20.0, 19.029411764705884)","(4.6, 5.0, 4.82755905511811)","(101.0, 290.0, 195.71428571428572)"
08-12-2022 14:11:01.453359,"(6.5, 11.0, 10.825)","(10.0, 15.0, 14.8)","(3.7, 5.9, 5.35)","(7.5, 8.8, 8.379999999999999)","(20.0, 60.0, 33.333333333333336)","(8.0, 11.0, 10.533333333333333)","(6.5, 8.4, 7.827272727272727)","(15.0, 20.0, 19.029411764705884)","(4.6, 5.0, 4.82755905511811)","(101.0, 290.0, 195.71428571428572)"
08-12-2022 14:11:02.770437,"(6.5, 11.0, 10.825)","(10.0, 15.0, 14.8)","(3.7, 5.9, 5.35)","(7.5, 8.8, 8.379999999999999)","(20.0, 60.0, 33.333333333333336)","(8.0, 11.0, 10.533333333333333)","(6.5, 8.4, 7.827272727272727)","(15.0, 20.0, 19.029411764705884)","(4.6, 5.0, 4.82755905511811)","(101.0, 290.0, 195.71428571428572)"
08-12-2022 14:11:04.102075,"(6.5, 11.0, 10.825)","(10.0, 15.0, 14.8)","(3.7, 5.7, 5.025)","(7.5, 8.8, 8.407692307692308)","(20.0, 60.0, 33.333333333333336)","(8.0, 11.0, 10.290909090909091)","(6.5, 8.4, 7.827272727272727)","(15.0, 20.0, 19.029411764705884)","(4.6, 5.0, 4.82755905511811)","(101.0, 290.0, 195.71428571428572)"
08-12-2022 14:11:05.430716,"(6.5, 11.0, 10.825)","(10.0, 15.0, 14.8)","(3.7, 5.7, 5.046153846153846)","(7.5, 8.8, 8.379999999999999)","(20.0, 60.0, 33.333333333333336)","(8.0, 11.0, 10.290909090909091)","(6.5, 8.4, 7.827272727272727)","(15.0, 20.0, 19.029411764705884)","(4.6, 5.0, 4.82755905511811)","(101.0, 290.0, 195.71428571428572)"
08-12-2022 14:11:06.625518,"(6.5, 11.0, 10.9)","(10.0, 15.0, 14.8)","(3.7, 5.6, 5.046153846153846)","(7.5, 8.8, 8.379999999999999)","(20.0, 60.0, 33.333333333333336)","(8.0, 11.0, 10.290909090909091)","(6.5, 8.4, 7.827272727272727)","(15.0, 20.0, 19.029411764705884)","(4.6, 5.0, 4.82755905511811)","(101.0, 290.0, 207.5)"
08-12-2022 14:11:07.869463,"(6.5, 11.0, 10.9)","(10.0, 15.0, 14.8)","(3.7, 5.6, 5.0)","(7.5, 8.8, 8.379999999999999)","(20.0, 60.0, 37.0)","(8.0, 11.0, 9.862499999999999)","(6.5, 8.4, 7.827272727272727)","(15.0, 20.0, 19.029411764705884)","(4.6, 5.0, 4.82755905511811)","(101.0, 290.0, 230.0)"
08-12-2022 14:11:09.166275,"(6.5, 11.0, 10.9)","(10.0, 15.0, 14.8)","(3.7, 5.6, 5.0)","(7.5, 8.8, 8.379999999999999)","(20.0, 55.0, 32.5)","(8.0, 11.0, 9.862499999999999)","(6.5, 8.4, 7.827272727272727)","(15.0, 20.0, 19.029411764705884)","(4.6, 5.0, 4.82755905511811)","(101.0, 280.0, 240.0)"
