,Riverina Knight,Amy Allsorts,Flyaway Becky,Greek Malt,Miss Inspiration,Toms The One,Sketchy Comrade,All Palaver
08-12-2022 13:36:44.916822,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.95, 3.2346153846153847)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:36:46.109771,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.95, 3.2346153846153847)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:36:47.397539,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.95, 3.2346153846153847)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:36:48.678353,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.95, 3.2346153846153847)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:36:50.129449,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.95, 3.625)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:36:51.725497,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:36:53.287296,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:36:54.687673,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:36:55.993410,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:36:57.307495,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:36:58.612276,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:36:59.916584,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:37:01.225987,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:37:02.543706,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 45.625)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 27.53846153846154)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 196.0)"
08-12-2022 13:37:03.848842,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 17.0, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:05.194331,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:06.524288,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 30.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:07.880165,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:09.218386,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:10.549883,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:12.124969,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:13.611802,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:15.080460,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:16.515431,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:17.948346,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:19.335991,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:20.705527,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:22.080408,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:23.438847,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
