,Hell Of A Boy,Buster Block,Bottom Line,Alis Jab,Bonython,Higher Love,Vitae
07-01-2023 14:47:23.632041,"(3.4, 3.9, 3.8235294117647056)","(31.0, 50.0, 35.333333333333336)","(10.0, 17.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.56, 2.52)","(19.0, 44.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:24.903879,"(3.4, 3.9, 3.861764705882353)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:26.153136,"(3.4, 3.9, 3.861764705882353)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:27.378828,"(3.4, 3.9, 3.861764705882353)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:28.572522,"(3.4, 3.9, 3.861764705882353)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:29.713944,"(3.4, 3.9, 3.861764705882353)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:30.787693,"(3.4, 3.9, 3.861764705882353)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:31.778108,"(3.4, 4.0, 3.9008695652173913)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.909090909090909)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:32.895321,"(3.4, 4.0, 3.9008695652173913)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.909090909090909)","(2.4, 2.54, 2.5415384615384617)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:34.028391,"(3.4, 4.0, 3.9008695652173913)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.705555555555556)","(2.4, 2.56, 2.5633333333333335)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:35.038701,"(3.4, 4.0, 3.9558139534883723)","(31.0, 50.0, 33.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.705555555555556)","(2.4, 2.58, 2.5633333333333335)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 38.83333333333333)"
07-01-2023 14:47:36.093822,"(3.4, 4.0, 3.811570247933884)","(31.0, 50.0, 33.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.705555555555556)","(2.4, 2.58, 2.5633333333333335)","(19.0, 32.0, 25.0)","(21.0, 42.0, 38.83333333333333)"
07-01-2023 14:47:37.191025,"(3.4, 4.0, 3.811570247933884)","(31.0, 48.0, 41.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 30.0, 25.0)","(21.0, 42.0, 38.83333333333333)"
07-01-2023 14:47:38.273233,"(3.4, 4.0, 3.805128205128205)","(31.0, 48.0, 41.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 30.0, 25.0)","(21.0, 42.0, 38.83333333333333)"
07-01-2023 14:47:39.391000,"(3.4, 4.0, 3.805128205128205)","(31.0, 48.0, 41.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 30.0, 23.375)","(21.0, 42.0, 38.83333333333333)"
07-01-2023 14:47:40.371162,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 29.0, 23.375)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:41.396978,"(3.4, 4.0, 3.9558139534883723)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 29.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:42.575489,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:43.521855,"(3.4, 4.0, 3.8674418604651164)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:44.560646,"(3.4, 4.0, 3.8674418604651164)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:45.599195,"(3.4, 4.0, 3.8674418604651164)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:46.559309,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:47.540335,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:48.497363,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:49.547699,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.6875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:50.588457,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.6875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:51.572328,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.6875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:52.677474,"(3.4, 4.0, 3.805128205128205)","(31.0, 44.0, 40.0)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.6875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:53.730494,"(3.4, 4.0, 3.805128205128205)","(31.0, 44.0, 40.0)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.6875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:54.722818,"(3.4, 4.0, 3.805128205128205)","(31.0, 44.0, 40.0)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.6875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:55.695561,"(3.4, 4.0, 3.805128205128205)","(31.0, 44.0, 40.0)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.6875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:56.687195,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 38.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:57.716680,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 38.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:58.716925,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 38.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:59.698933,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 38.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:00.700593,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 38.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:01.715668,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:02.670255,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:03.742249,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:04.865376,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:05.913237,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:06.988930,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:08.064680,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:09.142866,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:10.254165,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:11.373571,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:12.447979,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:13.487855,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:14.463410,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:15.480869,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:16.454827,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.76875)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:17.522363,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.76875)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:18.754635,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.76875)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:19.738735,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.76875)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:20.738096,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 32.666666666666664)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.76875)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:48:21.864861,"(3.4, 4.0, 3.805128205128205)","(31.0, 42.0, 31.0)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.76875)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:22.872448,"(3.4, 4.0, 3.805128205128205)","(31.0, 40.0, 31.0)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.76875)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:23.912229,"(3.4, 4.0, 3.805128205128205)","(31.0, 40.0, 31.0)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.76875)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:25.082106,"(3.4, 4.0, 3.805128205128205)","(31.0, 40.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.88421052631579)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:26.146135,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.88421052631579)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:27.231584,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.88421052631579)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:28.415304,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.88421052631579)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:29.549873,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.88421052631579)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:30.648679,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.88421052631579)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:31.638084,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.88421052631579)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:32.669031,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.88421052631579)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:33.702816,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.88421052631579)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:34.802131,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.88421052631579)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:35.888203,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.88421052631579)","(2.4, 2.58, 2.5425)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:37.006175,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.757142857142857)","(2.4, 2.58, 2.5415384615384617)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:38.050628,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.757142857142857)","(2.4, 2.56, 2.5415384615384617)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:39.242035,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.757142857142857)","(2.4, 2.56, 2.5415384615384617)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:40.460887,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.76875)","(2.4, 2.56, 2.5633333333333335)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:41.475629,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.76875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:42.474590,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 12.137931034482758)","(3.2, 5.5, 4.76875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:43.508550,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 12.137931034482758)","(3.2, 5.5, 4.76875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:44.574492,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 12.137931034482758)","(3.2, 5.5, 4.76875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:45.566489,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 12.070175438596491)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:46.607072,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 16.0, 12.070175438596491)","(3.2, 5.5, 4.664285714285714)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:47.641077,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 15.5, 13.166666666666666)","(3.2, 5.5, 4.757142857142857)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 22.666666666666668)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:48.630166,"(3.4, 4.0, 3.805128205128205)","(31.0, 38.0, 31.333333333333332)","(10.0, 15.5, 13.166666666666666)","(3.2, 5.5, 4.757142857142857)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 21.142857142857142)","(21.0, 42.0, 33.0)"
07-01-2023 14:48:49.686014,"(3.4, 4.0, 3.8068965517241375)","(31.0, 40.0, 31.0)","(10.0, 16.0, 12.070175438596491)","(3.2, 5.5, 4.566666666666666)","(2.4, 2.98, 2.9345454545454546)","(19.0, 29.0, 22.25)","(21.0, 42.0, 37.5)"
07-01-2023 14:48:50.791935,"(3.4, 4.0, 3.8068965517241375)","(31.0, 40.0, 32.3)","(10.0, 15.5, 14.75)","(3.2, 5.4, 4.62)","(2.4, 2.98, 2.875)","(19.0, 28.0, 22.0)","(21.0, 42.0, 30.666666666666668)"
07-01-2023 14:48:51.915797,"(3.4, 4.0, 3.8068965517241375)","(31.0, 40.0, 34.07692307692308)","(10.0, 15.5, 14.75)","(3.2, 5.4, 4.62)","(2.4, 2.98, 2.875)","(19.0, 28.0, 22.0)","(21.0, 42.0, 37.0)"
07-01-2023 14:48:52.955758,"(3.4, 4.0, 3.8068965517241375)","(31.0, 40.0, 34.07692307692308)","(10.0, 15.5, 14.75)","(3.2, 5.4, 4.828)","(2.4, 2.98, 2.875)","(19.0, 28.0, 22.0)","(21.0, 40.0, 37.0)"
07-01-2023 14:48:54.018197,"(3.4, 4.0, 3.8068965517241375)","(31.0, 40.0, 34.07692307692308)","(10.0, 15.5, 14.75)","(3.2, 5.3, 4.6571428571428575)","(2.4, 2.98, 2.875)","(19.0, 28.0, 25.0)","(21.0, 40.0, 37.0)"
07-01-2023 14:48:55.102680,"(3.4, 4.0, 3.8068965517241375)","(31.0, 40.0, 34.07692307692308)","(10.0, 15.5, 14.75)","(3.2, 5.3, 4.566666666666666)","(2.4, 2.98, 2.875)","(19.0, 28.0, 25.0)","(21.0, 40.0, 37.0)"
07-01-2023 14:48:56.207209,"(3.4, 4.0, 3.8068965517241375)","(31.0, 40.0, 34.07692307692308)","(10.0, 15.5, 14.75)","(3.2, 5.3, 4.855555555555555)","(2.4, 2.98, 2.875)","(19.0, 28.0, 24.5)","(21.0, 40.0, 33.666666666666664)"
07-01-2023 14:48:57.272079,"(3.4, 4.0, 3.8068965517241375)","(31.0, 40.0, 34.07692307692308)","(10.0, 15.5, 14.75)","(3.2, 5.3, 4.855555555555555)","(2.4, 2.98, 2.875)","(19.0, 28.0, 25.666666666666668)","(21.0, 38.0, 33.666666666666664)"
07-01-2023 14:48:58.249541,"(3.4, 4.0, 3.8068965517241375)","(31.0, 40.0, 34.07692307692308)","(10.0, 15.5, 14.75)","(3.2, 5.3, 4.855555555555555)","(2.4, 2.98, 2.875)","(19.0, 28.0, 22.434782608695652)","(21.0, 38.0, 33.666666666666664)"
07-01-2023 14:48:59.277006,"(3.4, 4.0, 3.8068965517241375)","(31.0, 40.0, 34.07692307692308)","(10.0, 15.5, 14.75)","(3.2, 5.3, 4.855555555555555)","(2.4, 2.98, 2.875)","(19.0, 32.0, 22.434782608695652)","(21.0, 38.0, 33.666666666666664)"
07-01-2023 14:49:00.368259,"(3.4, 4.0, 3.8068965517241375)","(31.0, 40.0, 34.07692307692308)","(10.0, 15.5, 14.75)","(3.2, 5.3, 4.855555555555555)","(2.4, 2.98, 2.875)","(19.0, 32.0, 22.434782608695652)","(21.0, 38.0, 33.666666666666664)"
