,Spaltet,By Nine,Smooth Flight,Isolyfe,Midori Burly,Wild Irish Rover,Watch The Clock,Cushy,Mancconi
07-01-2023 14:30:07.518193,"(6.5, 10.5, 8.625)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.6, 4.042857142857143)","(12.0, 28.0, 20.0)","(8.0, 13.0, 11.933333333333334)","(7.5, 10.0, 9.10909090909091)","(6.5, 10.0, 8.799999999999999)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 20.227272727272727)"
07-01-2023 14:30:08.831902,"(6.5, 10.5, 8.625)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.6, 4.042857142857143)","(12.0, 28.0, 20.0)","(8.0, 13.0, 11.933333333333334)","(7.5, 10.0, 9.10909090909091)","(6.5, 10.0, 8.799999999999999)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 20.227272727272727)"
07-01-2023 14:30:09.986620,"(6.5, 10.5, 8.625)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.6, 4.042857142857143)","(12.0, 28.0, 20.0)","(8.0, 13.0, 11.933333333333334)","(7.5, 10.0, 9.10909090909091)","(6.5, 10.0, 8.799999999999999)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 20.227272727272727)"
07-01-2023 14:30:11.186387,"(6.5, 10.0, 8.4)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.6, 4.042857142857143)","(12.0, 28.0, 20.0)","(8.0, 13.0, 11.933333333333334)","(7.5, 10.0, 9.10909090909091)","(6.5, 10.0, 8.799999999999999)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 20.227272727272727)"
07-01-2023 14:30:12.353958,"(6.5, 10.0, 8.4)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.6, 4.042857142857143)","(12.0, 28.0, 20.0)","(8.0, 13.0, 11.933333333333334)","(7.5, 10.0, 9.10909090909091)","(6.5, 10.0, 8.799999999999999)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 20.227272727272727)"
07-01-2023 14:30:13.698727,"(6.5, 10.0, 8.4)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.6, 4.042857142857143)","(12.0, 28.0, 20.0)","(8.0, 13.0, 11.933333333333334)","(7.5, 10.0, 9.10909090909091)","(6.5, 10.0, 8.799999999999999)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 20.227272727272727)"
07-01-2023 14:30:14.975243,"(6.5, 10.0, 8.4)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.6, 4.042857142857143)","(12.0, 28.0, 20.0)","(8.0, 13.0, 11.933333333333334)","(7.5, 10.0, 9.10909090909091)","(6.5, 10.0, 8.799999999999999)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 20.227272727272727)"
07-01-2023 14:30:16.248853,"(6.5, 10.0, 8.4)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.6, 4.154545454545454)","(12.0, 28.0, 19.375)","(8.0, 13.0, 11.5)","(7.5, 10.0, 9.72)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 17.5)"
07-01-2023 14:30:17.577771,"(6.5, 10.0, 8.4)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 19.375)","(8.0, 13.0, 11.5)","(7.5, 10.0, 9.10909090909091)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 17.5)"
07-01-2023 14:30:18.776920,"(6.5, 10.0, 8.4)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 19.375)","(8.0, 13.0, 11.5)","(7.5, 10.0, 9.10909090909091)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 17.5)"
07-01-2023 14:30:19.965903,"(6.5, 10.0, 8.4)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 19.375)","(8.0, 13.0, 11.5)","(7.5, 10.0, 9.10909090909091)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 19.0)"
07-01-2023 14:30:21.301215,"(6.5, 10.0, 9.333333333333334)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 23.07142857142857)","(8.0, 13.0, 12.5)","(7.5, 10.0, 9.712820512820514)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 19.6)"
07-01-2023 14:30:22.543422,"(6.5, 10.0, 9.333333333333334)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 23.4)","(8.0, 13.0, 12.5)","(7.5, 10.0, 9.644444444444446)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 20.909090909090907)"
