,Tiger One,Homebush Solo,Rowdy Shadow,Going Gorillas,Homebush Bingo,Goldstar Odette,Amuri Patti,Goldstar Wade
09-01-2023 09:08:55.453714,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:08:56.556511,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:08:57.607744,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:08:58.732637,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:08:59.752218,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:00.738728,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:01.693787,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:02.750568,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:03.779075,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:04.824075,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:05.841661,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:06.825711,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:07.834092,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:08.825792,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:09.848178,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:10.908160,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
