,Im The Bounty Hunter Nz,Colerne,Orama,Gracie Cullen,Treacherous Saint,Bettor Star
10-01-2023 18:12:05.420781,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 5.1125)","(3.9, 6.6, 5.509090909090909)"
10-01-2023 18:12:06.646964,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 5.1125)","(3.9, 6.6, 5.509090909090909)"
10-01-2023 18:12:07.833277,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 5.1125)","(3.9, 6.6, 5.509090909090909)"
10-01-2023 18:12:08.961856,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 5.1125)","(3.9, 6.6, 5.509090909090909)"
10-01-2023 18:12:10.148016,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 5.1125)","(3.9, 6.6, 5.509090909090909)"
10-01-2023 18:12:11.277076,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 5.1125)","(3.9, 6.6, 5.509090909090909)"
10-01-2023 18:12:12.579650,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 5.1125)","(3.9, 6.6, 5.509090909090909)"
10-01-2023 18:12:13.978845,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 5.1125)","(3.9, 6.6, 5.509090909090909)"
10-01-2023 18:12:15.302917,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 5.1125)","(3.9, 6.6, 5.509090909090909)"
10-01-2023 18:12:16.586588,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 5.1125)","(3.9, 6.6, 5.509090909090909)"
10-01-2023 18:12:17.904333,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 5.1125)","(3.9, 6.6, 5.509090909090909)"
