,Chief Artie,Fitzroy Boy,By By Music,Primed For Victory,Kwinern,Spill The Tears,Casrock,Sertin,Naytellrhi Bird
05-01-2023 17:14:08.533640,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 56.66666666666667)","(9.0, 22.0, 19.77777777777778)","(3.1, 3.2, 3.0666666666666664)","(6.0, 8.6, 8.4)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.178947368421052)","(71.0, 90.0, 77.5)","(101.0, 230.0, 193.33333333333331)"
05-01-2023 17:14:09.941618,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 56.66666666666667)","(9.0, 22.0, 21.393939393939394)","(3.1, 3.2, 3.0666666666666664)","(6.0, 8.6, 8.4)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.341935483870968)","(71.0, 90.0, 77.5)","(101.0, 230.0, 193.33333333333331)"
05-01-2023 17:14:11.290222,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 56.66666666666667)","(9.0, 22.0, 21.393939393939394)","(3.1, 3.2, 3.0666666666666664)","(6.0, 8.6, 8.4)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.341935483870968)","(71.0, 90.0, 77.5)","(101.0, 230.0, 193.33333333333331)"
05-01-2023 17:14:12.617244,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 56.66666666666667)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0666666666666664)","(6.0, 8.6, 8.4)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.341935483870968)","(71.0, 90.0, 77.5)","(101.0, 230.0, 193.33333333333331)"
05-01-2023 17:14:13.963179,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 56.66666666666667)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0666666666666664)","(6.0, 8.6, 8.4)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.341935483870968)","(71.0, 90.0, 77.5)","(101.0, 230.0, 193.33333333333331)"
05-01-2023 17:14:15.352941,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 56.66666666666667)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.25, 3.0749999999999997)","(6.0, 8.6, 8.4)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.268965517241379)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:16.766121,"(3.1, 3.9, 3.81)","(18.0, 60.0, 46.0)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.4)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.268965517241379)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:18.230344,"(3.1, 3.9, 3.81)","(18.0, 60.0, 46.0)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.4)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.268965517241379)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:19.600855,"(3.1, 3.9, 3.81)","(18.0, 60.0, 36.666666666666664)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.4)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.268965517241379)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:20.912817,"(3.1, 3.9, 3.81)","(18.0, 60.0, 36.666666666666664)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.434482758620689)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:22.186401,"(3.1, 3.9, 3.81)","(18.0, 60.0, 48.8)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.434482758620689)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
