,No Personality,Tick And Flick,Vecna,Singing Gunn,Fingal Bay,Lifes A Vision,Always Broke,Rhino Buster
08-01-2023 17:52:52.191488,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.5, 10.142857142857142)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.5, 10.428571428571429)","(14.0, 36.0, 22.944444444444443)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:52:53.219441,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.5, 10.142857142857142)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.5, 10.428571428571429)","(14.0, 36.0, 22.944444444444443)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:52:54.257543,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.5, 10.142857142857142)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.5, 10.428571428571429)","(14.0, 36.0, 22.944444444444443)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:52:55.574901,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.5, 10.142857142857142)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.5, 10.428571428571429)","(14.0, 36.0, 22.944444444444443)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:52:56.660040,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.5, 10.142857142857142)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.5, 10.428571428571429)","(14.0, 36.0, 22.944444444444443)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:52:57.760274,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.5, 10.142857142857142)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.5, 10.428571428571429)","(14.0, 36.0, 22.944444444444443)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:52:58.813377,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.5, 10.142857142857142)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.5, 10.428571428571429)","(14.0, 36.0, 22.944444444444443)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:52:59.881158,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.5, 10.142857142857142)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.5, 10.428571428571429)","(14.0, 36.0, 22.944444444444443)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:53:00.975201,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.5, 10.142857142857142)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.5, 10.428571428571429)","(14.0, 36.0, 22.944444444444443)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:53:02.010894,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.5, 10.142857142857142)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.5, 10.428571428571429)","(14.0, 36.0, 22.944444444444443)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:53:03.091329,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.5, 10.142857142857142)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.5, 10.428571428571429)","(14.0, 36.0, 22.944444444444443)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:53:04.098625,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.5, 10.142857142857142)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.5, 10.428571428571429)","(14.0, 36.0, 22.944444444444443)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:05.150646,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 13.2)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.333333333333332)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
