,Mosht Up,True Crime,Best Side,Isorich,Miss Checkoni,Oakfield Mahogany,Ondo Pasa
07-01-2023 15:50:18.650708,"(10.0, 16.5, 15.0)","(1.65, 2.0, 1.9813953488372094)","(13.0, 26.0, 20.0)","(8.0, 11.5, 9.428571428571429)","(12.0, 23.0, 19.0)","(4.2, 5.4, 4.782352941176471)","(31.0, 170.0, 102.0)"
07-01-2023 15:50:19.647310,"(10.0, 16.5, 15.0)","(1.65, 2.0, 1.9813953488372094)","(13.0, 26.0, 20.0)","(8.0, 11.5, 9.428571428571429)","(12.0, 23.0, 19.0)","(4.2, 5.4, 4.782352941176471)","(31.0, 170.0, 102.0)"
07-01-2023 15:50:20.685117,"(10.0, 16.5, 15.0)","(1.65, 2.0, 1.9813953488372094)","(13.0, 26.0, 20.0)","(8.0, 11.5, 9.428571428571429)","(12.0, 23.0, 19.0)","(4.2, 5.4, 4.782352941176471)","(31.0, 170.0, 102.0)"
07-01-2023 15:50:21.913838,"(10.0, 16.5, 15.0)","(1.65, 2.0, 1.9813953488372094)","(13.0, 26.0, 20.0)","(8.0, 11.5, 9.428571428571429)","(12.0, 23.0, 19.0)","(4.2, 5.4, 4.782352941176471)","(31.0, 170.0, 102.0)"
07-01-2023 15:50:23.056524,"(10.0, 16.5, 14.5)","(1.65, 2.0, 1.9813953488372094)","(13.0, 26.0, 22.166666666666668)","(8.0, 11.5, 9.428571428571429)","(12.0, 23.0, 17.285714285714285)","(4.2, 5.3, 5.18)","(31.0, 170.0, 102.0)"
07-01-2023 15:50:24.224108,"(10.0, 16.5, 14.5)","(1.65, 2.0, 1.9813953488372094)","(13.0, 26.0, 22.166666666666668)","(8.0, 11.5, 9.428571428571429)","(12.0, 23.0, 18.75)","(4.2, 5.3, 5.233333333333333)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:25.243581,"(10.0, 16.5, 15.5)","(1.65, 2.0, 1.9885714285714287)","(13.0, 26.0, 23.125)","(8.0, 11.5, 10.384615384615385)","(12.0, 23.0, 18.75)","(4.2, 5.3, 5.233333333333333)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:26.185838,"(10.0, 16.5, 15.5)","(1.65, 2.0, 1.9885714285714287)","(13.0, 26.0, 23.125)","(8.0, 11.5, 10.384615384615385)","(12.0, 23.0, 18.75)","(4.2, 5.3, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:27.311560,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 26.0, 23.125)","(8.0, 11.5, 10.384615384615385)","(12.0, 23.0, 17.285714285714285)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:28.333022,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 26.0, 23.125)","(8.0, 11.5, 10.384615384615385)","(12.0, 23.0, 17.285714285714285)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:29.324918,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 26.0, 23.125)","(8.0, 11.5, 10.384615384615385)","(12.0, 23.0, 17.285714285714285)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:30.294177,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 26.0, 23.125)","(8.0, 11.5, 10.384615384615385)","(12.0, 23.0, 17.285714285714285)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:31.403839,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 26.0, 23.125)","(8.0, 12.0, 10.542857142857143)","(12.0, 23.0, 18.555555555555557)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:32.546800,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 26.0, 20.0)","(8.0, 12.0, 10.542857142857143)","(12.0, 23.0, 18.555555555555557)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:33.775649,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 26.0, 18.0)","(8.0, 12.0, 10.542857142857143)","(12.0, 23.0, 18.555555555555557)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:34.836185,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 26.0, 18.0)","(8.0, 12.0, 10.542857142857143)","(12.0, 23.0, 18.555555555555557)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:35.794340,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 26.0, 18.0)","(8.0, 12.0, 10.542857142857143)","(12.0, 23.0, 18.555555555555557)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:36.982706,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 26.0, 18.0)","(8.0, 12.0, 10.542857142857143)","(12.0, 23.0, 16.928571428571427)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:38.046714,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 26.0, 18.0)","(8.0, 12.0, 10.542857142857143)","(12.0, 23.0, 16.928571428571427)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:39.113140,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 26.0, 18.0)","(8.0, 12.0, 10.542857142857143)","(12.0, 23.0, 16.928571428571427)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:40.337889,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 25.0, 17.666666666666668)","(8.0, 12.0, 10.542857142857143)","(12.0, 22.0, 17.75)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:41.361113,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 25.0, 17.666666666666668)","(8.0, 12.0, 10.542857142857143)","(12.0, 21.0, 17.75)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:42.398876,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 25.0, 17.666666666666668)","(8.0, 12.0, 10.542857142857143)","(12.0, 20.0, 17.25)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:43.536908,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 25.0, 17.666666666666668)","(8.0, 12.0, 10.542857142857143)","(12.0, 19.5, 17.25)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:44.568608,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 25.0, 17.666666666666668)","(8.0, 12.0, 10.542857142857143)","(12.0, 19.5, 17.25)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:45.501255,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 25.0, 17.666666666666668)","(8.0, 12.0, 10.542857142857143)","(12.0, 19.5, 17.25)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:46.483019,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 25.0, 19.0)","(8.0, 12.0, 10.542857142857143)","(12.0, 19.5, 17.25)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:47.570328,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 24.0, 19.0)","(8.0, 12.0, 10.542857142857143)","(12.0, 19.5, 17.25)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:48.569340,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 24.0, 19.0)","(8.0, 12.0, 10.542857142857143)","(12.0, 19.5, 17.25)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:49.508622,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 24.0, 19.0)","(8.0, 12.0, 10.542857142857143)","(12.0, 19.5, 17.25)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
