,Laughintothebank,Best Virginia,Jackysinthecastle,Golden Sally,No Denying Denis,Sparkleinyoureye,Afleet Penguin
16-12-2022 10:11:05.570573,"(1.4, 1.56, 1.5546428571428572)","(6.0, 7.4, 6.9714285714285715)","(11.0, 18.0, 16.75)","(71.0, 150.0, 132.27272727272728)","(8.5, 13.0, 12.03125)","(26.0, 46.0, 42.82352941176471)","(15.0, 30.0, 29.5)"
16-12-2022 10:11:06.587293,"(1.4, 1.54, 1.5379012345679013)","(6.0, 7.2, 6.9714285714285715)","(11.0, 17.5, 16.75)","(71.0, 150.0, 132.27272727272728)","(8.5, 12.5, 12.03125)","(26.0, 44.0, 42.82352941176471)","(15.0, 30.0, 29.5)"
16-12-2022 10:11:07.539056,"(1.4, 1.54, 1.538888888888889)","(6.0, 7.0, 6.733333333333333)","(11.0, 17.5, 15.9)","(71.0, 150.0, 132.27272727272728)","(8.5, 13.0, 12.555555555555555)","(26.0, 44.0, 42.82352941176471)","(15.0, 30.0, 29.5)"
16-12-2022 10:11:08.489557,"(1.4, 1.54, 1.538888888888889)","(6.0, 7.0, 6.733333333333333)","(11.0, 17.5, 15.9)","(71.0, 150.0, 132.27272727272728)","(8.5, 13.0, 12.555555555555555)","(26.0, 44.0, 42.82352941176471)","(15.0, 30.0, 29.5)"
16-12-2022 10:11:09.446200,"(1.4, 1.54, 1.5326829268292683)","(6.0, 7.0, 6.733333333333333)","(11.0, 17.5, 16.857142857142858)","(71.0, 150.0, 132.27272727272728)","(8.5, 13.0, 12.071428571428571)","(26.0, 42.0, 41.5)","(15.0, 30.0, 29.25)"
16-12-2022 10:11:10.422982,"(1.4, 1.54, 1.532972972972973)","(6.0, 7.0, 6.777777777777778)","(11.0, 17.5, 16.666666666666668)","(71.0, 150.0, 132.27272727272728)","(8.5, 13.0, 11.78125)","(26.0, 42.0, 41.5)","(15.0, 30.0, 29.25)"
16-12-2022 10:11:11.421895,"(1.4, 1.54, 1.532972972972973)","(6.0, 7.2, 6.8)","(11.0, 17.5, 16.666666666666668)","(71.0, 150.0, 132.27272727272728)","(8.5, 13.0, 12.0)","(26.0, 42.0, 41.5)","(15.0, 30.0, 28.0)"
16-12-2022 10:11:12.402624,"(1.35, 1.54, 1.5348993288590604)","(6.0, 7.2, 6.733333333333333)","(11.0, 17.5, 16.666666666666668)","(71.0, 150.0, 132.27272727272728)","(8.5, 13.0, 11.6)","(26.0, 42.0, 44.58823529411765)","(15.0, 30.0, 32.833333333333336)"
16-12-2022 10:11:13.363323,"(1.35, 1.53, 1.5282558139534883)","(6.0, 7.4, 7.209090909090909)","(11.0, 18.0, 17.142857142857142)","(71.0, 150.0, 137.0)","(8.5, 12.5, 12.45618838992333)","(26.0, 46.0, 44.58823529411765)","(15.0, 34.0, 32.833333333333336)"
16-12-2022 10:11:14.357455,"(1.35, 1.54, 1.5317808219178082)","(6.0, 7.6, 7.51578947368421)","(11.0, 17.5, 17.03846153846154)","(71.0, 150.0, 137.0)","(8.5, 12.0, 11.991111111111111)","(26.0, 46.0, 44.58823529411765)","(15.0, 34.0, 30.5)"
16-12-2022 10:11:15.312440,"(1.35, 1.54, 1.5317808219178082)","(6.0, 8.4, 7.666666666666667)","(11.0, 17.5, 16.84375)","(71.0, 150.0, 137.0)","(8.5, 12.0, 11.969196919691969)","(26.0, 46.0, 44.58823529411765)","(15.0, 34.0, 30.5)"
16-12-2022 10:11:16.279356,"(1.35, 1.53, 1.516764705882353)","(6.0, 8.0, 7.907692307692308)","(11.0, 17.5, 16.545454545454547)","(71.0, 150.0, 137.0)","(8.5, 12.0, 11.958424507658643)","(26.0, 46.0, 44.58823529411765)","(15.0, 34.0, 29.294117647058822)"
16-12-2022 10:11:17.261114,"(1.35, 1.53, 1.516764705882353)","(6.0, 8.0, 7.907692307692308)","(11.0, 17.5, 16.545454545454547)","(71.0, 150.0, 135.55555555555554)","(8.5, 11.5, 11.0)","(26.0, 46.0, 41.0)","(15.0, 34.0, 28.285714285714285)"
16-12-2022 10:11:18.276692,"(1.35, 1.53, 1.5080952380952382)","(6.0, 8.2, 7.959999999999999)","(11.0, 17.5, 16.545454545454547)","(71.0, 150.0, 135.55555555555554)","(8.5, 12.0, 11.205882352941176)","(26.0, 46.0, 44.94736842105263)","(15.0, 34.0, 27.333333333333332)"
16-12-2022 10:11:19.248779,"(1.35, 1.53, 1.5051428571428571)","(6.0, 8.2, 8.085714285714285)","(11.0, 17.5, 16.545454545454547)","(71.0, 150.0, 137.0)","(8.5, 11.5, 11.205882352941176)","(26.0, 46.0, 43.1578947368421)","(13.0, 28.0, 27.333333333333332)"
16-12-2022 10:11:20.183615,"(1.35, 1.53, 1.5123648648648649)","(6.0, 8.2, 7.8999999999999995)","(11.0, 17.5, 16.75)","(71.0, 150.0, 131.42857142857144)","(8.5, 11.5, 11.205882352941176)","(26.0, 44.0, 43.30434782608695)","(13.0, 28.0, 27.636363636363637)"
16-12-2022 10:11:21.104631,"(1.35, 1.53, 1.5216746411483253)","(6.0, 8.2, 7.971428571428571)","(11.0, 17.5, 17.136363636363637)","(71.0, 150.0, 133.75)","(8.5, 11.5, 11.333333333333334)","(26.0, 44.0, 43.23809523809524)","(13.0, 28.0, 27.636363636363637)"
16-12-2022 10:11:22.036647,"(1.35, 1.53, 1.5217874396135267)","(6.0, 8.2, 7.971428571428571)","(11.0, 17.5, 17.136363636363637)","(71.0, 150.0, 133.75)","(8.5, 11.5, 11.333333333333334)","(26.0, 44.0, 43.23809523809524)","(13.0, 28.0, 27.636363636363637)"
16-12-2022 10:11:22.991979,"(1.35, 1.53, 1.5217874396135267)","(6.0, 8.2, 7.971428571428571)","(11.0, 18.0, 17.0)","(71.0, 150.0, 133.75)","(8.5, 12.0, 11.6)","(26.0, 44.0, 43.0)","(13.0, 28.0, 27.636363636363637)"
16-12-2022 10:11:24.024948,"(1.35, 1.53, 1.5244827586206897)","(6.0, 8.2, 7.971428571428571)","(11.0, 17.5, 16.75)","(71.0, 150.0, 133.75)","(8.5, 12.0, 11.303571428571429)","(26.0, 44.0, 46.333333333333336)","(13.0, 28.0, 27.77777777777778)"
16-12-2022 10:11:24.965455,"(1.35, 1.53, 1.5273271889400921)","(6.0, 8.2, 7.971428571428571)","(11.0, 17.5, 16.75)","(71.0, 150.0, 133.75)","(8.5, 12.0, 11.303571428571429)","(26.0, 48.0, 46.333333333333336)","(13.0, 28.0, 28.18181818181818)"
16-12-2022 10:11:25.916861,"(1.35, 1.53, 1.5281818181818183)","(6.0, 8.2, 7.971428571428571)","(11.0, 17.0, 16.53846153846154)","(71.0, 150.0, 133.75)","(8.5, 12.0, 11.0)","(26.0, 48.0, 46.333333333333336)","(13.0, 29.0, 28.18181818181818)"
16-12-2022 10:11:26.885592,"(1.35, 1.53, 1.5286915887850467)","(6.0, 8.2, 8.148387096774194)","(11.0, 17.0, 16.4)","(71.0, 150.0, 133.75)","(8.5, 12.0, 11.0)","(26.0, 48.0, 46.333333333333336)","(13.0, 29.0, 28.18181818181818)"
16-12-2022 10:11:27.866026,"(1.35, 1.53, 1.5272093023255815)","(6.0, 8.2, 8.1)","(11.0, 17.0, 16.4)","(71.0, 150.0, 131.42857142857144)","(8.5, 12.0, 10.966666666666667)","(26.0, 48.0, 46.333333333333336)","(13.0, 29.0, 28.666666666666668)"
16-12-2022 10:11:28.832908,"(1.35, 1.53, 1.5270731707317073)","(6.0, 8.2, 8.1)","(11.0, 17.0, 16.4)","(71.0, 150.0, 131.42857142857144)","(8.5, 11.5, 10.966666666666667)","(26.0, 48.0, 46.333333333333336)","(13.0, 29.0, 27.77777777777778)"
16-12-2022 10:11:29.784949,"(1.35, 1.53, 1.5270731707317073)","(6.0, 8.2, 7.971428571428571)","(11.0, 17.0, 16.4)","(71.0, 150.0, 131.42857142857144)","(8.5, 11.5, 10.7)","(26.0, 48.0, 46.333333333333336)","(13.0, 28.0, 27.77777777777778)"
16-12-2022 10:11:30.774327,"(1.35, 1.53, 1.5274358974358975)","(6.0, 8.2, 7.8999999999999995)","(11.0, 17.0, 16.4)","(71.0, 150.0, 131.42857142857144)","(8.5, 11.5, 10.7)","(26.0, 48.0, 46.333333333333336)","(13.0, 28.0, 27.77777777777778)"
16-12-2022 10:11:31.780022,"(1.35, 1.53, 1.5274358974358975)","(6.0, 8.2, 7.8999999999999995)","(11.0, 17.0, 16.4)","(71.0, 150.0, 131.42857142857144)","(8.5, 11.5, 10.75)","(26.0, 48.0, 47.05882352941177)","(13.0, 28.0, 27.77777777777778)"
16-12-2022 10:11:32.794588,"(1.35, 1.53, 1.5266911764705882)","(6.0, 8.2, 8.04)","(11.0, 17.0, 16.4)","(71.0, 150.0, 131.42857142857144)","(8.5, 11.5, 10.9)","(26.0, 48.0, 47.05882352941177)","(13.0, 28.0, 28.666666666666668)"
16-12-2022 10:11:33.811322,"(1.35, 1.53, 1.5270817120622568)","(6.0, 8.2, 8.04)","(11.0, 17.0, 16.4)","(71.0, 150.0, 131.42857142857144)","(8.5, 11.5, 10.76)","(26.0, 48.0, 47.05882352941177)","(13.0, 29.0, 28.666666666666668)"
16-12-2022 10:11:34.807101,"(1.35, 1.53, 1.5272924187725632)","(6.0, 8.2, 7.933333333333333)","(11.0, 17.0, 16.4)","(71.0, 150.0, 131.42857142857144)","(8.5, 11.0, 10.76)","(26.0, 48.0, 47.111111111111114)","(13.0, 29.0, 28.666666666666668)"
16-12-2022 10:11:35.786064,"(1.35, 1.53, 1.5235750000000001)","(6.0, 8.4, 8.1)","(11.0, 17.0, 16.3)","(71.0, 150.0, 131.42857142857144)","(8.5, 11.0, 10.76)","(26.0, 48.0, 47.111111111111114)","(13.0, 29.0, 28.666666666666668)"
16-12-2022 10:11:36.756801,"(1.35, 1.53, 1.523909952606635)","(6.0, 8.2, 7.836363636363636)","(11.0, 17.0, 16.3)","(71.0, 150.0, 131.42857142857144)","(8.5, 10.5, 10.333333333333334)","(26.0, 48.0, 47.2)","(13.0, 29.0, 27.77777777777778)"
16-12-2022 10:11:37.699298,"(1.35, 1.53, 1.5236386138613862)","(6.0, 8.2, 7.8)","(11.0, 17.0, 16.3)","(71.0, 150.0, 131.42857142857144)","(8.5, 11.0, 10.52)","(26.0, 48.0, 47.2)","(13.0, 28.0, 27.77777777777778)"
16-12-2022 10:11:38.647550,"(1.35, 1.53, 1.5245230769230769)","(6.0, 8.2, 7.9837837837837835)","(11.0, 17.0, 16.3)","(71.0, 150.0, 131.42857142857144)","(8.5, 11.0, 10.52)","(26.0, 48.0, 47.2)","(13.0, 28.0, 27.77777777777778)"
16-12-2022 10:11:39.600703,"(1.35, 1.53, 1.523904109589041)","(6.0, 8.2, 7.9037037037037035)","(11.0, 17.0, 16.3)","(71.0, 150.0, 131.42857142857144)","(8.5, 11.0, 10.82857142857143)","(26.0, 48.0, 46.5)","(13.0, 28.0, 27.77777777777778)"
16-12-2022 10:11:40.542095,"(1.35, 1.53, 1.523904109589041)","(6.0, 8.2, 7.836363636363636)","(11.0, 17.0, 16.3)","(71.0, 150.0, 131.42857142857144)","(8.5, 10.5, 10.4)","(26.0, 48.0, 46.0)","(13.0, 28.0, 28.666666666666668)"
16-12-2022 10:11:41.466629,"(1.35, 1.53, 1.523904109589041)","(6.0, 8.2, 7.699999999999999)","(11.0, 17.0, 16.3)","(71.0, 150.0, 131.42857142857144)","(8.5, 10.5, 10.36)","(26.0, 48.0, 46.0)","(13.0, 29.0, 28.666666666666668)"
16-12-2022 10:11:42.444606,"(1.35, 1.53, 1.523904109589041)","(6.0, 8.2, 7.699999999999999)","(11.0, 17.0, 16.3)","(71.0, 150.0, 131.42857142857144)","(8.5, 10.5, 10.36)","(26.0, 48.0, 46.0)","(13.0, 29.0, 28.666666666666668)"
16-12-2022 10:11:43.416464,"(1.35, 1.53, 1.517188612099644)","(6.0, 8.2, 7.699999999999999)","(11.0, 17.0, 16.3)","(71.0, 150.0, 131.42857142857144)","(8.5, 10.5, 11.23076923076923)","(26.0, 48.0, 47.14285714285714)","(13.0, 29.0, 31.421052631578945)"
16-12-2022 10:11:44.423314,"(1.35, 1.53, 1.4904395604395604)","(6.0, 8.2, 7.9799999999999995)","(11.0, 17.0, 16.75)","(71.0, 150.0, 133.75)","(8.5, 12.0, 10.75)","(26.0, 48.0, 46.0)","(13.0, 34.0, 32.90909090909091)"
16-12-2022 10:11:45.417529,"(1.35, 1.53, 1.5099248120300752)","(6.0, 8.2, 7.728571428571428)","(11.0, 18.5, 18.083333333333332)","(71.0, 150.0, 133.75)","(8.5, 12.0, 10.75)","(26.0, 48.0, 42.0)","(13.0, 34.0, 32.90909090909091)"
