,Dennis Choux,Kupido,Lescot,Better Than Banksy,Igotanidea,Sir Bitesalot,Tosen Glory,Irrewarra Gem,One Fornana Rhodes,Lady Merchant,Metsi,Mikki Magic,Eltanin,Greenhill Prince
06-01-2023 12:44:21.040109,"(3.0, 3.9, 3.7384615384615385)","(81.0, 220.0, 170.0)","(41.0, 50.0, 47.0)","(31.0, 55.0, 55.666666666666664)","(4.4, 5.8, 5.266666666666667)","(10.0, 11.0, 10.083333333333334)","(5.5, 7.6, 7.576)","(31.0, 120.0, 90.0)","(5.5, 9.2, 7.314285714285714)","(71.0, 170.0, 123.33333333333333)","(10.0, 17.5, 15.615384615384615)","(71.0, 170.0, 123.33333333333333)","(91.0, 110.0, 100.0)","(21.0, 40.0, 38.25)"
06-01-2023 12:44:23.152262,"(3.0, 3.9, 3.7384615384615385)","(81.0, 220.0, 170.0)","(41.0, 50.0, 47.0)","(31.0, 75.0, 55.666666666666664)","(4.4, 5.8, 5.266666666666667)","(10.0, 11.0, 10.083333333333334)","(5.5, 7.6, 7.576)","(31.0, 120.0, 92.72727272727272)","(5.5, 9.2, 7.314285714285714)","(71.0, 170.0, 123.33333333333333)","(10.0, 17.5, 15.615384615384615)","(71.0, 170.0, 123.33333333333333)","(91.0, 110.0, 100.0)","(21.0, 40.0, 38.25)"
06-01-2023 12:44:25.236605,"(3.0, 3.9, 3.7384615384615385)","(81.0, 220.0, 170.0)","(41.0, 50.0, 47.0)","(31.0, 75.0, 55.666666666666664)","(4.4, 5.8, 5.266666666666667)","(10.0, 11.0, 10.083333333333334)","(5.5, 7.6, 7.576)","(31.0, 120.0, 92.72727272727272)","(5.5, 9.2, 7.314285714285714)","(71.0, 170.0, 123.33333333333333)","(10.0, 17.5, 15.615384615384615)","(71.0, 170.0, 123.33333333333333)","(91.0, 110.0, 100.0)","(21.0, 40.0, 38.25)"
06-01-2023 12:44:27.350824,"(3.0, 3.7, 3.5875)","(81.0, 220.0, 170.0)","(41.0, 50.0, 47.0)","(31.0, 75.0, 55.666666666666664)","(4.4, 5.8, 5.3)","(10.0, 11.0, 10.083333333333334)","(5.5, 7.6, 7.576)","(31.0, 120.0, 92.72727272727272)","(5.5, 9.2, 7.166666666666667)","(71.0, 170.0, 123.33333333333333)","(10.0, 17.5, 15.615384615384615)","(71.0, 170.0, 123.33333333333333)","(91.0, 110.0, 100.0)","(21.0, 40.0, 38.25)"
06-01-2023 12:44:29.367740,"(3.0, 3.7, 3.5875)","(81.0, 220.0, 170.0)","(41.0, 50.0, 47.0)","(31.0, 75.0, 55.666666666666664)","(4.4, 5.8, 5.569230769230769)","(10.0, 11.0, 10.083333333333334)","(5.5, 7.6, 7.576)","(31.0, 120.0, 92.72727272727272)","(5.5, 9.0, 7.166666666666667)","(71.0, 170.0, 123.33333333333333)","(10.0, 17.5, 15.615384615384615)","(71.0, 170.0, 123.33333333333333)","(91.0, 110.0, 100.0)","(21.0, 40.0, 38.25)"
06-01-2023 12:44:31.327744,"(3.0, 3.7, 3.5875)","(81.0, 220.0, 170.0)","(41.0, 50.0, 47.0)","(31.0, 75.0, 54.0)","(4.4, 5.8, 5.569230769230769)","(10.0, 11.0, 10.083333333333334)","(5.5, 7.6, 7.576)","(31.0, 120.0, 92.72727272727272)","(5.5, 9.0, 7.166666666666667)","(71.0, 170.0, 123.33333333333333)","(10.0, 17.5, 15.615384615384615)","(71.0, 170.0, 123.33333333333333)","(91.0, 110.0, 100.0)","(21.0, 40.0, 38.25)"
06-01-2023 12:44:33.294415,"(3.0, 3.7, 3.5875)","(81.0, 220.0, 170.0)","(41.0, 50.0, 47.0)","(31.0, 70.0, 54.0)","(4.4, 5.8, 5.569230769230769)","(10.0, 11.0, 10.083333333333334)","(5.5, 7.6, 7.576)","(31.0, 120.0, 92.72727272727272)","(5.5, 9.0, 7.166666666666667)","(71.0, 170.0, 123.33333333333333)","(10.0, 17.5, 15.615384615384615)","(71.0, 170.0, 123.33333333333333)","(91.0, 110.0, 100.0)","(21.0, 40.0, 38.25)"
06-01-2023 12:44:35.192204,"(3.0, 3.7, 3.5875)","(81.0, 220.0, 170.0)","(41.0, 50.0, 47.0)","(31.0, 70.0, 54.0)","(4.4, 5.8, 5.569230769230769)","(10.0, 11.0, 10.083333333333334)","(5.5, 7.6, 7.576)","(31.0, 120.0, 92.72727272727272)","(5.5, 9.0, 7.166666666666667)","(71.0, 170.0, 123.33333333333333)","(10.0, 17.5, 15.615384615384615)","(71.0, 170.0, 123.33333333333333)","(91.0, 110.0, 100.0)","(21.0, 40.0, 38.25)"
06-01-2023 12:44:37.052620,"(3.0, 3.7, 3.5875)","(81.0, 220.0, 170.0)","(41.0, 50.0, 47.0)","(31.0, 70.0, 54.0)","(4.4, 5.8, 5.569230769230769)","(10.0, 11.0, 10.083333333333334)","(5.5, 7.6, 7.576)","(31.0, 120.0, 92.72727272727272)","(5.5, 9.0, 7.166666666666667)","(71.0, 170.0, 123.33333333333333)","(10.0, 17.5, 15.615384615384615)","(71.0, 170.0, 123.33333333333333)","(91.0, 110.0, 100.0)","(21.0, 40.0, 38.25)"
06-01-2023 12:44:38.833796,"(3.0, 3.7, 3.649397590361446)","(81.0, 220.0, 170.0)","(41.0, 50.0, 46.666666666666664)","(31.0, 70.0, 53.0)","(4.4, 5.8, 5.294117647058823)","(10.0, 11.0, 10.0625)","(5.5, 7.6, 7.580952380952381)","(31.0, 120.0, 74.16666666666667)","(5.5, 9.0, 7.166666666666667)","(71.0, 170.0, 123.33333333333333)","(10.0, 17.5, 14.571428571428571)","(71.0, 170.0, 123.33333333333333)","(91.0, 110.0, 100.0)","(21.0, 40.0, 38.25)"
