,Calico County,Viminele,Ashmolean,Irish Sally,Rose Of Raheen,Sand And Ocean,Show And Go,War And Finance,Zestar,Shades Of Louvre,Forebears,Ellows Hall
12-01-2023 14:45:39.306623,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 132.5)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 140.0)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:45:41.196089,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.381818181818182)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 132.5)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 140.0)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:45:43.134178,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 132.5)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 140.0)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:45:45.091218,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 132.5)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 140.0)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:45:47.046723,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 170.83333333333334)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 140.0)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:45:48.930380,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 170.83333333333334)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 140.0)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:45:50.844859,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 170.83333333333334)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 140.0)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:45:52.794925,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 170.83333333333334)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 140.0)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:45:54.832489,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 170.83333333333334)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 140.0)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:45:56.943379,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 170.83333333333334)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 140.0)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:45:58.800134,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 170.83333333333334)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
