,Blue Cheyenne,Townsville,Egg White,Albert,Allegiance,Black Trumpet,Justa Lil Faith,Butterflyrock,Nick Of Time,Trace Sea
07-01-2023 18:56:22.758077,"(7.0, 8.2, 7.45)","(7.0, 11.5, 9.369565217391305)","(15.0, 17.5, 16.857142857142858)","(4.0, 5.7, 5.233333333333333)","(6.0, 9.0, 8.627906976744185)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.7125)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:24.081063,"(7.0, 8.2, 7.45)","(7.0, 11.5, 9.369565217391305)","(15.0, 17.5, 16.857142857142858)","(4.0, 5.7, 5.233333333333333)","(6.0, 9.0, 8.627906976744185)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.7125)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:25.555178,"(7.0, 8.2, 7.45)","(7.0, 11.0, 10.4)","(15.0, 17.5, 16.857142857142858)","(4.0, 5.7, 5.233333333333333)","(6.0, 9.0, 8.627906976744185)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:26.999680,"(7.0, 8.2, 7.45)","(7.0, 11.0, 9.7)","(15.0, 17.5, 16.857142857142858)","(4.0, 5.7, 5.233333333333333)","(6.0, 9.0, 8.627906976744185)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:28.490647,"(7.0, 8.2, 7.45)","(7.0, 11.0, 10.133333333333333)","(15.0, 17.5, 16.857142857142858)","(4.0, 5.7, 5.233333333333333)","(6.0, 9.0, 8.627906976744185)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:29.866038,"(7.0, 8.2, 7.45)","(7.0, 11.0, 10.35)","(15.0, 17.5, 16.857142857142858)","(4.0, 5.7, 5.233333333333333)","(6.0, 9.0, 8.627906976744185)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:31.320948,"(7.0, 8.4, 7.680000000000001)","(7.0, 11.0, 10.35)","(15.0, 17.5, 16.857142857142858)","(4.0, 5.7, 5.233333333333333)","(6.0, 9.0, 8.627906976744185)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:32.673351,"(7.0, 8.4, 7.745454545454546)","(7.0, 11.0, 10.35)","(15.0, 17.5, 16.857142857142858)","(4.0, 5.7, 5.233333333333333)","(6.0, 9.0, 8.627906976744185)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:34.024708,"(7.0, 8.4, 7.745454545454546)","(7.0, 11.0, 10.35)","(15.0, 17.5, 16.857142857142858)","(4.0, 5.7, 5.233333333333333)","(6.0, 9.0, 8.627906976744185)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:35.357035,"(7.0, 8.4, 7.745454545454546)","(7.0, 11.0, 10.35)","(15.0, 17.5, 16.857142857142858)","(4.0, 5.7, 5.233333333333333)","(6.0, 9.0, 8.707317073170731)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
