,My Own Voice,Flying Jarrad,Will She Stay,Islas Boy,Hanny Darrison,Glasgow Magic,Our Girl Socks,Succeed
05-01-2023 12:23:12.027326,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:13.051598,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:14.132298,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:15.194908,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:16.403651,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:17.531466,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:18.622254,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:19.715124,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:20.789533,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:21.959844,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:23.019789,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:24.121706,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:25.229792,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:26.368627,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:27.480895,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:28.624767,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:29.729139,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:30.793098,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:31.848750,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:32.967860,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:34.037852,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:35.114755,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:36.189230,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:37.209811,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:38.216125,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
05-01-2023 12:23:39.243130,"(5.5, 12.0, 7.858823529411764)","(31.0, 230.0, 100.66666666666667)","(41.0, 230.0, 185.55555555555554)","(11.0, 29.0, 15.25)","(18.0, 60.0, 33.75)","(31.0, 230.0, 131.0)","(6.5, 14.5, 11.064705882352941)","(1.3, 1.66, 1.3717543859649124)"
