,Online Model,Balmy Bob,Loseashoe,Grenade,Champagne Stride,Im Alright Jack,Shes My Little Gem,Lilbitahenrytee,Courtney Katarina
10-01-2023 16:09:19.303088,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 35.0)","(1.26, 1.41, 1.4)","(21.0, 50.0, 43.0)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:21.252351,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 35.0)","(1.26, 1.41, 1.4)","(21.0, 50.0, 43.0)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:22.892608,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 38.0)","(14.0, 29.0, 21.25)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:24.464970,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 38.0)","(14.0, 29.0, 21.25)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:26.059585,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 38.0)","(14.0, 29.0, 21.25)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:27.738266,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 38.0)","(14.0, 29.0, 21.25)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:29.439157,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.366666666666667)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 38.0)","(14.0, 29.0, 21.25)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:30.957151,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.366666666666667)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 39.0)","(14.0, 29.0, 24.714285714285715)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:32.457818,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.366666666666667)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 39.0)","(14.0, 29.0, 24.714285714285715)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:34.090704,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.366666666666667)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 39.0)","(14.0, 29.0, 24.714285714285715)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:35.650919,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.366666666666667)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 39.0)","(14.0, 29.0, 24.714285714285715)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:37.147660,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.366666666666667)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 39.0)","(14.0, 29.0, 24.714285714285715)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:38.690142,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.366666666666667)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 39.0)","(14.0, 29.0, 24.714285714285715)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:40.206220,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.366666666666667)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 39.0)","(14.0, 29.0, 24.714285714285715)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:41.772770,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.366666666666667)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 39.0)","(14.0, 29.0, 24.714285714285715)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:43.227260,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.366666666666667)","(21.0, 50.0, 33.2)","(1.26, 1.41, 1.4)","(21.0, 50.0, 39.0)","(14.0, 29.0, 24.714285714285715)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:44.764164,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.214285714285714)","(21.0, 50.0, 36.5)","(1.26, 1.41, 1.4)","(21.0, 50.0, 39.0)","(14.0, 29.0, 19.333333333333332)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:46.276220,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.214285714285714)","(21.0, 50.0, 36.5)","(1.26, 1.41, 1.4)","(21.0, 50.0, 39.0)","(14.0, 29.0, 19.333333333333332)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:47.745623,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.214285714285714)","(21.0, 50.0, 34.4)","(1.26, 1.41, 1.3542857142857143)","(21.0, 50.0, 36.0)","(14.0, 29.0, 19.666666666666668)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:49.185109,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.214285714285714)","(21.0, 50.0, 34.4)","(1.26, 1.44, 1.358)","(21.0, 48.0, 36.0)","(14.0, 29.0, 19.666666666666668)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:50.552878,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.214285714285714)","(21.0, 50.0, 34.4)","(1.26, 1.43, 1.358)","(21.0, 48.0, 36.0)","(14.0, 29.0, 19.666666666666668)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:52.042987,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 12.0)","(21.0, 50.0, 34.4)","(1.26, 1.43, 1.4128571428571428)","(21.0, 48.0, 36.6)","(14.0, 29.0, 19.666666666666668)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:53.474605,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 13.0, 12.0)","(21.0, 50.0, 34.4)","(1.26, 1.43, 1.4128571428571428)","(21.0, 48.0, 36.6)","(14.0, 29.0, 19.666666666666668)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
