,Sutton Daisy,Velocity Comet,Emerley Bruce,Missile Edition,Girl On Fire,Diplomatic Man
14-12-2022 14:26:03.069994,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 3.866666666666667)","(3.1, 8.0, 4.90625)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:04.173467,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 3.84)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:05.340442,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 3.84)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:06.574075,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 3.84)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:07.733808,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 4.950588235294118)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:08.883910,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 4.950588235294118)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:10.316789,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 4.950588235294118)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:11.579470,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 4.950588235294118)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:12.777213,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 4.950588235294118)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:13.884719,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 4.950588235294118)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:15.025554,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 4.950588235294118)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:16.160909,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 4.950588235294118)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:17.395947,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 4.950588235294118)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:18.665290,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 4.950588235294118)","(3.1, 8.0, 4.875)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 20.0)"
14-12-2022 14:26:19.967184,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.2, 5.486153846153846)","(3.1, 8.0, 6.6)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:26:21.168264,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.0, 5.486153846153846)","(3.1, 7.8, 6.6)","(31.0, 390.0, 299.75)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:22.482539,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.0, 5.486153846153846)","(3.1, 8.0, 4.5)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:24.007050,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.0, 5.486153846153846)","(3.1, 8.0, 4.5)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:25.336025,"(2.3, 3.25, 2.7111111111111112)","(2.7, 6.0, 5.336)","(3.1, 8.0, 6.75)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
