,Criss Cross Lass,Fast Lane Fever,Aston Georgina,Impress Rolls,Crymelon Libby,Pyrenees Blazer,Chasing Boyd,Boots
10-01-2023 14:31:52.112405,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.0, 9.8, 8.2)","(71.0, 560.0, 383.3333333333333)","(12.0, 42.0, 25.5)","(21.0, 65.0, 26.42857142857143)","(3.6, 7.2, 6.4941176470588236)"
10-01-2023 14:31:53.183315,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.0, 9.8, 8.2)","(71.0, 550.0, 383.3333333333333)","(12.0, 42.0, 25.5)","(21.0, 65.0, 26.42857142857143)","(3.6, 7.2, 6.4941176470588236)"
10-01-2023 14:31:54.318032,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.2)","(71.0, 550.0, 383.3333333333333)","(12.0, 42.0, 25.5)","(21.0, 65.0, 26.42857142857143)","(3.6, 7.2, 6.435294117647059)"
10-01-2023 14:31:55.507704,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.2)","(71.0, 550.0, 383.3333333333333)","(12.0, 42.0, 20.766666666666666)","(21.0, 65.0, 26.42857142857143)","(3.6, 7.2, 6.307142857142857)"
10-01-2023 14:31:56.694032,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.2)","(71.0, 550.0, 383.3333333333333)","(12.0, 38.0, 22.333333333333332)","(21.0, 65.0, 26.42857142857143)","(3.6, 7.2, 6.10625)"
10-01-2023 14:31:57.805527,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.2)","(71.0, 550.0, 383.3333333333333)","(12.0, 38.0, 22.333333333333332)","(21.0, 65.0, 26.42857142857143)","(3.6, 7.2, 6.305555555555555)"
10-01-2023 14:31:58.864970,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.5)","(71.0, 550.0, 383.3333333333333)","(12.0, 38.0, 22.333333333333332)","(21.0, 65.0, 26.42857142857143)","(3.6, 7.2, 5.7299999999999995)"
10-01-2023 14:31:59.998903,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.280000000000001)","(71.0, 550.0, 330.0)","(12.0, 38.0, 22.333333333333332)","(21.0, 65.0, 26.42857142857143)","(3.6, 7.2, 6.305555555555555)"
10-01-2023 14:32:01.157730,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.2)","(71.0, 470.0, 330.0)","(12.0, 38.0, 22.333333333333332)","(21.0, 65.0, 31.666666666666664)","(3.6, 7.2, 6.305555555555555)"
10-01-2023 14:32:02.249874,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.2)","(71.0, 470.0, 260.0)","(12.0, 38.0, 22.333333333333332)","(21.0, 55.0, 24.444444444444443)","(3.6, 7.2, 6.305555555555555)"
