,What A Surprise,Awesome Isla,Dr May,Line And Length,Dr Jax,Charlottes Hand,Slingshot Layla,Rawhide Hand
07-12-2022 20:36:51.462715,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 65.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 11.06)"
07-12-2022 20:36:52.576069,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 11.06)"
07-12-2022 20:36:53.737789,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 11.06)"
07-12-2022 20:36:54.935835,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 11.06)"
07-12-2022 20:36:56.169054,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 11.06)"
07-12-2022 20:36:57.330203,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 11.06)"
07-12-2022 20:36:58.511427,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 11.06)"
07-12-2022 20:36:59.747867,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 11.06)"
07-12-2022 20:37:00.949660,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 11.06)"
07-12-2022 20:37:02.205314,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 11.06)"
07-12-2022 20:37:03.342555,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 11.06)"
07-12-2022 20:37:04.542243,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 11.06)"
07-12-2022 20:37:05.706291,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 10.014285714285714)"
07-12-2022 20:37:06.894758,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 10.014285714285714)"
07-12-2022 20:37:08.062394,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 10.014285714285714)"
