,Mitcham Xena,Oliviero,Homebush Axel,Opawa Barb,Nouveau,Laxmans Ganguly,Homebush Benji
10-01-2023 09:16:20.242189,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:21.369412,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:22.506192,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:23.581081,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:24.605345,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:25.604003,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:26.583647,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:27.511607,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:28.453895,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:29.404958,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:30.400773,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:31.410446,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:32.449181,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:33.495661,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:34.576521,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:35.592695,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:36.597942,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:37.611691,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:38.641891,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:39.622659,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:40.639908,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:41.583645,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:42.527083,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
