,Bronze Lady,Lucky Lockett,Hallelujah Baby,Get My Point,Shes Fancy Like,A Rousing Babe,Hot Link,Raucous Tizzy,Standforgrit,Mo Town Gal
07-01-2023 09:23:41.719712,"(14.0, 70.0, 26.794117647058826)","(9.0, 23.0, 14.875)","(16.0, 65.0, 19.933333333333334)","(2.8, 4.8, 3.725)","(26.0, 230.0, 123.25)","(2.7, 5.4, 4.407692307692308)","(14.0, 34.0, 22.5)","(26.0, 130.0, 68.55555555555556)","(26.0, 130.0, 24.607142857142858)","(6.0, 6.4, 6.085)"
07-01-2023 09:23:43.009714,"(14.0, 70.0, 26.794117647058826)","(9.0, 23.0, 14.875)","(16.0, 65.0, 19.933333333333334)","(2.8, 4.7, 4.2125)","(26.0, 230.0, 123.25)","(2.7, 5.4, 4.407692307692308)","(14.0, 34.0, 22.5)","(26.0, 130.0, 68.55555555555556)","(26.0, 130.0, 24.607142857142858)","(6.0, 6.4, 6.085)"
07-01-2023 09:23:44.285859,"(14.0, 70.0, 26.794117647058826)","(9.0, 23.0, 14.875)","(16.0, 65.0, 19.933333333333334)","(2.8, 4.7, 4.2125)","(26.0, 230.0, 123.25)","(2.7, 5.4, 4.407692307692308)","(14.0, 34.0, 22.5)","(26.0, 130.0, 68.55555555555556)","(26.0, 130.0, 24.607142857142858)","(6.0, 6.4, 6.085)"
07-01-2023 09:23:45.517481,"(14.0, 70.0, 26.794117647058826)","(9.0, 23.0, 14.875)","(16.0, 65.0, 19.933333333333334)","(2.8, 4.7, 4.2125)","(26.0, 230.0, 123.25)","(2.7, 5.4, 4.407692307692308)","(14.0, 34.0, 22.5)","(26.0, 130.0, 68.55555555555556)","(26.0, 130.0, 24.607142857142858)","(6.0, 6.4, 6.085)"
07-01-2023 09:23:46.751780,"(14.0, 70.0, 26.794117647058826)","(9.0, 23.0, 14.875)","(16.0, 65.0, 19.933333333333334)","(2.8, 4.7, 4.2125)","(26.0, 230.0, 123.25)","(2.7, 5.4, 4.407692307692308)","(14.0, 34.0, 22.5)","(26.0, 130.0, 68.55555555555556)","(26.0, 130.0, 24.607142857142858)","(6.0, 6.4, 6.085)"
07-01-2023 09:23:48.015684,"(14.0, 70.0, 26.794117647058826)","(9.0, 23.0, 14.875)","(16.0, 65.0, 19.933333333333334)","(2.8, 4.7, 4.2125)","(26.0, 230.0, 123.25)","(2.7, 5.4, 4.407692307692308)","(14.0, 34.0, 22.5)","(26.0, 130.0, 68.55555555555556)","(26.0, 130.0, 24.607142857142858)","(6.0, 6.4, 6.085)"
07-01-2023 09:23:49.207429,"(14.0, 70.0, 26.794117647058826)","(9.0, 23.0, 14.875)","(16.0, 65.0, 19.933333333333334)","(2.8, 4.7, 4.2125)","(26.0, 230.0, 123.25)","(2.7, 5.4, 4.407692307692308)","(14.0, 34.0, 22.5)","(26.0, 130.0, 68.55555555555556)","(26.0, 130.0, 24.607142857142858)","(6.0, 6.4, 6.085)"
07-01-2023 09:23:50.411679,"(14.0, 70.0, 26.794117647058826)","(9.0, 23.0, 14.875)","(16.0, 65.0, 19.933333333333334)","(2.8, 4.7, 4.2125)","(26.0, 230.0, 123.25)","(2.7, 5.4, 4.407692307692308)","(14.0, 34.0, 22.5)","(26.0, 130.0, 68.55555555555556)","(26.0, 130.0, 24.607142857142858)","(6.0, 6.4, 6.085)"
07-01-2023 09:23:51.653973,"(14.0, 70.0, 26.794117647058826)","(9.0, 23.0, 14.875)","(16.0, 65.0, 19.933333333333334)","(2.8, 4.7, 4.2125)","(26.0, 230.0, 123.25)","(2.7, 5.4, 4.407692307692308)","(14.0, 34.0, 22.5)","(26.0, 130.0, 68.55555555555556)","(26.0, 130.0, 24.607142857142858)","(6.0, 6.4, 6.085)"
07-01-2023 09:23:53.008771,"(14.0, 70.0, 26.794117647058826)","(9.0, 23.0, 14.875)","(16.0, 65.0, 19.933333333333334)","(2.8, 4.7, 4.2125)","(26.0, 230.0, 123.25)","(2.7, 5.4, 4.407692307692308)","(14.0, 34.0, 22.5)","(26.0, 130.0, 68.55555555555556)","(26.0, 130.0, 24.607142857142858)","(6.0, 6.4, 6.085)"
