,Prince Danube,Creme De Monte,Double Tara,Rosas Routine,Last Date,Chase Me Chopper,Shonas Fury,Thriller Strike
11-01-2023 19:19:46.667689,"(8.5, 21.0, 14.333333333333332)","(3.4, 5.1, 3.6333333333333333)","(41.0, 290.0, 162.0)","(2.8, 4.3, 2.9524999999999997)","(31.0, 260.0, 146.0)","(11.0, 29.0, 25.823529411764707)","(6.5, 14.0, 9.066666666666666)","(4.0, 6.8, 5.2328125)"
11-01-2023 19:19:47.851450,"(8.5, 21.0, 14.333333333333332)","(3.4, 5.1, 3.6333333333333333)","(41.0, 290.0, 162.0)","(2.8, 4.3, 2.9524999999999997)","(31.0, 260.0, 146.0)","(11.0, 32.0, 25.823529411764707)","(6.5, 14.0, 9.066666666666666)","(4.0, 6.8, 5.2328125)"
11-01-2023 19:19:49.029602,"(8.5, 21.0, 14.333333333333332)","(3.4, 5.1, 3.6333333333333333)","(41.0, 290.0, 162.0)","(2.8, 4.3, 2.9524999999999997)","(31.0, 260.0, 146.0)","(11.0, 32.0, 25.823529411764707)","(6.5, 14.0, 9.066666666666666)","(4.0, 6.8, 5.2328125)"
11-01-2023 19:19:50.128564,"(8.5, 21.0, 14.333333333333332)","(3.4, 5.1, 3.6333333333333333)","(41.0, 290.0, 162.0)","(2.8, 4.3, 2.9524999999999997)","(31.0, 260.0, 146.0)","(11.0, 32.0, 25.823529411764707)","(6.5, 14.0, 9.066666666666666)","(4.0, 6.8, 5.2328125)"
11-01-2023 19:19:51.174859,"(8.5, 21.0, 14.333333333333332)","(3.4, 5.1, 3.6333333333333333)","(41.0, 290.0, 162.0)","(2.8, 4.3, 2.9524999999999997)","(31.0, 260.0, 146.0)","(11.0, 32.0, 25.823529411764707)","(6.5, 14.0, 9.066666666666666)","(4.0, 6.8, 5.2328125)"
11-01-2023 19:19:52.324143,"(8.5, 21.0, 14.333333333333332)","(3.4, 5.1, 3.6333333333333333)","(41.0, 290.0, 162.0)","(2.8, 4.3, 2.9524999999999997)","(31.0, 260.0, 146.0)","(11.0, 32.0, 25.823529411764707)","(6.5, 14.0, 9.066666666666666)","(4.0, 6.8, 5.2328125)"
11-01-2023 19:19:53.412589,"(8.5, 21.0, 14.333333333333332)","(3.4, 5.1, 3.6333333333333333)","(41.0, 290.0, 162.0)","(2.8, 4.3, 2.9524999999999997)","(31.0, 260.0, 146.0)","(11.0, 32.0, 25.823529411764707)","(6.5, 14.0, 9.066666666666666)","(4.0, 6.8, 5.2328125)"
11-01-2023 19:19:54.451255,"(8.5, 21.0, 14.333333333333332)","(3.4, 5.1, 3.6333333333333333)","(41.0, 290.0, 162.0)","(2.8, 4.3, 2.9524999999999997)","(31.0, 260.0, 146.0)","(11.0, 32.0, 25.823529411764707)","(6.5, 14.0, 9.066666666666666)","(4.0, 6.8, 5.2328125)"
11-01-2023 19:19:55.569189,"(8.5, 21.0, 14.333333333333332)","(3.4, 5.1, 3.6333333333333333)","(41.0, 290.0, 162.0)","(2.8, 4.3, 2.9524999999999997)","(31.0, 260.0, 146.0)","(11.0, 32.0, 25.823529411764707)","(6.5, 14.0, 9.066666666666666)","(4.0, 6.8, 5.2328125)"
11-01-2023 19:19:56.646190,"(8.5, 21.0, 14.333333333333332)","(3.4, 5.1, 3.6333333333333333)","(41.0, 290.0, 162.0)","(2.8, 4.3, 2.9524999999999997)","(31.0, 260.0, 146.0)","(11.0, 32.0, 25.823529411764707)","(6.5, 14.0, 9.066666666666666)","(4.0, 6.8, 5.2328125)"
