,Appealing Road,Awesome Moon,Odina,Jumpin Jack Brass,Jubaslilballerina,Ellies At Windsor,S S Frontier Angel,Grey Flamingo,Van Hook,La Maddalena
07-01-2023 11:20:42.037216,"(12.0, 30.0, 28.375)","(26.0, 70.0, 62.0)","(12.0, 19.5, 18.1875)","(2.4, 2.48, 2.3657142857142857)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 135.0)","(12.0, 24.0, 22.166666666666668)","(3.2, 5.4, 4.746666666666667)","(5.5, 8.0, 7.333333333333334)"
07-01-2023 11:20:43.486515,"(12.0, 30.0, 23.75)","(26.0, 70.0, 62.0)","(12.0, 19.5, 23.5)","(2.4, 2.48, 2.3657142857142857)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 26.0, 24.214285714285715)","(3.2, 5.4, 4.855555555555556)","(5.5, 8.0, 7.333333333333334)"
07-01-2023 11:20:44.827812,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.48, 2.3657142857142857)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 30.5)","(31.0, 220.0, 134.0)","(12.0, 26.0, 24.799999999999997)","(3.2, 5.4, 4.855555555555556)","(5.5, 8.0, 7.333333333333334)"
07-01-2023 11:20:46.084173,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.48, 2.3657142857142857)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 26.0, 22.166666666666668)","(3.2, 5.4, 4.855555555555556)","(5.5, 8.0, 7.333333333333334)"
07-01-2023 11:20:47.268485,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.48, 2.3657142857142857)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 26.0, 22.166666666666668)","(3.2, 5.4, 4.855555555555556)","(5.5, 8.0, 7.333333333333334)"
07-01-2023 11:20:48.531537,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.48, 2.4219999999999997)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 26.0, 22.166666666666668)","(3.2, 5.4, 4.855555555555556)","(5.5, 8.0, 7.333333333333334)"
07-01-2023 11:20:49.876253,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.44, 2.4072727272727272)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 30.5)","(31.0, 220.0, 134.0)","(12.0, 26.0, 22.166666666666668)","(3.2, 5.4, 4.855555555555556)","(5.5, 8.0, 7.466666666666667)"
07-01-2023 11:20:51.149684,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.44, 2.4072727272727272)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 30.5)","(31.0, 220.0, 134.0)","(12.0, 26.0, 22.166666666666668)","(3.2, 5.4, 4.9)","(5.5, 8.0, 7.466666666666667)"
07-01-2023 11:20:52.384581,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.44, 2.4072727272727272)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 135.0)","(12.0, 26.0, 20.75)","(3.2, 5.0, 4.9)","(5.5, 8.0, 7.466666666666667)"
07-01-2023 11:20:53.747033,"(12.0, 30.0, 23.75)","(26.0, 70.0, 62.0)","(12.0, 25.0, 23.9375)","(2.4, 2.44, 2.4072727272727272)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 135.0)","(12.0, 26.0, 25.1875)","(3.2, 5.0, 4.9)","(5.5, 8.0, 7.457142857142857)"
07-01-2023 11:20:55.053833,"(12.0, 30.0, 23.75)","(26.0, 70.0, 62.0)","(12.0, 25.0, 23.9375)","(2.4, 2.44, 2.4123076923076923)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 30.5)","(31.0, 220.0, 135.0)","(12.0, 26.0, 19.5)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.5)"
07-01-2023 11:20:56.402080,"(12.0, 30.0, 28.285714285714285)","(26.0, 70.0, 62.0)","(12.0, 25.0, 23.9375)","(2.4, 2.48, 2.4123076923076923)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 30.5)","(31.0, 220.0, 135.0)","(12.0, 26.0, 19.5)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.5)"
07-01-2023 11:20:57.694603,"(12.0, 30.0, 28.285714285714285)","(26.0, 70.0, 62.0)","(12.0, 25.0, 23.9375)","(2.4, 2.48, 2.4659649122807017)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 30.77777777777778)","(31.0, 220.0, 135.0)","(12.0, 26.0, 25.03846153846154)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.5)"
07-01-2023 11:20:58.962211,"(12.0, 30.0, 23.75)","(26.0, 70.0, 62.0)","(12.0, 25.0, 23.9375)","(2.4, 2.48, 2.4123076923076923)","(19.0, 220.0, 155.66666666666666)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 135.0)","(12.0, 26.0, 22.875)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.266666666666667)"
07-01-2023 11:21:00.067422,"(12.0, 30.0, 23.75)","(26.0, 70.0, 62.0)","(12.0, 25.0, 23.9375)","(2.4, 2.48, 2.4123076923076923)","(19.0, 220.0, 155.66666666666666)","(16.0, 34.0, 29.0)","(31.0, 220.0, 135.0)","(12.0, 26.0, 19.5)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.266666666666667)"
07-01-2023 11:21:01.202114,"(12.0, 30.0, 23.75)","(26.0, 70.0, 62.0)","(12.0, 25.0, 23.9375)","(2.4, 2.48, 2.4123076923076923)","(19.0, 220.0, 91.33333333333333)","(16.0, 34.0, 30.77777777777778)","(31.0, 220.0, 163.33333333333331)","(12.0, 26.0, 24.214285714285715)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.266666666666667)"
07-01-2023 11:21:02.349708,"(12.0, 32.0, 23.0)","(26.0, 70.0, 59.33333333333333)","(12.0, 25.0, 21.0)","(2.4, 2.46, 2.37)","(19.0, 220.0, 156.0)","(16.0, 34.0, 30.77777777777778)","(31.0, 220.0, 137.5)","(12.0, 26.0, 19.5)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:03.542065,"(12.0, 32.0, 23.0)","(26.0, 70.0, 59.33333333333333)","(12.0, 25.0, 23.92857142857143)","(2.4, 2.46, 2.37)","(19.0, 220.0, 91.33333333333333)","(16.0, 34.0, 167.66666666666669)","(31.0, 220.0, 137.5)","(12.0, 25.0, 19.0)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.3076923076923075)"
07-01-2023 11:21:04.912904,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 59.33333333333333)","(12.0, 25.0, 21.0)","(2.4, 2.46, 2.37)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 83.0)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.0)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:06.329004,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 48.666666666666664)","(12.0, 25.0, 21.0)","(2.4, 2.46, 2.37)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 113.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.0)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
