,Aston Floyd,Ensemble,Oxidation,Fabs Max Potato,Besant Bale,Fabs Wasabi,Flying Farrugia
14-12-2022 14:18:57.892931,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.2)","(8.5, 16.0, 10.933333333333334)","(2.4, 2.72, 2.608)","(17.0, 50.0, 28.0)"
14-12-2022 14:18:59.003372,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.0)","(8.5, 16.0, 10.933333333333334)","(2.4, 2.72, 2.608)","(17.0, 50.0, 28.0)"
14-12-2022 14:19:00.214024,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 10.933333333333334)","(2.4, 2.72, 2.608)","(17.0, 50.0, 28.0)"
14-12-2022 14:19:01.252535,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 10.933333333333334)","(2.4, 2.72, 2.608)","(17.0, 50.0, 28.0)"
14-12-2022 14:19:02.303229,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 4.086956521739131)","(5.5, 9.0, 7.3)","(8.5, 16.0, 10.933333333333334)","(2.4, 2.72, 2.608)","(17.0, 50.0, 28.0)"
14-12-2022 14:19:03.419964,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 10.933333333333334)","(2.4, 2.72, 2.58875)","(17.0, 50.0, 28.0)"
14-12-2022 14:19:04.515514,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 10.933333333333334)","(2.4, 2.72, 2.58875)","(17.0, 50.0, 28.0)"
14-12-2022 14:19:05.791978,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 4.5633333333333335)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 10.933333333333334)","(2.4, 3.05, 2.6375)","(17.0, 50.0, 25.25)"
14-12-2022 14:19:07.078697,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 7.2)","(8.5, 16.0, 10.933333333333334)","(2.4, 3.0, 2.6375)","(17.0, 50.0, 25.25)"
14-12-2022 14:19:08.350656,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.0)","(8.5, 16.0, 10.933333333333334)","(2.4, 3.0, 2.6375)","(17.0, 50.0, 33.57142857142857)"
14-12-2022 14:19:09.617701,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.0)","(8.5, 16.0, 10.933333333333334)","(2.4, 3.0, 2.6375)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:10.841030,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 10.933333333333334)","(2.4, 3.0, 2.6375)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:12.029546,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 10.933333333333334)","(2.4, 3.0, 2.6375)","(17.0, 46.0, 33.57142857142857)"
