,Night Watch,Insist The Win,Galleons Future,Dem Bones Dem Bones,Sage Trouble,Cool Phelan,Unique Marshall,Miss Jessica,Shandon Bells,Sunnivue Phileah
14-12-2022 13:10:03.413224,"(2.45, 2.98, 2.962181818181818)","(11.0, 16.0, 14.125)","(26.0, 55.0, 44.0)","(6.5, 7.6, 7.482608695652174)","(20.0, 55.0, 44.0)","(4.0, 4.9, 4.74)","(31.0, 120.0, 60.0)","(31.0, 110.0, 86.0)","(11.0, 14.5, 13.75)","(8.5, 11.5, 11.35)"
14-12-2022 13:10:04.835858,"(2.45, 2.98, 2.9085714285714284)","(11.0, 16.0, 14.125)","(26.0, 50.0, 44.0)","(6.5, 7.6, 7.482608695652174)","(20.0, 55.0, 47.25)","(4.0, 4.9, 4.68)","(31.0, 120.0, 72.0)","(31.0, 110.0, 91.14285714285714)","(11.0, 14.5, 12.692307692307692)","(8.5, 11.5, 11.75)"
14-12-2022 13:10:06.517410,"(2.45, 2.96, 2.925777777777778)","(11.0, 16.0, 14.125)","(26.0, 50.0, 44.0)","(6.5, 7.6, 7.529411764705882)","(20.0, 55.0, 35.0)","(4.0, 4.8, 4.754545454545455)","(31.0, 120.0, 72.0)","(31.0, 100.0, 91.14285714285714)","(11.0, 15.0, 13.0)","(8.5, 12.5, 11.115384615384615)"
14-12-2022 13:10:08.030092,"(2.45, 2.96, 2.93)","(11.0, 16.0, 14.8)","(26.0, 50.0, 44.0)","(6.5, 8.6, 8.17142857142857)","(20.0, 55.0, 35.0)","(4.0, 4.9, 4.771428571428571)","(31.0, 120.0, 72.0)","(31.0, 100.0, 84.5)","(11.0, 14.5, 13.571428571428571)","(8.5, 12.5, 11.0)"
14-12-2022 13:10:09.420952,"(2.45, 2.96, 2.9186206896551723)","(11.0, 16.0, 14.8)","(26.0, 50.0, 44.0)","(6.5, 8.6, 7.9714285714285715)","(20.0, 55.0, 35.0)","(4.0, 4.9, 4.7)","(31.0, 120.0, 72.0)","(31.0, 100.0, 84.5)","(11.0, 14.0, 13.571428571428571)","(8.5, 12.0, 11.0)"
14-12-2022 13:10:10.818048,"(2.45, 2.96, 2.9186206896551723)","(11.0, 16.0, 14.125)","(26.0, 50.0, 44.0)","(6.5, 8.4, 7.9714285714285715)","(20.0, 55.0, 35.0)","(4.0, 4.9, 4.78)","(31.0, 120.0, 72.0)","(31.0, 100.0, 89.66666666666667)","(11.0, 14.0, 13.727272727272727)","(8.5, 12.0, 11.0)"
14-12-2022 13:10:12.115380,"(2.45, 2.96, 2.9354545454545455)","(11.0, 16.0, 14.125)","(26.0, 50.0, 44.0)","(6.5, 8.0, 7.56)","(20.0, 55.0, 35.0)","(4.0, 4.9, 4.78)","(31.0, 120.0, 72.0)","(31.0, 100.0, 84.5)","(11.0, 14.0, 14.0)","(8.5, 12.0, 11.0)"
14-12-2022 13:10:13.560953,"(2.45, 2.96, 2.909473684210526)","(11.0, 16.0, 14.125)","(26.0, 50.0, 44.0)","(6.5, 7.8, 7.28)","(20.0, 55.0, 35.0)","(4.0, 4.9, 4.78)","(31.0, 120.0, 72.0)","(31.0, 100.0, 85.0)","(11.0, 14.5, 13.5)","(8.5, 12.0, 11.454545454545455)"
14-12-2022 13:10:15.054475,"(2.45, 2.96, 2.949879518072289)","(11.0, 16.0, 14.125)","(26.0, 50.0, 44.0)","(6.5, 8.0, 7.270588235294118)","(20.0, 55.0, 35.0)","(4.0, 4.9, 4.78)","(31.0, 120.0, 60.0)","(31.0, 100.0, 85.0)","(11.0, 14.0, 13.5)","(8.5, 12.0, 11.454545454545455)"
14-12-2022 13:10:16.543778,"(2.45, 2.96, 2.9221052631578948)","(11.0, 16.0, 14.125)","(26.0, 50.0, 44.0)","(6.5, 8.0, 7.457142857142857)","(20.0, 55.0, 35.0)","(4.0, 4.9, 4.78)","(31.0, 110.0, 80.0)","(31.0, 100.0, 85.0)","(11.0, 14.0, 13.727272727272727)","(8.5, 12.0, 11.454545454545455)"
14-12-2022 13:10:18.015418,"(2.45, 2.96, 2.9221052631578948)","(11.0, 16.0, 14.125)","(26.0, 50.0, 44.0)","(6.5, 7.8, 7.28)","(20.0, 55.0, 38.09090909090909)","(4.0, 4.9, 4.78)","(31.0, 100.0, 80.0)","(31.0, 100.0, 85.0)","(11.0, 14.0, 13.727272727272727)","(8.5, 12.0, 11.454545454545455)"
