,Rickys Revenge,Cairo Boogie,Suleman,Chesapeake Charlie,Kid Bourbon,Champagne Jam,Citizens Fire,Dominant Factor,Thatza Alpha,Light Work
15-12-2022 13:54:58.754481,"(21.0, 20.0, 18.5)","(7.0, 14.5, 13.857142857142858)","(2.7, 2.9, 2.8857534246575343)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:55:00.139492,"(21.0, 20.0, 18.5)","(7.0, 14.5, 13.857142857142858)","(2.7, 2.9, 2.8857534246575343)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:55:01.643703,"(21.0, 20.0, 20.0)","(7.0, 14.5, 13.857142857142858)","(2.7, 2.9, 2.8857534246575343)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:55:03.158369,"(21.0, 21.0, 20.0)","(7.0, 14.5, 13.807692307692308)","(2.7, 2.9, 2.8857534246575343)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 50.5)","(41.0, 65.0, 51.5)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:55:04.638750,"(21.0, 21.0, 20.0)","(7.0, 14.5, 13.857142857142858)","(2.7, 2.9, 2.872987012987013)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 34.0, 28.0)"
15-12-2022 13:55:06.108907,"(21.0, 21.0, 20.0)","(7.0, 14.5, 13.857142857142858)","(2.7, 2.9, 2.872987012987013)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:07.548262,"(21.0, 20.0, 18.8)","(7.0, 14.5, 13.857142857142858)","(2.7, 2.9, 2.872987012987013)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:08.957087,"(21.0, 20.0, 18.8)","(7.0, 14.5, 13.857142857142858)","(2.7, 2.9, 2.872987012987013)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:10.319001,"(21.0, 20.0, 18.5)","(7.0, 14.5, 13.857142857142858)","(2.7, 2.9, 2.872987012987013)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:11.722894,"(21.0, 20.0, 18.8)","(7.0, 14.5, 13.857142857142858)","(2.7, 2.9, 2.872987012987013)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 32.0, 28.0)"
