,Drink Long Necks,Head On Bonnie,Fernando Travis,Street Cry,Rowdy Roddy,Swift Sharni,Out Of Gas
12-01-2023 18:21:17.194264,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 11.799999999999999)","(1.6, 2.14, 2.1193684210526316)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:18.152029,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 11.799999999999999)","(1.6, 2.14, 2.1193684210526316)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:19.190165,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 11.799999999999999)","(1.6, 2.14, 2.1193684210526316)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:20.222328,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 11.799999999999999)","(1.6, 2.14, 2.1193684210526316)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:21.216749,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 12.066666666666666)","(1.6, 2.14, 2.1193684210526316)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:22.217342,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 12.066666666666666)","(1.6, 2.14, 2.1193684210526316)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:23.221902,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 12.066666666666666)","(1.6, 2.14, 2.1193684210526316)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:24.168183,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 12.066666666666666)","(1.6, 2.14, 2.1193684210526316)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:25.208589,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 12.066666666666666)","(1.6, 2.14, 2.1193684210526316)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:26.367681,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 12.066666666666666)","(1.6, 2.14, 2.1193684210526316)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:27.500617,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 12.066666666666666)","(1.6, 2.14, 2.1193684210526316)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:28.717795,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 12.066666666666666)","(1.6, 2.14, 2.1542857142857144)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:29.810081,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 11.799999999999999)","(1.6, 2.16, 2.1542857142857144)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:31.031403,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 11.799999999999999)","(1.6, 2.16, 2.1542857142857144)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.975)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:32.305471,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 11.799999999999999)","(1.6, 2.16, 2.1542857142857144)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 14.620000000000001)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:33.511463,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 11.799999999999999)","(1.6, 2.16, 2.1542857142857144)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 14.620000000000001)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:34.731540,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 11.799999999999999)","(1.6, 2.16, 2.1542857142857144)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 14.620000000000001)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:35.897343,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 11.799999999999999)","(1.6, 2.16, 2.1542857142857144)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 14.620000000000001)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:36.954514,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 12.066666666666666)","(1.6, 2.16, 2.1542857142857144)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 15.133333333333333)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:38.095734,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 13.057142857142857)","(1.6, 2.16, 2.1542857142857144)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 13.55)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:39.164806,"(4.2, 6.8, 6.2615384615384615)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 13.057142857142857)","(1.6, 2.16, 2.1542857142857144)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 13.55)","(21.0, 200.0, 85.57142857142857)"
12-01-2023 18:21:40.240148,"(4.2, 7.0, 6.384615384615385)","(8.5, 17.5, 16.708333333333332)","(8.5, 19.0, 13.057142857142857)","(1.6, 2.16, 2.1542857142857144)","(20.0, 190.0, 93.42857142857143)","(8.5, 18.5, 13.55)","(21.0, 200.0, 85.57142857142857)"
