,Straight Shot,Big Time Lotus,Defer Fire,Big Time Faye,Opawa Daisy,Big Time Punga,Livin On Love
11-01-2023 13:58:02.967561,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.339130434782609)","(6.0, 11.0, 10.533333333333333)","(4.0, 12.0, 10.34)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:04.126590,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.0, 4.339130434782609)","(6.0, 11.5, 10.116666666666667)","(4.0, 12.0, 10.34)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:05.249312,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 10.34)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:06.337995,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 10.34)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:07.378390,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 10.34)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:08.439467,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 11.349019607843138)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:09.551816,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 11.349019607843138)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:10.516232,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 11.349019607843138)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:11.564462,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:12.660772,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:13.605915,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:14.693743,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:15.738779,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:16.692733,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:17.728343,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.0, 4.339130434782609)","(6.0, 11.5, 10.533333333333333)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:18.713495,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:19.755682,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:20.818028,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:21.826287,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:22.898794,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:23.991952,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.0, 4.339130434782609)","(6.0, 11.5, 10.533333333333333)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:25.054822,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.0, 4.339130434782609)","(6.0, 11.5, 10.533333333333333)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:26.116261,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.0, 4.339130434782609)","(6.0, 11.5, 10.533333333333333)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:27.142259,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 9.0)","(8.5, 16.0, 14.676923076923078)"
11-01-2023 13:58:28.234120,"(12.0, 26.0, 24.0625)","(7.5, 10.0, 9.152941176470588)","(3.9, 6.8, 5.1909090909090905)","(3.1, 5.1, 4.404347826086957)","(6.0, 11.0, 10.116666666666667)","(4.0, 12.0, 10.34)","(8.5, 16.0, 14.676923076923078)"
