,Aston Hebe,Miss Graphite,Faux Allie,Spring Bonnie,Emerley Sharon,Isla Gracie,Edgy Reggie,Didelis
14-12-2022 12:39:04.061834,"(2.8, 3.85, 2.948125)","(16.0, 34.0, 25.25)","(41.0, 390.0, 242.5)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.5, 10.1)","(5.5, 8.8, 8.15)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:05.194880,"(2.8, 3.85, 2.905333333333333)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 9.772727272727273)","(5.5, 8.8, 8.25)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:06.461163,"(2.8, 3.85, 2.905333333333333)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 9.772727272727273)","(5.5, 8.8, 8.25)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:07.884948,"(2.8, 3.85, 2.905333333333333)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 8.8, 8.25)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:09.044181,"(2.8, 3.85, 2.905333333333333)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 8.8, 8.25)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:10.214129,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 8.8, 8.350000000000001)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:11.417515,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 8.8, 8.350000000000001)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:12.500285,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 8.8, 8.350000000000001)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:13.676847,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 8.8, 8.15)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:14.757510,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 8.8, 8.15)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
