,Sheza Rose Nz,Nor Westa,Wunderland,Point Oh Five,He Said She Said,Sport Cadet,Rolamax,Miss Serena,Thundamental,Im Boo Nz
10-01-2023 18:33:44.064263,"(6.0, 99999, 99990)","(21.0, 32.0, 19.857142857142858)","(21.0, 50.0, 31.42857142857143)","(17.0, 46.0, 28.714285714285715)","(1.95, 3.0, 2.738666666666667)","(31.0, 95.0, 60.625)","(8.5, 11.5, 12.0)","(5.0, 6.4, 5.65)","(31.0, 65.0, 40.0)","(11.0, 99999, 99990)"
10-01-2023 18:33:45.260442,"(6.0, 99999, 99990)","(21.0, 32.0, 19.25)","(21.0, 55.0, 31.42857142857143)","(17.0, 48.0, 28.714285714285715)","(1.95, 3.0, 2.738666666666667)","(31.0, 95.0, 60.625)","(8.5, 14.0, 12.0)","(5.0, 6.4, 5.65)","(31.0, 65.0, 40.0)","(11.0, 99999, 99990)"
10-01-2023 18:33:46.542624,"(6.0, 99999, 99990)","(21.0, 32.0, 19.25)","(21.0, 55.0, 31.42857142857143)","(17.0, 48.0, 28.714285714285715)","(1.95, 3.0, 2.738666666666667)","(31.0, 95.0, 60.625)","(8.5, 14.0, 12.0)","(5.0, 6.4, 5.65)","(31.0, 65.0, 40.0)","(11.0, 99999, 99990)"
10-01-2023 18:33:47.870100,"(6.0, 99999, 99990)","(21.0, 32.0, 19.25)","(21.0, 55.0, 40.45454545454545)","(17.0, 48.0, 36.18181818181819)","(1.95, 3.0, 2.8400000000000003)","(31.0, 95.0, 67.5)","(8.5, 14.0, 12.0)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:33:49.190110,"(6.0, 99999, 99990)","(21.0, 32.0, 19.25)","(21.0, 55.0, 40.45454545454545)","(17.0, 48.0, 36.18181818181819)","(1.95, 3.0, 2.8400000000000003)","(31.0, 95.0, 67.5)","(8.5, 14.0, 12.0)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:33:50.466645,"(6.0, 99999, 99990)","(21.0, 32.0, 19.25)","(21.0, 55.0, 40.45454545454545)","(17.0, 48.0, 36.18181818181819)","(1.95, 3.0, 2.8400000000000003)","(31.0, 95.0, 67.5)","(8.5, 14.0, 12.0)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:33:51.683956,"(6.0, 99999, 99990)","(21.0, 32.0, 20.666666666666668)","(21.0, 55.0, 40.45454545454545)","(17.0, 48.0, 36.18181818181819)","(1.95, 3.0, 2.8400000000000003)","(31.0, 95.0, 67.5)","(8.5, 14.0, 12.0)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:33:52.877200,"(6.0, 99999, 99990)","(21.0, 32.0, 20.666666666666668)","(21.0, 55.0, 40.45454545454545)","(17.0, 48.0, 36.18181818181819)","(1.95, 3.0, 2.7573333333333334)","(31.0, 95.0, 49.166666666666664)","(8.5, 14.0, 12.666666666666666)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:33:54.109352,"(6.0, 99999, 99990)","(21.0, 32.0, 20.666666666666668)","(21.0, 55.0, 40.45454545454545)","(17.0, 48.0, 36.18181818181819)","(1.95, 3.0, 2.776)","(31.0, 95.0, 49.166666666666664)","(8.5, 14.0, 12.666666666666666)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:33:55.404582,"(6.0, 99999, 99990)","(21.0, 32.0, 26.76923076923077)","(21.0, 55.0, 40.45454545454545)","(17.0, 48.0, 27.166666666666668)","(1.95, 3.0, 2.776)","(31.0, 95.0, 55.714285714285715)","(8.5, 14.0, 12.666666666666666)","(5.0, 6.4, 6.261538461538462)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:33:56.629405,"(6.0, 99999, 99990)","(21.0, 32.0, 26.76923076923077)","(21.0, 55.0, 40.45454545454545)","(17.0, 48.0, 31.333333333333336)","(1.95, 3.0, 2.776)","(31.0, 95.0, 67.5)","(8.5, 14.0, 10.8)","(5.0, 6.4, 6.261538461538462)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:33:57.856887,"(6.0, 99999, 99990)","(21.0, 32.0, 26.333333333333336)","(21.0, 55.0, 40.45454545454545)","(17.0, 48.0, 31.333333333333336)","(1.95, 3.0, 2.776)","(31.0, 95.0, 67.5)","(8.5, 14.0, 11.75)","(5.0, 6.4, 6.261538461538462)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:33:59.129742,"(6.0, 99999, 99990)","(21.0, 32.0, 26.333333333333336)","(21.0, 55.0, 40.45454545454545)","(17.0, 48.0, 31.333333333333336)","(1.95, 3.0, 2.776)","(31.0, 95.0, 67.5)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.261538461538462)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:00.351099,"(6.0, 99999, 99990)","(21.0, 32.0, 26.333333333333336)","(21.0, 55.0, 47.0)","(17.0, 48.0, 31.333333333333336)","(1.95, 3.0, 2.776)","(31.0, 95.0, 55.714285714285715)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:01.532883,"(6.0, 99999, 99990)","(21.0, 30.0, 27.0)","(21.0, 55.0, 40.45454545454545)","(17.0, 48.0, 27.166666666666668)","(1.95, 3.0, 2.776)","(31.0, 95.0, 58.33333333333333)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:02.764518,"(6.0, 99999, 99990)","(21.0, 29.0, 19.357142857142858)","(21.0, 50.0, 37.0)","(17.0, 46.0, 38.333333333333336)","(1.95, 3.0, 2.7946666666666666)","(31.0, 95.0, 58.33333333333333)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 36.714285714285715)","(11.0, 99999, 99990)"
10-01-2023 18:34:04.024674,"(6.0, 99999, 99990)","(21.0, 29.0, 19.357142857142858)","(21.0, 50.0, 37.0)","(17.0, 46.0, 38.333333333333336)","(1.95, 3.0, 2.8129032258064512)","(31.0, 95.0, 58.33333333333333)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 36.714285714285715)","(11.0, 99999, 99990)"
10-01-2023 18:34:05.260840,"(6.0, 99999, 99990)","(21.0, 28.0, 19.666666666666668)","(21.0, 50.0, 37.0)","(17.0, 46.0, 38.333333333333336)","(1.95, 3.0, 2.8129032258064512)","(31.0, 95.0, 67.5)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 36.714285714285715)","(11.0, 99999, 99990)"
10-01-2023 18:34:06.488000,"(6.0, 99999, 99990)","(21.0, 26.0, 20.75)","(21.0, 50.0, 37.0)","(17.0, 46.0, 38.333333333333336)","(1.95, 3.0, 2.8129032258064512)","(31.0, 95.0, 67.5)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 36.714285714285715)","(11.0, 99999, 99990)"
10-01-2023 18:34:07.656789,"(6.0, 99999, 99990)","(21.0, 26.0, 18.5)","(21.0, 50.0, 37.0)","(17.0, 46.0, 38.333333333333336)","(1.95, 3.0, 2.8129032258064512)","(31.0, 95.0, 67.5)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.11875)","(31.0, 65.0, 36.714285714285715)","(11.0, 99999, 99990)"
10-01-2023 18:34:08.822760,"(6.0, 99999, 99990)","(21.0, 26.0, 18.5)","(21.0, 50.0, 37.0)","(17.0, 46.0, 38.333333333333336)","(1.95, 3.0, 2.829411764705882)","(31.0, 95.0, 71.42857142857143)","(8.5, 13.5, 11.0)","(5.0, 6.4, 5.828571428571428)","(31.0, 65.0, 36.714285714285715)","(11.0, 99999, 99990)"
10-01-2023 18:34:09.986751,"(6.0, 99999, 99990)","(21.0, 26.0, 18.5)","(21.0, 50.0, 37.0)","(17.0, 46.0, 40.25)","(1.95, 3.0, 2.829411764705882)","(31.0, 95.0, 71.42857142857143)","(8.5, 13.5, 11.0)","(5.0, 6.4, 5.828571428571428)","(31.0, 65.0, 36.714285714285715)","(11.0, 99999, 99990)"
10-01-2023 18:34:11.210157,"(6.0, 99999, 99990)","(21.0, 26.0, 18.5)","(21.0, 50.0, 41.33333333333333)","(17.0, 46.0, 40.25)","(1.95, 3.0, 2.829411764705882)","(31.0, 95.0, 71.42857142857143)","(8.5, 13.5, 11.0)","(5.0, 6.4, 5.828571428571428)","(31.0, 65.0, 36.714285714285715)","(11.0, 99999, 99990)"
10-01-2023 18:34:12.575507,"(6.0, 99999, 99990)","(21.0, 26.0, 18.5)","(21.0, 50.0, 41.33333333333333)","(17.0, 46.0, 40.25)","(1.95, 3.0, 2.829411764705882)","(31.0, 95.0, 71.42857142857143)","(8.5, 13.5, 11.0)","(5.0, 6.4, 5.828571428571428)","(31.0, 65.0, 36.714285714285715)","(11.0, 99999, 99990)"
10-01-2023 18:34:13.830554,"(6.0, 99999, 99990)","(21.0, 26.0, 18.125)","(21.0, 50.0, 41.33333333333333)","(17.0, 46.0, 40.25)","(1.95, 3.0, 2.829411764705882)","(31.0, 95.0, 71.42857142857143)","(8.5, 13.5, 11.0)","(5.0, 6.4, 5.828571428571428)","(31.0, 65.0, 36.714285714285715)","(11.0, 99999, 99990)"
10-01-2023 18:34:14.975336,"(6.0, 99999, 99990)","(21.0, 26.0, 18.125)","(21.0, 50.0, 43.5)","(17.0, 46.0, 40.25)","(1.95, 3.0, 2.8316129032258064)","(31.0, 95.0, 71.42857142857143)","(8.5, 13.5, 11.0)","(5.0, 6.4, 5.955555555555556)","(31.0, 65.0, 36.714285714285715)","(11.0, 99999, 99990)"
10-01-2023 18:34:16.177878,"(6.0, 99999, 99990)","(21.0, 26.0, 18.125)","(21.0, 50.0, 43.5)","(17.0, 46.0, 32.375)","(1.95, 3.0, 2.850322580645161)","(31.0, 95.0, 76.66666666666666)","(8.5, 13.5, 11.0)","(5.0, 6.4, 5.955555555555556)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
