,Max Power,Incineration,Elite Alex,Nehalem,Cashing Cheques,Blackpool Ryan,Go Seek Kotoni,Tom Keeping
12-01-2023 18:37:43.206454,"(16.0, 42.0, 25.4375)","(3.8, 6.4, 4.208695652173914)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.8, 5.0375000000000005)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.5, 12.444444444444445)","(14.0, 32.0, 22.25)","(13.0, 60.0, 50.7)"
12-01-2023 18:37:44.423123,"(16.0, 42.0, 25.4375)","(3.8, 6.4, 4.208695652173914)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.8, 5.0375000000000005)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 22.25)","(13.0, 60.0, 50.7)"
12-01-2023 18:37:45.732128,"(16.0, 42.0, 25.4375)","(3.8, 6.4, 4.208695652173914)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.8, 5.0375000000000005)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 22.25)","(13.0, 60.0, 50.7)"
12-01-2023 18:37:47.121562,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.7)"
12-01-2023 18:37:48.417711,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.7)"
12-01-2023 18:37:49.571427,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:37:50.822720,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:37:52.179479,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:37:53.604350,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:37:54.898741,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
