,Social Virtigo,Check Me Out,Opawa Max,Big Time Epic,Big Time Punga,Big Time Girly,Kina Magic
16-12-2022 13:23:52.108221,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:23:53.129921,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:23:54.204219,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:23:55.279858,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:23:56.255630,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:23:57.208436,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:23:58.187965,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:23:59.169202,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:24:00.246021,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:24:01.281473,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:24:02.457377,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:24:03.551396,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:24:04.765074,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 26.8125)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:24:05.799449,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.4, 3.6058823529411765)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 29.0, 27.444444444444443)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
16-12-2022 13:24:06.887847,"(3.8, 6.2, 4.863636363636363)","(3.1, 4.5, 3.6470588235294117)","(6.5, 15.5, 14.382352941176471)","(2.5, 4.2, 3.6533333333333333)","(13.0, 32.0, 27.444444444444443)","(17.0, 140.0, 77.75)","(21.0, 190.0, 105.0)"
