,Julius Franco,Maharajah Nz,Assassinator,Sir Lucas,Joes A Character,Motu Premier Nz,Stroke Of Luck,Hesashark,Culture King
07-01-2023 19:10:55.672240,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.17)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:10:56.960646,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.17)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:10:58.221823,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.17)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:10:59.544099,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.17)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:00.888276,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.17)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:02.197558,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.17)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:03.480428,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.17)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:04.732297,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.17)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:06.078911,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.17)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:07.507882,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.17)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:08.899460,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.17)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:10.241151,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.187692307692308)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:11.644568,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1614285714285715)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
