,Wild Keyra,Miss Terri,Go Hard Son,Icy Hot,Dragon Smoke,Wheres Papi,Vecna,Summers Lost
04-01-2023 13:39:50.052217,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 10.0, 6.4799999999999995)","(11.0, 40.0, 36.875)"
04-01-2023 13:39:51.241077,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 10.0, 6.4799999999999995)","(11.0, 40.0, 36.875)"
04-01-2023 13:39:52.449821,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 10.0, 6.32)","(11.0, 40.0, 36.875)"
04-01-2023 13:39:53.566956,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 10.0, 6.32)","(11.0, 40.0, 36.875)"
04-01-2023 13:39:54.686771,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 10.0, 6.625)","(11.0, 40.0, 36.875)"
04-01-2023 13:39:55.836083,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 10.0, 6.625)","(11.0, 40.0, 36.875)"
04-01-2023 13:39:57.001558,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 10.0, 6.4799999999999995)","(11.0, 40.0, 36.875)"
04-01-2023 13:39:58.314281,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 10.0, 6.4799999999999995)","(11.0, 40.0, 36.875)"
04-01-2023 13:39:59.489458,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 10.0, 6.4799999999999995)","(11.0, 40.0, 36.875)"
04-01-2023 13:40:00.625041,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 10.0, 6.4799999999999995)","(11.0, 40.0, 36.875)"
04-01-2023 13:40:01.775488,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 10.0, 6.775)","(11.0, 46.0, 42.125)"
04-01-2023 13:40:02.908792,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 10.0, 9.05)","(11.0, 46.0, 42.125)"
04-01-2023 13:40:04.132760,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.8, 9.05)","(11.0, 46.0, 42.125)"
04-01-2023 13:40:05.350186,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.8, 7.0)","(11.0, 46.0, 42.125)"
04-01-2023 13:40:06.551272,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.8, 8.672727272727274)","(11.0, 46.0, 42.125)"
04-01-2023 13:40:07.694567,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.4, 8.836363636363636)","(11.0, 46.0, 42.125)"
04-01-2023 13:40:08.856229,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.836363636363636)","(11.0, 46.0, 42.125)"
04-01-2023 13:40:10.097566,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.836363636363636)","(11.0, 46.0, 40.375)"
04-01-2023 13:40:11.314499,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.836363636363636)","(11.0, 44.0, 40.375)"
04-01-2023 13:40:12.557999,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.836363636363636)","(11.0, 44.0, 40.375)"
04-01-2023 13:40:13.792101,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.672727272727274)","(11.0, 44.0, 40.375)"
