,Deciduous,Denman Star,Los Padres,Roussillon,Chilled,Determined Mink,Miss Belgium
07-12-2022 13:20:21.723172,"(2.35, 2.54, 2.526780487804878)","(14.0, 17.0, 16.417721518987342)","(4.8, 6.2, 6.233480176211454)","(6.0, 6.6, 6.5786610878661085)","(4.8, 6.0, 5.958876404494382)","(31.0, 38.0, 37.91836734693877)","(21.0, 30.0, 28.5)"
07-12-2022 13:20:22.705043,"(2.35, 2.56, 2.554764397905759)","(14.0, 16.5, 16.417721518987342)","(4.8, 6.4, 6.233480176211454)","(6.0, 6.6, 6.5786610878661085)","(4.8, 6.0, 5.958876404494382)","(31.0, 38.0, 37.91836734693877)","(21.0, 29.0, 28.5)"
07-12-2022 13:20:23.792637,"(2.35, 2.56, 2.559826589595376)","(14.0, 16.5, 16.418032786885245)","(4.8, 6.4, 6.177425742574258)","(6.0, 6.8, 6.6)","(4.8, 6.0, 5.906153846153846)","(31.0, 38.0, 37.91836734693877)","(21.0, 29.0, 28.428571428571427)"
07-12-2022 13:20:24.840975,"(2.35, 2.54, 2.5338064516129033)","(14.0, 16.5, 16.22972972972973)","(4.8, 6.4, 6.227989821882952)","(6.0, 6.6, 6.599716713881019)","(4.8, 6.0, 5.906153846153846)","(31.0, 38.0, 37.91836734693877)","(21.0, 29.0, 28.251968503937007)"
07-12-2022 13:20:25.834692,"(2.35, 2.54, 2.5356341275941583)","(14.0, 16.5, 16.2972972972973)","(5.0, 6.4, 6.28140350877193)","(6.0, 6.4, 6.246254071661238)","(5.0, 6.0, 5.948626373626373)","(31.0, 40.0, 38.28)","(21.0, 30.0, 28.251968503937007)"
07-12-2022 13:20:26.815569,"(2.35, 2.58, 2.546694214876033)","(14.0, 16.5, 16.430555555555557)","(5.0, 6.4, 6.335890410958904)","(6.0, 6.4, 6.270879120879121)","(5.0, 6.0, 5.963976377952756)","(31.0, 40.0, 38.794871794871796)","(21.0, 30.0, 29.067226890756302)"
07-12-2022 13:20:27.783493,"(2.35, 2.58, 2.5404123711340207)","(14.0, 16.5, 16.430555555555557)","(5.0, 6.4, 6.33551912568306)","(6.0, 6.4, 6.272628726287263)","(5.0, 6.0, 5.963976377952756)","(31.0, 42.0, 40.68421052631579)","(21.0, 30.0, 29.06694560669456)"
07-12-2022 13:20:28.842116,"(2.35, 2.58, 2.5430392156862744)","(14.0, 16.5, 16.430555555555557)","(5.0, 6.4, 6.354466858789626)","(6.0, 6.4, 6.272628726287263)","(5.0, 6.0, 5.963104838709677)","(31.0, 42.0, 40.68421052631579)","(21.0, 30.0, 29.06611570247934)"
07-12-2022 13:20:29.780953,"(2.35, 2.58, 2.5627664399092973)","(14.0, 16.5, 16.452554744525546)","(5.0, 6.4, 6.361349693251534)","(6.0, 6.4, 6.270993377483444)","(5.0, 6.0, 5.953316326530612)","(31.0, 42.0, 40.148148148148145)","(21.0, 30.0, 29.06611570247934)"
07-12-2022 13:20:31.005572,"(2.35, 2.58, 2.5624074074074072)","(14.0, 16.5, 16.452554744525546)","(5.0, 6.4, 6.384615384615385)","(6.0, 6.4, 6.247974068071313)","(5.0, 6.0, 5.948899755501222)","(31.0, 40.0, 39.214285714285715)","(21.0, 30.0, 29.021929824561404)"
