,Clearly Regal,Dont Forget Dad,Wonfontein,Razzama,Killzy,Nashian,Prince Of Troy,Clay Pan Boogie,Harry And The Duke
09-01-2023 14:25:03.785312,"(20.0, 28.0, 25.428571428571427)","(10.0, 22.0, 21.083333333333336)","(14.0, 21.0, 19.28125)","(1.85, 2.12, 2.106153846153846)","(3.4, 4.1, 3.6824074074074074)","(11.0, 25.0, 22.57142857142857)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.1875)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:05.061548,"(20.0, 28.0, 25.428571428571427)","(10.0, 22.0, 21.083333333333336)","(14.0, 21.0, 19.28125)","(1.85, 2.12, 2.106153846153846)","(3.4, 4.1, 3.6824074074074074)","(11.0, 25.0, 22.57142857142857)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.1875)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:06.257081,"(20.0, 28.0, 25.428571428571427)","(10.0, 22.0, 21.083333333333336)","(14.0, 21.0, 19.28125)","(1.85, 2.12, 2.106153846153846)","(3.4, 4.1, 3.6824074074074074)","(11.0, 25.0, 22.57142857142857)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.1875)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:07.521968,"(20.0, 28.0, 25.428571428571427)","(10.0, 22.0, 21.083333333333336)","(14.0, 21.0, 19.28125)","(1.85, 2.12, 2.106153846153846)","(3.4, 4.1, 3.6824074074074074)","(11.0, 25.0, 22.57142857142857)","(51.0, 220.0, 127.27272727272728)","(9.0, 24.0, 23.1875)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:09.129999,"(20.0, 28.0, 25.428571428571427)","(10.0, 22.0, 17.666666666666668)","(14.0, 21.0, 19.28125)","(1.85, 2.12, 2.106153846153846)","(3.4, 4.1, 3.6824074074074074)","(11.0, 25.0, 22.57142857142857)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.1875)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:10.577790,"(20.0, 28.0, 25.428571428571427)","(10.0, 22.0, 17.666666666666668)","(14.0, 21.0, 19.28125)","(1.85, 2.12, 2.106153846153846)","(3.4, 4.1, 3.6824074074074074)","(11.0, 25.0, 21.391304347826086)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.1875)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:12.071228,"(20.0, 28.0, 25.428571428571427)","(10.0, 22.0, 17.666666666666668)","(14.0, 21.0, 19.28125)","(1.85, 2.12, 2.063720930232558)","(3.4, 4.1, 3.6824074074074074)","(11.0, 24.0, 21.391304347826086)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.1875)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:13.581234,"(20.0, 28.0, 25.428571428571427)","(10.0, 22.0, 17.666666666666668)","(14.0, 21.0, 19.28125)","(1.85, 2.14, 2.063720930232558)","(3.4, 4.1, 3.6824074074074074)","(11.0, 24.0, 21.391304347826086)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.1875)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:15.238073,"(20.0, 28.0, 25.428571428571427)","(10.0, 22.0, 17.666666666666668)","(14.0, 21.0, 19.28125)","(1.85, 2.14, 2.063720930232558)","(3.4, 4.1, 3.6816326530612247)","(11.0, 24.0, 21.391304347826086)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 22.0)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:16.673354,"(20.0, 28.0, 25.428571428571427)","(10.0, 22.0, 17.666666666666668)","(14.0, 21.0, 19.28125)","(1.85, 2.14, 2.063720930232558)","(3.4, 4.1, 3.6816326530612247)","(11.0, 24.0, 22.235294117647058)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 22.0)","(101.0, 220.0, 178.33333333333331)"
