,Another Chino,Cartanera,Dustys Got Talent,Kerman Rock,Blue Card,Shes Our Witness,Allegiance,Truevinsky,Comealilbitcloser,Idle Star,Masaru,Belafonte Boy,Paigeys Turn
07-12-2022 18:37:56.326230,"(7.5, 8.2, 8.199361022364217)","(2.1, 2.42, 2.4157142857142855)","(31.0, 42.0, 40.8780487804878)","(26.0, 32.0, 29.714285714285715)","(21.0, 29.0, 28.106796116504853)","(12.0, 15.0, 14.941176470588236)","(26.0, 34.0, 33.357142857142854)","(31.0, 55.0, 53.888888888888886)","(6.0, 6.2, 6.103875968992248)","(41.0, 60.0, 58.148148148148145)","(31.0, 60.0, 58.888888888888886)","(71.0, 110.0, 109.44444444444444)","(17.0, 22.0, 21.083333333333332)"
07-12-2022 18:37:57.851424,"(7.5, 8.2, 8.199418604651163)","(2.1, 2.42, 2.4157142857142855)","(31.0, 42.0, 40.8780487804878)","(26.0, 32.0, 30.153846153846153)","(21.0, 29.0, 28.06122448979592)","(12.0, 15.0, 14.941176470588236)","(26.0, 34.0, 33.65217391304348)","(31.0, 55.0, 54.54545454545455)","(6.0, 6.2, 6.113080168776372)","(41.0, 60.0, 58.10810810810811)","(31.0, 60.0, 59.18918918918919)","(71.0, 110.0, 109.44444444444444)","(17.0, 22.0, 21.083333333333332)"
07-12-2022 18:37:59.340506,"(7.5, 8.2, 8.199418604651163)","(2.1, 2.42, 2.4157142857142855)","(31.0, 42.0, 40.8780487804878)","(26.0, 32.0, 30.153846153846153)","(21.0, 29.0, 28.650793650793652)","(12.0, 15.0, 15.212121212121213)","(26.0, 34.0, 33.76923076923077)","(31.0, 55.0, 54.76190476190476)","(6.0, 6.2, 6.114579055441479)","(41.0, 60.0, 58.10810810810811)","(31.0, 60.0, 59.18918918918919)","(71.0, 110.0, 116.95121951219512)","(17.0, 22.0, 21.083333333333332)"
07-12-2022 18:38:00.735300,"(7.5, 7.8, 7.75819209039548)","(2.1, 2.44, 2.4271523178807946)","(31.0, 42.0, 40.75675675675676)","(26.0, 32.0, 30.153846153846153)","(21.0, 28.0, 27.710526315789473)","(12.0, 15.5, 15.28)","(26.0, 34.0, 33.76923076923077)","(31.0, 55.0, 54.76190476190476)","(6.0, 6.2, 6.0925064599483205)","(41.0, 60.0, 58.10810810810811)","(31.0, 60.0, 59.21052631578947)","(71.0, 120.0, 116.95121951219512)","(17.0, 22.0, 21.083333333333332)"
07-12-2022 18:38:02.073587,"(7.5, 7.8, 7.771779141104294)","(2.1, 2.44, 2.4271523178807946)","(31.0, 42.0, 41.37837837837838)","(26.0, 32.0, 29.75)","(21.0, 28.0, 27.775510204081634)","(12.0, 15.5, 15.28)","(26.0, 34.0, 33.76923076923077)","(31.0, 55.0, 58.75)","(6.0, 6.2, 6.097536945812808)","(41.0, 60.0, 57.5)","(31.0, 60.0, 59.48717948717949)","(71.0, 120.0, 104.0)","(17.0, 22.0, 21.185185185185187)"
07-12-2022 18:38:03.766247,"(7.5, 7.8, 7.765413533834586)","(2.1, 2.42, 2.410723404255319)","(31.0, 42.0, 41.56410256410256)","(26.0, 32.0, 30.2)","(21.0, 28.0, 27.5)","(12.0, 16.0, 15.48936170212766)","(26.0, 34.0, 33.806451612903224)","(31.0, 60.0, 58.75)","(6.0, 6.2, 6.087058823529412)","(41.0, 60.0, 56.42857142857143)","(31.0, 60.0, 59.48717948717949)","(71.0, 120.0, 104.0)","(17.0, 22.0, 21.185185185185187)"
07-12-2022 18:38:05.186371,"(7.5, 7.8, 7.771604938271604)","(2.1, 2.42, 2.4014468085106384)","(31.0, 42.0, 41.56410256410256)","(26.0, 32.0, 30.2)","(21.0, 28.0, 27.5)","(12.0, 16.0, 15.48936170212766)","(26.0, 34.0, 33.806451612903224)","(31.0, 60.0, 58.75)","(6.0, 6.2, 6.087058823529412)","(41.0, 60.0, 56.42857142857143)","(31.0, 60.0, 59.51219512195122)","(71.0, 120.0, 116.95121951219512)","(17.0, 22.0, 21.405405405405407)"
07-12-2022 18:38:06.526329,"(7.5, 7.8, 7.773714285714285)","(2.1, 2.42, 2.409684210526316)","(31.0, 42.0, 41.62637362637363)","(26.0, 32.0, 30.5)","(21.0, 28.0, 27.78688524590164)","(12.0, 16.0, 15.628571428571428)","(26.0, 34.0, 33.8235294117647)","(31.0, 60.0, 59.03225806451613)","(6.0, 6.2, 6.092436974789916)","(41.0, 60.0, 56.875)","(31.0, 60.0, 59.51219512195122)","(71.0, 120.0, 116.95121951219512)","(17.0, 22.0, 21.405405405405407)"
07-12-2022 18:38:07.854221,"(7.5, 7.8, 7.773099415204678)","(2.1, 2.42, 2.409684210526316)","(31.0, 42.0, 41.663366336633665)","(26.0, 32.0, 30.5)","(21.0, 28.0, 27.78688524590164)","(12.0, 16.0, 15.6)","(26.0, 34.0, 33.8235294117647)","(31.0, 60.0, 59.25)","(6.0, 6.2, 6.092436974789916)","(41.0, 65.0, 56.578947368421055)","(31.0, 60.0, 59.51219512195122)","(71.0, 110.0, 108.17073170731707)","(17.0, 22.0, 21.405405405405407)"
07-12-2022 18:38:09.353639,"(7.5, 7.8, 7.730973451327434)","(2.1, 2.42, 2.409484536082474)","(31.0, 42.0, 41.663366336633665)","(26.0, 32.0, 30.5)","(21.0, 28.0, 27.78688524590164)","(12.0, 16.0, 15.6)","(26.0, 34.0, 33.8235294117647)","(31.0, 60.0, 59.4)","(6.0, 6.2, 6.106796116504855)","(41.0, 65.0, 61.0)","(31.0, 60.0, 59.51219512195122)","(71.0, 110.0, 108.66071428571428)","(17.0, 22.0, 21.405405405405407)"
