,Manor Road,Norman,Springstreet Blues,Stable Talk,Lady Samurai,Sligo Queen,Aldane,Charge Extra,Marsh Lillie,Mullamaart,Spanish King,Tropic Sands,Turnaway
12-01-2023 13:24:59.063830,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.8)","(13.0, 22.0, 19.6)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.2, 2.877894736842105)","(20.0, 110.0, 35.833333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 151.66666666666669)","(16.0, 85.0, 29.8)","(17.0, 42.0, 32.72727272727273)","(18.0, 90.0, 41.0)","(3.6, 4.8, 4.1)"
12-01-2023 13:25:00.670405,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.8)","(13.0, 22.0, 19.6)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.2, 2.877894736842105)","(20.0, 110.0, 35.833333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 151.66666666666669)","(16.0, 85.0, 29.8)","(17.0, 42.0, 32.72727272727273)","(18.0, 90.0, 41.0)","(3.6, 4.8, 4.1)"
12-01-2023 13:25:02.243042,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.8)","(13.0, 22.0, 19.6)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.2, 2.877894736842105)","(20.0, 110.0, 35.833333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 151.66666666666669)","(16.0, 85.0, 29.8)","(17.0, 42.0, 32.72727272727273)","(18.0, 90.0, 37.66666666666667)","(3.6, 4.8, 4.706666666666667)"
12-01-2023 13:25:03.858916,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 6.371428571428571)","(13.0, 22.0, 20.0)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.2, 2.9408)","(20.0, 110.0, 35.833333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 151.66666666666669)","(16.0, 85.0, 29.8)","(17.0, 42.0, 32.72727272727273)","(18.0, 80.0, 37.66666666666667)","(3.6, 4.8, 4.375)"
12-01-2023 13:25:05.277784,"(31.0, 170.0, 116.15384615384616)","(5.0, 6.8, 6.371428571428571)","(13.0, 22.0, 20.0)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.2, 2.877894736842105)","(20.0, 110.0, 35.833333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 85.0, 29.8)","(17.0, 42.0, 32.72727272727273)","(18.0, 80.0, 37.66666666666667)","(3.6, 4.9, 4.375)"
12-01-2023 13:25:06.707161,"(31.0, 170.0, 116.15384615384616)","(5.0, 6.8, 6.371428571428571)","(13.0, 22.0, 20.0)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.2, 2.877894736842105)","(20.0, 110.0, 35.833333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 85.0, 29.8)","(17.0, 42.0, 32.72727272727273)","(18.0, 80.0, 37.66666666666667)","(3.6, 4.9, 4.375)"
12-01-2023 13:25:08.174321,"(31.0, 170.0, 116.15384615384616)","(5.0, 6.8, 6.371428571428571)","(13.0, 22.0, 20.0)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.2, 2.877894736842105)","(20.0, 110.0, 35.833333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 85.0, 29.8)","(17.0, 42.0, 32.72727272727273)","(18.0, 80.0, 37.66666666666667)","(3.6, 4.9, 4.375)"
12-01-2023 13:25:09.709435,"(31.0, 170.0, 116.15384615384616)","(5.0, 6.8, 6.371428571428571)","(13.0, 22.0, 20.0)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.2, 2.912)","(20.0, 110.0, 40.75)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 85.0, 37.33333333333333)","(17.0, 42.0, 25.333333333333336)","(18.0, 80.0, 37.66666666666667)","(3.6, 4.9, 4.35)"
12-01-2023 13:25:11.194472,"(31.0, 170.0, 116.15384615384616)","(5.0, 6.8, 6.125)","(13.0, 21.0, 18.75)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.2, 2.912)","(20.0, 100.0, 40.75)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 80.0, 26.666666666666664)","(17.0, 42.0, 25.333333333333336)","(18.0, 80.0, 37.66666666666667)","(3.6, 4.8, 4.35)"
12-01-2023 13:25:12.649042,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.3)","(13.0, 21.0, 18.75)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.2, 2.912)","(20.0, 100.0, 33.333333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 80.0, 35.66666666666667)","(17.0, 42.0, 25.333333333333336)","(18.0, 80.0, 37.66666666666667)","(3.6, 4.8, 4.0636363636363635)"
