,Rhythmic Ruler,Emjay,Steinbeck,East Of India,Potential Grizzly,Math Man Marco,Pour Me A Double
15-12-2022 12:01:25.654749,"(8.0, 32.0, 17.333333333333332)","(6.5, 10.5, 10.36875)","(2.25, 2.74, 2.716923076923077)","(8.0, 25.0, 19.833333333333336)","(10.0, 25.0, 21.0)","(4.4, 5.0, 4.366666666666666)","(7.5, 13.0, 11.466666666666667)"
15-12-2022 12:01:26.828647,"(8.0, 30.0, 22.6)","(6.5, 10.5, 10.36875)","(2.25, 2.74, 2.716923076923077)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 23.323529411764707)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:27.990352,"(8.0, 30.0, 22.8)","(6.5, 10.5, 10.36875)","(2.25, 2.74, 2.716923076923077)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 21.25)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:29.146775,"(8.0, 30.0, 22.8)","(6.5, 10.5, 10.36875)","(2.25, 2.74, 2.716923076923077)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 21.25)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:30.202902,"(8.0, 30.0, 22.8)","(6.5, 10.5, 9.866666666666667)","(2.25, 2.74, 2.716923076923077)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 21.25)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:31.196616,"(8.0, 30.0, 28.2)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.74, 2.716923076923077)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 21.25)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:32.273148,"(8.0, 30.0, 23.4375)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.74, 2.716923076923077)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.0)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:33.344657,"(8.0, 30.0, 21.25)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.74, 2.716923076923077)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 21.5)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:34.453806,"(8.0, 30.0, 21.25)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.74, 2.716923076923077)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 21.5)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:35.616263,"(8.0, 30.0, 21.25)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.74, 2.716923076923077)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 21.5)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
