,Spotlight,Aldebaran Gwen,This Quaker,My High Peak,Little Tedey,Bellmac Bambi,Regency,Majestic Achiever Nz
07-12-2022 17:43:59.487292,"(3.7, 5.7, 5.776470588235295)","(17.0, 30.0, 28.875)","(41.0, 140.0, 103.33333333333333)","(4.8, 6.4, 6.113043478260869)","(26.0, 65.0, 39.0)","(41.0, 95.0, 81.66666666666667)","(1.65, 1.89, 1.8144)","(41.0, 99999, 99990)"
07-12-2022 17:44:00.569264,"(3.7, 5.9, 5.776470588235295)","(17.0, 30.0, 28.875)","(41.0, 140.0, 103.33333333333333)","(4.8, 6.4, 6.113043478260869)","(26.0, 46.0, 39.0)","(41.0, 95.0, 75.0)","(1.65, 1.89, 1.8093333333333332)","(41.0, 99999, 99990)"
07-12-2022 17:44:01.692130,"(3.7, 5.8, 5.765714285714285)","(17.0, 30.0, 28.875)","(41.0, 140.0, 94.16666666666667)","(4.8, 6.4, 6.113043478260869)","(26.0, 46.0, 37.333333333333336)","(41.0, 95.0, 75.0)","(1.65, 1.89, 1.8723076923076922)","(41.0, 99999, 99990)"
07-12-2022 17:44:02.734388,"(3.7, 5.9, 5.794117647058824)","(17.0, 30.0, 28.875)","(41.0, 140.0, 115.0)","(4.8, 6.4, 6.108108108108108)","(26.0, 48.0, 37.333333333333336)","(41.0, 95.0, 75.0)","(1.65, 1.88, 1.8105555555555555)","(41.0, 99999, 99990)"
07-12-2022 17:44:03.730039,"(3.7, 5.9, 5.794117647058824)","(17.0, 30.0, 28.875)","(41.0, 130.0, 123.75)","(4.8, 6.4, 6.108108108108108)","(26.0, 60.0, 41.333333333333336)","(41.0, 90.0, 72.5)","(1.65, 1.87, 1.863846153846154)","(41.0, 99999, 99990)"
07-12-2022 17:44:04.796370,"(3.7, 5.9, 5.78)","(17.0, 30.0, 28.875)","(41.0, 130.0, 123.75)","(4.8, 6.4, 6.108108108108108)","(26.0, 55.0, 43.5)","(41.0, 90.0, 72.5)","(1.65, 1.87, 1.863846153846154)","(41.0, 99999, 99990)"
07-12-2022 17:44:05.781679,"(3.7, 5.9, 5.716666666666667)","(17.0, 30.0, 28.875)","(41.0, 130.0, 123.75)","(4.8, 6.4, 6.065116279069768)","(26.0, 55.0, 43.5)","(41.0, 90.0, 83.0)","(1.65, 1.87, 1.82)","(41.0, 99999, 99990)"
07-12-2022 17:44:06.802407,"(3.7, 5.9, 5.716666666666667)","(17.0, 30.0, 28.875)","(41.0, 130.0, 123.75)","(4.8, 6.4, 6.065116279069768)","(26.0, 55.0, 43.5)","(41.0, 90.0, 83.0)","(1.65, 1.86, 1.8281818181818184)","(41.0, 99999, 99990)"
07-12-2022 17:44:07.805315,"(3.7, 5.9, 5.716666666666667)","(17.0, 30.0, 28.875)","(41.0, 130.0, 123.75)","(4.8, 6.4, 6.065116279069768)","(26.0, 55.0, 43.5)","(41.0, 90.0, 72.5)","(1.65, 1.86, 1.807872340425532)","(41.0, 99999, 99990)"
07-12-2022 17:44:08.868040,"(3.7, 5.9, 5.680000000000001)","(17.0, 30.0, 28.875)","(41.0, 130.0, 123.75)","(4.8, 6.4, 6.065116279069768)","(26.0, 55.0, 43.5)","(41.0, 90.0, 72.5)","(1.65, 1.85, 1.7445833333333334)","(41.0, 99999, 99990)"
07-12-2022 17:44:09.915822,"(3.7, 5.9, 5.716666666666667)","(17.0, 30.0, 28.875)","(41.0, 130.0, 123.75)","(4.8, 6.4, 6.065116279069768)","(26.0, 55.0, 43.5)","(41.0, 80.0, 67.5)","(1.65, 1.85, 1.7461111111111112)","(41.0, 99999, 99990)"
07-12-2022 17:44:11.105965,"(3.7, 5.9, 5.72258064516129)","(17.0, 30.0, 28.875)","(41.0, 130.0, 123.75)","(4.8, 6.4, 6.065116279069768)","(26.0, 55.0, 43.5)","(41.0, 80.0, 67.5)","(1.65, 1.82, 1.7533333333333334)","(41.0, 99999, 99990)"
07-12-2022 17:44:12.243412,"(3.7, 5.9, 5.72258064516129)","(17.0, 30.0, 29.18181818181818)","(41.0, 130.0, 93.88888888888889)","(4.8, 6.4, 6.108108108108108)","(26.0, 55.0, 43.5)","(41.0, 80.0, 67.5)","(1.65, 1.82, 1.7771428571428571)","(41.0, 99999, 99990)"
07-12-2022 17:44:13.349672,"(3.7, 5.9, 5.72258064516129)","(17.0, 30.0, 29.142857142857142)","(41.0, 130.0, 93.88888888888889)","(4.8, 6.4, 6.108108108108108)","(26.0, 55.0, 43.5)","(41.0, 80.0, 67.5)","(1.65, 1.82, 1.7889655172413794)","(41.0, 99999, 99990)"
07-12-2022 17:44:14.454729,"(3.7, 5.9, 5.72258064516129)","(17.0, 30.0, 29.142857142857142)","(41.0, 130.0, 93.88888888888889)","(4.8, 6.4, 6.108108108108108)","(26.0, 55.0, 43.5)","(41.0, 80.0, 67.5)","(1.65, 1.82, 1.7889655172413794)","(41.0, 99999, 99990)"
07-12-2022 17:44:15.534132,"(3.7, 5.9, 5.72258064516129)","(17.0, 30.0, 29.142857142857142)","(41.0, 130.0, 93.88888888888889)","(4.8, 6.4, 6.108108108108108)","(26.0, 55.0, 43.5)","(41.0, 80.0, 63.333333333333336)","(1.65, 1.82, 1.7771428571428571)","(41.0, 99999, 99990)"
07-12-2022 17:44:16.681885,"(3.7, 5.9, 5.72258064516129)","(17.0, 30.0, 27.75)","(41.0, 130.0, 93.88888888888889)","(4.8, 6.4, 6.273684210526316)","(26.0, 55.0, 43.5)","(41.0, 80.0, 63.333333333333336)","(1.65, 1.82, 1.8049056603773586)","(41.0, 99999, 99990)"
07-12-2022 17:44:17.873930,"(3.7, 5.7, 5.596875)","(17.0, 30.0, 27.75)","(41.0, 130.0, 93.88888888888889)","(4.8, 6.4, 6.29433962264151)","(26.0, 55.0, 43.5)","(41.0, 80.0, 63.333333333333336)","(1.65, 1.82, 1.8049056603773586)","(41.0, 99999, 99990)"
07-12-2022 17:44:18.986875,"(3.7, 5.7, 5.472)","(17.0, 32.0, 27.5)","(41.0, 130.0, 96.66666666666667)","(4.8, 6.4, 6.272727272727273)","(26.0, 55.0, 43.5)","(41.0, 80.0, 63.333333333333336)","(1.65, 1.82, 1.8204545454545455)","(41.0, 99999, 99990)"
07-12-2022 17:44:20.166903,"(3.7, 5.7, 5.415)","(17.0, 32.0, 27.5)","(41.0, 130.0, 95.0)","(4.8, 6.4, 6.272727272727273)","(26.0, 55.0, 38.0)","(41.0, 80.0, 63.333333333333336)","(1.65, 1.83, 1.8294642857142858)","(41.0, 99999, 99990)"
07-12-2022 17:44:21.301399,"(3.7, 5.6, 5.41)","(17.0, 32.0, 27.5)","(41.0, 130.0, 95.0)","(4.8, 6.4, 6.272727272727273)","(26.0, 50.0, 38.0)","(41.0, 80.0, 63.333333333333336)","(1.65, 1.86, 1.822857142857143)","(41.0, 99999, 99990)"
07-12-2022 17:44:22.310638,"(3.7, 5.6, 5.41)","(17.0, 32.0, 27.5)","(41.0, 130.0, 95.0)","(4.8, 6.4, 6.25)","(26.0, 50.0, 38.0)","(41.0, 80.0, 63.333333333333336)","(1.65, 1.85, 1.822857142857143)","(41.0, 99999, 99990)"
07-12-2022 17:44:23.372697,"(3.7, 5.6, 5.41)","(17.0, 32.0, 27.5)","(41.0, 130.0, 95.0)","(4.8, 6.4, 6.322222222222223)","(26.0, 50.0, 45.55555555555556)","(41.0, 80.0, 63.333333333333336)","(1.65, 1.85, 1.7983333333333333)","(41.0, 99999, 99990)"
07-12-2022 17:44:24.390451,"(3.7, 5.6, 5.49)","(17.0, 32.0, 27.5)","(41.0, 130.0, 95.0)","(4.8, 6.4, 6.322222222222223)","(26.0, 50.0, 45.55555555555556)","(41.0, 80.0, 63.333333333333336)","(1.65, 1.83, 1.7983333333333333)","(41.0, 99999, 99990)"
07-12-2022 17:44:25.403931,"(3.7, 5.6, 5.49)","(17.0, 32.0, 27.5)","(41.0, 130.0, 95.0)","(4.8, 6.4, 6.322222222222223)","(26.0, 50.0, 45.55555555555556)","(41.0, 80.0, 63.333333333333336)","(1.65, 1.83, 1.7983333333333333)","(41.0, 99999, 99990)"
07-12-2022 17:44:26.479931,"(3.7, 5.6, 5.461538461538462)","(17.0, 32.0, 27.5)","(41.0, 130.0, 95.0)","(4.8, 6.6, 6.341935483870968)","(26.0, 50.0, 38.0)","(41.0, 50.0, 46.27272727272727)","(1.65, 1.86, 1.8511764705882354)","(41.0, 99999, 99990)"
07-12-2022 17:44:27.597832,"(3.7, 5.6, 5.461538461538462)","(17.0, 32.0, 27.5)","(41.0, 130.0, 95.0)","(4.8, 6.6, 6.2)","(26.0, 50.0, 36.5)","(41.0, 50.0, 46.31372549019608)","(1.65, 1.86, 1.8752941176470588)","(41.0, 99999, 99990)"
07-12-2022 17:44:28.776046,"(3.7, 5.9, 5.630769230769231)","(17.0, 30.0, 28.5)","(41.0, 130.0, 95.0)","(4.8, 6.2, 5.64)","(26.0, 50.0, 36.666666666666664)","(41.0, 50.0, 46.31372549019608)","(1.65, 1.9, 1.8938953488372092)","(41.0, 99999, 99990)"
07-12-2022 17:44:29.921538,"(3.7, 5.9, 5.630769230769231)","(17.0, 30.0, 28.5)","(41.0, 130.0, 102.0)","(4.8, 6.0, 5.64)","(26.0, 50.0, 36.666666666666664)","(41.0, 50.0, 44.65217391304348)","(1.65, 1.9, 1.893478260869565)","(41.0, 99999, 99990)"
07-12-2022 17:44:31.127610,"(3.7, 5.9, 5.652941176470588)","(17.0, 30.0, 28.5)","(41.0, 130.0, 108.46153846153847)","(4.8, 6.0, 5.64)","(26.0, 50.0, 36.666666666666664)","(41.0, 50.0, 44.6)","(1.65, 1.9, 1.893478260869565)","(41.0, 99999, 99990)"
07-12-2022 17:44:32.194761,"(3.7, 5.9, 5.652941176470588)","(17.0, 30.0, 28.5)","(41.0, 130.0, 108.46153846153847)","(4.8, 6.0, 5.64)","(26.0, 50.0, 36.666666666666664)","(41.0, 50.0, 44.6)","(1.65, 1.9, 1.893478260869565)","(41.0, 99999, 99990)"
07-12-2022 17:44:33.273904,"(3.7, 5.9, 5.531578947368422)","(17.0, 30.0, 27.857142857142858)","(41.0, 130.0, 108.46153846153847)","(5.0, 5.7, 5.615384615384615)","(26.0, 50.0, 36.666666666666664)","(41.0, 50.0, 44.6)","(1.65, 1.9, 1.8959090909090908)","(41.0, 99999, 99990)"
07-12-2022 17:44:34.314926,"(3.8, 5.9, 5.531578947368422)","(16.0, 30.0, 27.857142857142858)","(41.0, 130.0, 108.46153846153847)","(5.0, 5.7, 5.615384615384615)","(26.0, 50.0, 36.666666666666664)","(41.0, 50.0, 44.6)","(1.65, 1.9, 1.8959090909090908)","(41.0, 99999, 99990)"
07-12-2022 17:44:35.380760,"(3.9, 5.9, 5.531578947368422)","(16.0, 30.0, 27.857142857142858)","(41.0, 130.0, 108.46153846153847)","(5.0, 5.7, 5.615384615384615)","(26.0, 50.0, 36.666666666666664)","(41.0, 50.0, 44.6)","(1.65, 1.9, 1.8959090909090908)","(41.0, 99999, 99990)"
07-12-2022 17:44:36.456887,"(3.9, 5.9, 5.531578947368422)","(16.0, 30.0, 27.857142857142858)","(41.0, 130.0, 108.46153846153847)","(5.0, 5.7, 5.615384615384615)","(26.0, 50.0, 36.666666666666664)","(41.0, 50.0, 44.6)","(1.65, 1.9, 1.8959090909090908)","(41.0, 99999, 99990)"
07-12-2022 17:44:37.550707,"(3.9, 5.9, 5.640740740740741)","(16.0, 30.0, 27.857142857142858)","(41.0, 130.0, 102.77777777777777)","(5.0, 6.0, 5.6499999999999995)","(26.0, 46.0, 42.5)","(41.0, 50.0, 44.6)","(1.65, 1.9, 1.8715789473684212)","(41.0, 99999, 99990)"
