,Spotlight,Aldebaran Gwen,This Quaker,My High Peak,Little Tedey,Bellmac Bambi,Regency,Majestic Achiever Nz
07-12-2022 17:45:11.286007,"(4.0, 5.8, 5.705882352941177)","(16.0, 26.0, 25.764705882352942)","(51.0, 120.0, 106.66666666666667)","(4.8, 5.7, 5.625)","(26.0, 36.0, 33.0)","(41.0, 44.0, 43.833333333333336)","(1.65, 1.97, 1.9040000000000001)","(31.0, 99999, 99990)"
07-12-2022 17:45:12.512217,"(4.0, 5.8, 5.620689655172414)","(16.0, 26.0, 24.333333333333332)","(51.0, 120.0, 88.57142857142857)","(4.8, 5.7, 5.877777777777778)","(26.0, 36.0, 38.22222222222222)","(41.0, 44.0, 58.41121495327103)","(1.65, 1.87, 1.8666176470588236)","(31.0, 99999, 99990)"
07-12-2022 17:45:13.631922,"(4.0, 5.8, 5.663829787234042)","(16.0, 27.0, 25.22222222222222)","(51.0, 110.0, 88.57142857142857)","(4.8, 5.9, 5.890000000000001)","(26.0, 42.0, 38.19047619047619)","(41.0, 60.0, 50.55555555555556)","(1.65, 1.88, 1.8691803278688524)","(31.0, 99999, 99990)"
07-12-2022 17:45:14.800482,"(4.0, 5.8, 5.655555555555556)","(16.0, 27.0, 26.18181818181818)","(51.0, 130.0, 107.5)","(4.8, 5.9, 5.855882352941177)","(26.0, 42.0, 38.285714285714285)","(41.0, 60.0, 52.77777777777778)","(1.65, 1.88, 1.8495238095238096)","(31.0, 99999, 99990)"
07-12-2022 17:45:16.074968,"(4.0, 5.8, 5.691666666666666)","(16.0, 27.0, 25.6)","(51.0, 130.0, 97.5)","(4.8, 5.9, 5.828947368421053)","(26.0, 42.0, 38.285714285714285)","(41.0, 60.0, 52.77777777777778)","(1.65, 1.88, 1.8650000000000002)","(31.0, 99999, 99990)"
07-12-2022 17:45:17.178021,"(4.0, 5.8, 5.691666666666666)","(16.0, 26.0, 25.6)","(51.0, 110.0, 97.5)","(4.8, 5.9, 5.828947368421053)","(26.0, 42.0, 38.285714285714285)","(41.0, 60.0, 52.77777777777778)","(1.65, 1.87, 1.8650000000000002)","(31.0, 99999, 99990)"
07-12-2022 17:45:18.315175,"(4.0, 5.8, 5.691666666666666)","(16.0, 26.0, 25.6)","(51.0, 110.0, 97.5)","(4.8, 5.9, 5.828947368421053)","(26.0, 42.0, 38.285714285714285)","(41.0, 60.0, 52.77777777777778)","(1.65, 1.87, 1.8650000000000002)","(31.0, 99999, 99990)"
07-12-2022 17:45:19.606615,"(4.0, 5.6, 5.574999999999999)","(16.0, 26.0, 25.6)","(51.0, 110.0, 90.0)","(4.8, 5.9, 5.767441860465116)","(26.0, 42.0, 39.2)","(41.0, 60.0, 53.125)","(1.65, 1.89, 1.8870351758793968)","(31.0, 99999, 99990)"
07-12-2022 17:45:20.735119,"(4.0, 5.6, 5.574999999999999)","(16.0, 27.0, 26.555555555555557)","(51.0, 100.0, 90.0)","(4.8, 5.9, 5.767441860465116)","(26.0, 42.0, 39.2)","(41.0, 60.0, 52.38095238095238)","(1.65, 1.9, 1.8910610932475884)","(31.0, 99999, 99990)"
07-12-2022 17:45:21.827272,"(4.0, 5.8, 5.674509803921569)","(16.0, 26.0, 25.785714285714285)","(51.0, 100.0, 90.0)","(4.8, 5.9, 5.6875)","(26.0, 42.0, 39.2)","(41.0, 60.0, 49.75)","(1.65, 1.9, 1.89746192893401)","(31.0, 99999, 99990)"
07-12-2022 17:45:22.976425,"(4.0, 5.8, 5.674509803921569)","(16.0, 26.0, 25.615384615384617)","(51.0, 100.0, 85.88235294117646)","(4.8, 5.9, 5.74186046511628)","(26.0, 42.0, 39.2)","(41.0, 55.0, 49.166666666666664)","(1.65, 1.9, 1.8853125)","(31.0, 99999, 99990)"
07-12-2022 17:45:24.045412,"(4.0, 5.8, 5.674509803921569)","(16.0, 26.0, 25.0)","(51.0, 100.0, 85.88235294117646)","(4.8, 5.9, 5.74186046511628)","(26.0, 40.0, 39.09090909090909)","(41.0, 55.0, 49.166666666666664)","(1.65, 1.95, 1.9415254237288135)","(31.0, 99999, 99990)"
07-12-2022 17:45:25.178111,"(4.0, 5.8, 5.683636363636364)","(16.0, 26.0, 25.785714285714285)","(51.0, 100.0, 86.0)","(4.8, 5.9, 5.74186046511628)","(26.0, 40.0, 39.09090909090909)","(41.0, 55.0, 47.92857142857143)","(1.65, 1.95, 1.9236842105263157)","(31.0, 99999, 99990)"
07-12-2022 17:45:26.273055,"(4.0, 5.8, 5.683636363636364)","(16.0, 26.0, 25.785714285714285)","(51.0, 100.0, 86.0)","(4.8, 5.9, 5.74186046511628)","(26.0, 40.0, 39.09090909090909)","(41.0, 55.0, 47.92857142857143)","(1.65, 1.95, 1.946067415730337)","(31.0, 99999, 99990)"
07-12-2022 17:45:27.377955,"(4.0, 5.8, 5.627027027027027)","(16.0, 26.0, 25.785714285714285)","(51.0, 100.0, 86.0)","(4.8, 5.8, 5.664516129032258)","(26.0, 40.0, 39.09090909090909)","(41.0, 55.0, 47.92857142857143)","(1.65, 1.95, 1.9048571428571428)","(31.0, 99999, 99990)"
07-12-2022 17:45:28.544512,"(4.0, 5.8, 5.627027027027027)","(16.0, 26.0, 25.785714285714285)","(51.0, 100.0, 86.0)","(4.8, 5.8, 5.664516129032258)","(26.0, 40.0, 39.09090909090909)","(41.0, 55.0, 47.92857142857143)","(1.65, 1.95, 1.9024096385542169)","(31.0, 99999, 99990)"
07-12-2022 17:45:29.797906,"(4.0, 5.8, 5.7272727272727275)","(16.0, 26.0, 25.785714285714285)","(51.0, 100.0, 86.07142857142857)","(4.8, 5.8, 5.664516129032258)","(26.0, 40.0, 38.333333333333336)","(41.0, 46.0, 45.0)","(1.65, 1.95, 1.9025316455696202)","(31.0, 99999, 99990)"
07-12-2022 17:45:31.178878,"(4.0, 5.8, 5.725)","(16.0, 27.0, 26.666666666666668)","(51.0, 100.0, 86.07142857142857)","(4.8, 5.8, 5.36923076923077)","(26.0, 40.0, 38.333333333333336)","(41.0, 55.0, 50.35714285714286)","(1.65, 1.95, 1.969160839160839)","(31.0, 99999, 99990)"
07-12-2022 17:45:32.492124,"(4.0, 5.8, 5.674468085106383)","(16.0, 27.0, 27.2)","(51.0, 100.0, 84.70588235294117)","(4.8, 5.4, 5.357142857142858)","(26.0, 40.0, 38.266666666666666)","(41.0, 55.0, 50.666666666666664)","(1.65, 1.97, 1.9710169491525424)","(31.0, 99999, 99990)"
07-12-2022 17:45:33.798042,"(4.0, 5.8, 5.76595744680851)","(16.0, 28.0, 27.555555555555557)","(51.0, 100.0, 84.70588235294117)","(4.8, 5.6, 5.4399999999999995)","(26.0, 42.0, 40.09090909090909)","(31.0, 55.0, 49.8)","(1.65, 1.98, 1.9639393939393939)","(31.0, 99999, 99990)"
07-12-2022 17:45:35.131531,"(4.0, 5.7, 5.674468085106383)","(16.0, 28.0, 27.555555555555557)","(51.0, 100.0, 84.70588235294117)","(4.8, 5.5, 5.294871794871795)","(26.0, 40.0, 39.42857142857143)","(31.0, 50.0, 47.2)","(1.65, 1.98, 1.9550943396226415)","(31.0, 99999, 99990)"
07-12-2022 17:45:36.817836,"(4.0, 5.8, 5.76595744680851)","(16.0, 28.0, 27.285714285714285)","(51.0, 100.0, 84.70588235294117)","(4.8, 5.4, 5.254545454545455)","(26.0, 40.0, 39.42857142857143)","(31.0, 50.0, 46.0)","(1.65, 1.98, 1.9550943396226415)","(31.0, 99999, 99990)"
07-12-2022 17:45:38.305687,"(4.0, 5.8, 5.1128)","(16.0, 28.0, 27.11111111111111)","(51.0, 100.0, 85.55555555555556)","(4.8, 5.4, 5.533333333333333)","(26.0, 40.0, 38.888888888888886)","(31.0, 50.0, 45.25)","(1.65, 1.98, 1.9576923076923076)","(31.0, 99999, 99990)"
07-12-2022 17:45:39.767879,"(4.0, 5.3, 5.117543859649122)","(16.0, 28.0, 27.647058823529413)","(51.0, 100.0, 86.15384615384616)","(4.8, 5.6, 5.52)","(26.0, 40.0, 38.857142857142854)","(31.0, 55.0, 44.25)","(1.65, 1.96, 1.9572413793103447)","(31.0, 99999, 99990)"
07-12-2022 17:45:41.132089,"(4.0, 4.9, 4.827272727272727)","(16.0, 29.0, 28.428571428571427)","(51.0, 100.0, 86.15384615384616)","(4.8, 5.6, 5.5)","(26.0, 42.0, 38.96551724137931)","(31.0, 60.0, 45.1764705882353)","(1.65, 1.98, 1.9260829493087557)","(31.0, 99999, 99990)"
07-12-2022 17:45:42.508079,"(4.2, 5.0, 4.92909090909091)","(17.0, 29.0, 28.333333333333332)","(51.0, 100.0, 87.14285714285714)","(4.8, 5.7, 5.433333333333334)","(26.0, 42.0, 38.48)","(31.0, 60.0, 45.1764705882353)","(1.65, 1.95, 1.9565289256198346)","(31.0, 99999, 99990)"
07-12-2022 17:45:43.831998,"(4.2, 5.4, 5.356521739130435)","(17.0, 29.0, 28.333333333333332)","(51.0, 100.0, 87.14285714285714)","(4.8, 5.5, 5.527272727272727)","(26.0, 42.0, 39.2)","(31.0, 60.0, 51.333333333333336)","(1.65, 1.96, 1.9375862068965517)","(31.0, 99999, 99990)"
07-12-2022 17:45:45.166339,"(4.2, 5.4, 5.356521739130435)","(17.0, 29.0, 28.75)","(51.0, 100.0, 87.14285714285714)","(4.8, 5.6, 5.507692307692308)","(26.0, 40.0, 39.55555555555556)","(31.0, 55.0, 51.333333333333336)","(1.65, 1.95, 1.9381481481481482)","(31.0, 99999, 99990)"
07-12-2022 17:45:46.390411,"(4.2, 5.4, 5.345454545454546)","(17.0, 29.0, 28.75)","(51.0, 100.0, 87.14285714285714)","(4.8, 5.6, 5.489473684210527)","(26.0, 40.0, 39.55555555555556)","(31.0, 55.0, 51.333333333333336)","(1.65, 1.95, 1.9444827586206896)","(31.0, 99999, 99990)"
07-12-2022 17:45:47.647680,"(4.2, 5.4, 5.345454545454546)","(17.0, 29.0, 28.75)","(51.0, 100.0, 87.14285714285714)","(4.8, 5.7, 5.489473684210527)","(26.0, 40.0, 39.55555555555556)","(31.0, 55.0, 51.333333333333336)","(1.65, 1.95, 1.9376923076923076)","(31.0, 99999, 99990)"
07-12-2022 17:45:48.920047,"(4.2, 5.4, 5.304)","(17.0, 29.0, 29.1)","(51.0, 100.0, 67.6923076923077)","(4.8, 5.7, 4.96969696969697)","(26.0, 40.0, 39.368421052631575)","(31.0, 55.0, 41.0)","(1.65, 1.95, 2.219781729991916)","(31.0, 99999, 99990)"
07-12-2022 17:45:50.218691,"(4.2, 4.8, 4.785)","(17.0, 30.0, 29.1)","(51.0, 100.0, 67.6923076923077)","(4.8, 5.0, 4.94)","(26.0, 40.0, 39.529411764705884)","(31.0, 44.0, 49.40425531914894)","(1.65, 2.22, 2.228)","(31.0, 99999, 99990)"
07-12-2022 17:45:51.569860,"(4.2, 5.1, 4.671428571428572)","(17.0, 30.0, 28.3)","(51.0, 90.0, 70.0)","(4.8, 5.0, 5.133333333333334)","(26.0, 40.0, 39.529411764705884)","(31.0, 50.0, 47.73913043478261)","(1.65, 2.26, 2.2333333333333334)","(31.0, 99999, 99990)"
07-12-2022 17:45:52.890967,"(4.2, 5.1, 4.8545454545454545)","(17.0, 30.0, 28.692307692307693)","(51.0, 85.0, 70.0)","(4.8, 5.2, 5.0)","(26.0, 40.0, 39.529411764705884)","(31.0, 48.0, 46.0)","(1.65, 2.26, 2.2565217391304344)","(31.0, 99999, 99990)"
07-12-2022 17:45:54.193827,"(4.2, 4.9, 4.7)","(17.0, 30.0, 28.03846153846154)","(51.0, 85.0, 70.0)","(4.8, 5.2, 5.0)","(26.0, 40.0, 39.529411764705884)","(31.0, 48.0, 44.5)","(1.65, 2.26, 2.195555555555556)","(31.0, 99999, 99990)"
07-12-2022 17:45:55.547622,"(4.2, 4.9, 4.785714285714286)","(17.0, 29.0, 28.23076923076923)","(51.0, 85.0, 72.5)","(4.8, 5.5, 4.736923076923077)","(26.0, 40.0, 39.529411764705884)","(31.0, 46.0, 44.5)","(1.65, 2.2, 2.195555555555556)","(31.0, 99999, 99990)"
07-12-2022 17:45:56.731926,"(4.2, 4.8, 4.666666666666666)","(17.0, 32.0, 30.04)","(51.0, 85.0, 72.5)","(4.8, 5.3, 5.2)","(26.0, 40.0, 38.72727272727273)","(31.0, 46.0, 38.5)","(1.65, 2.16, 2.051968503937008)","(31.0, 99999, 99990)"
07-12-2022 17:45:57.870815,"(4.2, 4.8, 4.658823529411764)","(18.0, 32.0, 30.044444444444444)","(51.0, 85.0, 72.5)","(4.8, 5.4, 5.094117647058823)","(26.0, 44.0, 43.111111111111114)","(31.0, 46.0, 42.666666666666664)","(1.65, 2.12, 2.0700000000000003)","(31.0, 99999, 99990)"
07-12-2022 17:45:59.009827,"(4.2, 4.8, 4.658823529411764)","(18.0, 32.0, 30.044444444444444)","(51.0, 85.0, 72.5)","(4.8, 5.3, 5.196153846153846)","(26.0, 42.0, 40.5)","(31.0, 48.0, 44.0)","(1.65, 2.12, 2.0756291390728476)","(31.0, 99999, 99990)"
07-12-2022 17:46:00.305001,"(4.2, 4.8, 4.711111111111111)","(18.0, 32.0, 30.044444444444444)","(51.0, 85.0, 73.33333333333333)","(4.8, 5.3, 5.205263157894737)","(26.0, 42.0, 41.25)","(31.0, 48.0, 45.81818181818181)","(1.65, 2.16, 2.0934146341463418)","(31.0, 99999, 99990)"
07-12-2022 17:46:01.911420,"(4.2, 4.8, 4.753846153846154)","(18.0, 32.0, 30.044444444444444)","(51.0, 80.0, 72.5)","(4.8, 5.3, 5.247058823529412)","(26.0, 42.0, 41.25)","(31.0, 48.0, 45.81818181818181)","(1.65, 2.16, 2.152556237218814)","(31.0, 99999, 99990)"
07-12-2022 17:46:03.301840,"(4.2, 4.9, 4.8388888888888895)","(18.0, 32.0, 30.044444444444444)","(51.0, 75.0, 71.0)","(4.8, 5.3, 4.96)","(26.0, 42.0, 37.714285714285715)","(31.0, 48.0, 42.92307692307692)","(1.65, 2.16, 2.197951807228916)","(31.0, 99999, 99990)"
07-12-2022 17:46:04.640324,"(4.2, 4.8, 4.776)","(18.0, 32.0, 29.130434782608695)","(51.0, 75.0, 71.0)","(4.4, 5.2, 4.96)","(26.0, 42.0, 37.714285714285715)","(31.0, 46.0, 41.625)","(1.7, 2.2, 2.2779775280898873)","(31.0, 99999, 99990)"
07-12-2022 17:46:05.916350,"(4.2, 4.6, 4.59047619047619)","(18.0, 32.0, 29.130434782608695)","(51.0, 90.0, 83.0)","(4.4, 5.1, 4.9799999999999995)","(26.0, 42.0, 37.714285714285715)","(31.0, 44.0, 40.0)","(1.7, 2.28, 2.2779775280898873)","(31.0, 99999, 99990)"
07-12-2022 17:46:07.190658,"(4.2, 4.7, 4.672727272727273)","(18.0, 30.0, 29.529411764705884)","(51.0, 90.0, 80.45454545454545)","(4.4, 5.1, 4.757142857142857)","(26.0, 42.0, 37.714285714285715)","(31.0, 44.0, 39.733333333333334)","(1.7, 2.34, 2.338378378378378)","(31.0, 99999, 99990)"
07-12-2022 17:46:08.445667,"(4.2, 17.0, 12.666666666666668)","(18.0, 65.0, 42.0)","(51.0, 320.0, 183.0)","(4.4, 18.0, 8.48)","(26.0, 65.0, 46.0)","(31.0, 80.0, 64.66666666666667)","(1.7, 2.82, 2.3088888888888888)","(31.0, 99999, 99990)"
07-12-2022 17:46:09.573418,"(4.2, 8.8, 7.536842105263158)","(18.0, 34.0, 19.681818181818183)","(51.0, 190.0, 118.0)","(4.4, 8.8, 6.050000000000001)","(26.0, 46.0, 27.863636363636363)","(31.0, 80.0, 64.66666666666667)","(1.7, 2.84, 2.276)","(31.0, 99999, 99990)"
07-12-2022 17:46:10.736507,"(4.2, 8.8, 7.6000000000000005)","(18.0, 32.0, 22.25)","(51.0, 190.0, 118.0)","(4.4, 8.8, 6.050000000000001)","(26.0, 44.0, 32.666666666666664)","(31.0, 80.0, 64.66666666666667)","(1.7, 2.8, 2.414285714285714)","(31.0, 99999, 99990)"
07-12-2022 17:46:11.984195,"(4.2, 7.8, 7.5777777777777775)","(18.0, 48.0, 31.25)","(51.0, 190.0, 115.0)","(4.4, 6.8, 5.84)","(26.0, 44.0, 26.857142857142858)","(31.0, 80.0, 54.5)","(1.7, 2.64, 2.6782727272727276)","(31.0, 99999, 99990)"
07-12-2022 17:46:13.242569,"(4.2, 7.6, 7.3)","(18.0, 55.0, 34.75)","(51.0, 180.0, 75.0)","(4.4, 6.8, 5.84)","(26.0, 44.0, 35.83333333333333)","(31.0, 75.0, 46.0)","(1.7, 2.68, 2.6778034682080927)","(31.0, 99999, 99990)"
07-12-2022 17:46:14.404949,"(4.2, 7.6, 7.3)","(18.0, 50.0, 26.333333333333336)","(51.0, 180.0, 75.0)","(4.4, 6.8, 5.84)","(26.0, 44.0, 35.83333333333333)","(31.0, 70.0, 46.0)","(1.7, 2.68, 2.6778034682080927)","(31.0, 99999, 99990)"
