,Fast Foils,Four Outlaws,Badonkidonk,Fifth Husband,Bossy Britches,West Cliff,Red Hot Chillypins,Denominator,Haleakala
04-01-2023 14:34:07.596351,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.8428571428571425)","(2.15, 2.4, 2.4435294117647057)","(12.0, 23.0, 20.75)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.5, 9.478571428571428)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 130.0)"
04-01-2023 14:34:08.808860,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.8428571428571425)","(2.15, 2.46, 2.42)","(12.0, 23.0, 20.75)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.5, 9.59)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 130.0)"
04-01-2023 14:34:10.019798,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.0, 3.8923076923076922)","(2.15, 2.46, 2.4447272727272726)","(12.0, 23.0, 22.153846153846153)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.59)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 130.0)"
04-01-2023 14:34:11.220259,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.2, 4.1375)","(2.15, 2.46, 2.4447272727272726)","(12.0, 23.0, 21.058823529411764)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.59)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 130.0)"
04-01-2023 14:34:12.422286,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.3, 4.1375)","(2.15, 2.46, 2.4447272727272726)","(12.0, 23.0, 20.46153846153846)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.59)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 115.71428571428572)"
04-01-2023 14:34:13.663015,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.8428571428571425)","(2.15, 2.46, 2.4447272727272726)","(12.0, 23.0, 20.46153846153846)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.59)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 115.71428571428572)"
04-01-2023 14:34:14.929529,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.8428571428571425)","(2.15, 2.46, 2.4447272727272726)","(12.0, 23.0, 20.46153846153846)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.59)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 115.71428571428572)"
04-01-2023 14:34:16.179804,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.8428571428571425)","(2.15, 2.46, 2.4447272727272726)","(12.0, 23.0, 20.46153846153846)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.59)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 115.71428571428572)"
04-01-2023 14:34:17.423053,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.8428571428571425)","(2.15, 2.46, 2.4447272727272726)","(12.0, 23.0, 20.46153846153846)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.59)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 115.71428571428572)"
04-01-2023 14:34:18.844540,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.8428571428571425)","(2.15, 2.46, 2.351111111111111)","(12.0, 23.0, 20.46153846153846)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.59)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 115.71428571428572)"
