,Willina Girl,Mrs Halo,Pay Roll,Cosmic Belle,Style Sensation,Tralee Revenge
11-01-2023 09:25:39.416054,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:40.638646,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:41.826396,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:42.932652,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:44.066211,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:45.303660,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:46.506713,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:47.738657,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:48.921197,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:50.062066,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:51.177649,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:52.315904,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:53.450374,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:54.633643,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:55.845854,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:56.870301,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:58.176487,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:25:59.324680,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:00.543355,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:01.707980,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:03.053916,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:04.225563,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:05.464027,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:06.587533,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:07.683331,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:08.851495,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:09.986874,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:11.108476,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:12.202843,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:13.332221,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:14.387726,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:15.533132,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:16.732980,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:17.909949,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:19.047482,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:20.291588,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
