,Cosmic Teddy,Soleil,Homebush Flick,Goldstar Velvet,Homebush Matty,Is That Toby,Opawa Glen,Tiger Bill
10-01-2023 09:16:17.880651,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:18.962009,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:20.232189,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:21.411926,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:22.588193,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:23.737079,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:24.777550,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:25.853564,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:26.915807,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:28.012098,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:29.113365,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:30.150592,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:31.211929,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:32.254646,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:33.386661,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:34.567526,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:35.637699,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:36.686457,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:37.718729,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:38.787939,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:39.797199,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:40.852840,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:41.908676,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:42.951379,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:44.026732,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:45.051629,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:46.111577,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:47.146446,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:48.177773,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:49.235593,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:50.317940,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:51.388833,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:52.470451,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:53.498784,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:54.520066,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:55.500694,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:56.548064,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:57.572009,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:58.583267,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:16:59.627365,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:17:00.639199,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
10-01-2023 09:17:01.670098,"(6.5, 26.0, 21.05)","(3.9, 11.5, 7.008333333333333)","(16.0, 120.0, 67.25)","(4.4, 13.5, 7.92)","(4.4, 14.0, 8.18)","(13.0, 70.0, 62.6875)","(4.4, 13.5, 7.92)","(12.0, 60.0, 53.8125)"
