,Cellar Champ,Spitfire,Testing The Cugat,Andros,Magnolia Lass,Miss Athena,More Like That,White Glove Test,Exit To Eden
10-01-2023 13:05:08.711128,"(21.0, 29.0, 25.73913043478261)","(1.65, 1.8, 1.7841935483870968)","(8.5, 12.0, 11.625)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.75)","(101.0, 210.0, 147.5)"
10-01-2023 13:05:10.171990,"(21.0, 29.0, 25.73913043478261)","(1.65, 1.79, 1.7841935483870968)","(8.5, 12.0, 11.625)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.75)","(101.0, 210.0, 147.5)"
10-01-2023 13:05:11.746345,"(21.0, 29.0, 25.73913043478261)","(1.65, 1.79, 1.7841935483870968)","(8.5, 12.0, 11.732142857142858)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.75)","(101.0, 210.0, 147.5)"
10-01-2023 13:05:13.169624,"(21.0, 29.0, 25.73913043478261)","(1.65, 1.79, 1.7841935483870968)","(8.5, 12.0, 11.732142857142858)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.75)","(101.0, 210.0, 147.5)"
10-01-2023 13:05:14.674376,"(21.0, 29.0, 25.73913043478261)","(1.65, 1.79, 1.78375)","(8.5, 12.0, 11.732142857142858)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.75)","(101.0, 210.0, 147.5)"
10-01-2023 13:05:15.978462,"(21.0, 29.0, 25.73913043478261)","(1.65, 1.78, 1.776875)","(8.5, 12.0, 11.732142857142858)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.75)","(101.0, 210.0, 123.33333333333334)"
10-01-2023 13:05:17.286926,"(21.0, 29.0, 25.73913043478261)","(1.65, 1.78, 1.7751282051282051)","(8.5, 12.0, 11.732142857142858)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.642857142857142)","(101.0, 200.0, 104.16666666666667)"
10-01-2023 13:05:18.563014,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.78, 1.7751282051282051)","(8.5, 12.0, 11.732142857142858)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 12.76923076923077)","(101.0, 200.0, 104.16666666666667)"
10-01-2023 13:05:19.832267,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.78, 1.7751282051282051)","(8.5, 12.0, 11.732142857142858)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.09375)","(101.0, 200.0, 104.16666666666667)"
10-01-2023 13:05:21.037179,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.8, 1.7823076923076924)","(8.5, 12.0, 11.6875)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.09375)","(101.0, 200.0, 104.16666666666667)"
10-01-2023 13:05:22.287149,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.8, 1.7823076923076924)","(8.5, 12.0, 11.6875)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.09375)","(101.0, 200.0, 104.16666666666667)"
10-01-2023 13:05:23.571070,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.8, 1.7823166023166024)","(8.5, 12.0, 11.6875)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.09375)","(101.0, 200.0, 104.16666666666667)"
10-01-2023 13:05:24.929496,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.8, 1.7823166023166024)","(8.5, 12.0, 11.6875)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.09375)","(101.0, 200.0, 104.16666666666667)"
10-01-2023 13:05:26.222190,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.8, 1.7823166023166024)","(8.5, 12.0, 11.6875)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.09375)","(101.0, 200.0, 104.16666666666667)"
10-01-2023 13:05:27.544809,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.8, 1.7823166023166024)","(8.5, 12.0, 11.6875)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.09375)","(101.0, 200.0, 104.16666666666667)"
10-01-2023 13:05:28.852132,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.8, 1.7823166023166024)","(8.5, 12.0, 11.6875)","(7.0, 13.5, 12.857142857142858)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.09375)","(101.0, 200.0, 104.16666666666667)"
10-01-2023 13:05:30.143069,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.8, 1.7823166023166024)","(8.5, 12.0, 11.6875)","(7.0, 13.5, 13.153846153846153)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.09375)","(101.0, 200.0, 104.16666666666667)"
