,Verbalizer,Call Me Mo,Bonython,On The Tiles,Ma Mas Rose,Mt Peter Miss,Gaius Julius,Sizzling Sun
08-12-2022 15:50:59.559260,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.9)","(2.6, 2.9, 2.835)","(5.5, 8.6, 7.885714285714285)","(15.0, 32.0, 23.0)","(21.0, 85.0, 72.0)","(10.0, 19.0, 16.15625)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:00.965136,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.9)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.885714285714285)","(15.0, 29.0, 23.0)","(21.0, 85.0, 72.0)","(10.0, 19.0, 16.15625)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:02.355225,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.9)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.885714285714285)","(15.0, 29.0, 23.0)","(21.0, 85.0, 64.0)","(10.0, 19.0, 16.32894736842105)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:03.682774,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.9)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.753846153846154)","(15.0, 29.0, 23.0)","(21.0, 80.0, 60.0)","(10.0, 19.0, 16.32894736842105)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:05.025512,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.9)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.753846153846154)","(15.0, 29.0, 23.0)","(21.0, 80.0, 60.0)","(10.0, 19.0, 16.32894736842105)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:06.344713,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.9)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.753846153846154)","(15.0, 29.0, 23.0)","(21.0, 80.0, 62.5)","(10.0, 19.0, 16.32894736842105)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:07.812288,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.9)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.753846153846154)","(15.0, 29.0, 23.0)","(21.0, 75.0, 62.5)","(10.0, 19.0, 16.32894736842105)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:09.303286,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.9)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.753846153846154)","(15.0, 29.0, 23.0)","(21.0, 75.0, 62.5)","(10.0, 19.0, 16.32894736842105)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:11.011503,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.9)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.753846153846154)","(15.0, 29.0, 23.0)","(21.0, 75.0, 62.5)","(10.0, 19.0, 16.32894736842105)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:12.635455,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.9)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.753846153846154)","(15.0, 29.0, 23.0)","(21.0, 75.0, 62.5)","(10.0, 19.0, 16.32894736842105)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:13.985866,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.9)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.753846153846154)","(15.0, 29.0, 23.0)","(21.0, 75.0, 62.5)","(10.0, 19.0, 16.32894736842105)","(101.0, 290.0, 205.0)"
