,Adrett,Ariana Blue,Detoron,Eternal Flame,Kaya,Khalida,New York Scandal,Real Alliance,Rubikai,Shaime,Shatusla,Your Shout Gingie
12-01-2023 18:44:42.733463,"(19.0, 24.0, 23.810344827586206)","(51.0, 75.0, 67.5)","(4.6, 5.3, 5.067179487179487)","(16.0, 18.5, 18.24175824175824)","(20.0, 25.0, 19.833333333333332)","(26.0, 32.0, 31.931818181818183)","(19.0, 25.0, 24.817073170731707)","(101.0, 650.0, 462.3076923076923)","(4.8, 5.6, 5.584756097560975)","(2.3, 2.68, 2.6672924187725635)","(71.0, 120.0, 113.33333333333333)","(61.0, 110.0, 104.0)"
12-01-2023 18:44:44.413790,"(19.0, 24.0, 23.810344827586206)","(51.0, 70.0, 65.29411764705883)","(4.6, 5.1, 5.043523316062176)","(16.0, 18.5, 18.671717171717173)","(20.0, 20.0, 18.486666666666668)","(26.0, 32.0, 31.634408602150536)","(19.0, 25.0, 24.805194805194805)","(101.0, 490.0, 463.3333333333333)","(4.8, 5.6, 5.479555555555556)","(2.3, 2.68, 2.7487)","(71.0, 120.0, 106.25)","(61.0, 110.0, 104.44444444444444)"
12-01-2023 18:44:46.107137,"(18.0, 25.0, 23.79245283018868)","(51.0, 70.0, 67.65625)","(4.6, 5.1, 5.024299065420561)","(16.0, 19.0, 18.729357798165136)","(21.0, 18.5, 20.611510791366907)","(26.0, 32.0, 31.721311475409838)","(19.0, 25.0, 24.924242424242426)","(101.0, 490.0, 463.3333333333333)","(4.8, 5.5, 5.293046357615894)","(2.3, 2.76, 2.7582389937106915)","(71.0, 110.0, 106.66666666666667)","(61.0, 120.0, 101.25)"
12-01-2023 18:44:47.790762,"(18.0, 24.0, 23.5625)","(51.0, 70.0, 67.42857142857143)","(4.6, 5.1, 5.025714285714286)","(16.0, 19.0, 18.910810810810812)","(21.0, 21.0, 20.553398058252426)","(26.0, 32.0, 31.68503937007874)","(19.0, 25.0, 24.81045751633987)","(101.0, 490.0, 446.6666666666667)","(4.8, 5.3, 5.323762376237624)","(2.3, 2.76, 2.742718446601942)","(71.0, 110.0, 106.66666666666667)","(61.0, 110.0, 102.0)"
12-01-2023 18:44:49.251696,"(18.0, 24.0, 23.5625)","(51.0, 70.0, 67.42857142857143)","(4.4, 5.1, 5.025714285714286)","(16.0, 19.0, 18.910810810810812)","(20.0, 21.0, 20.553398058252426)","(26.0, 32.0, 31.68503937007874)","(19.0, 26.0, 24.81045751633987)","(101.0, 490.0, 446.6666666666667)","(4.8, 5.4, 5.322222222222222)","(2.3, 2.76, 2.7350270270270274)","(71.0, 110.0, 106.92307692307692)","(61.0, 110.0, 104.64285714285714)"
12-01-2023 18:44:50.855979,"(18.0, 24.0, 23.906976744186046)","(51.0, 70.0, 68.30188679245283)","(4.4, 5.1, 5.06)","(16.0, 19.0, 18.773504273504273)","(20.0, 21.0, 20.68944099378882)","(26.0, 34.0, 31.8018018018018)","(19.0, 26.0, 24.829268292682926)","(101.0, 490.0, 480.90909090909093)","(4.8, 5.4, 5.3765432098765435)","(2.3, 2.74, 2.7319457013574664)","(71.0, 110.0, 106.42857142857143)","(61.0, 110.0, 102.74193548387098)"
12-01-2023 18:44:52.412325,"(18.0, 24.0, 23.886363636363637)","(51.0, 70.0, 67.90697674418604)","(4.4, 5.2, 5.112446958981612)","(16.0, 19.0, 18.719298245614034)","(20.0, 21.0, 20.75)","(26.0, 32.0, 31.923076923076923)","(19.0, 25.0, 24.829268292682926)","(101.0, 490.0, 480.90909090909093)","(4.8, 5.4, 5.361025641025641)","(2.3, 2.74, 2.7111016949152544)","(71.0, 110.0, 106.875)","(61.0, 110.0, 101.36363636363636)"
12-01-2023 18:44:53.926359,"(18.0, 24.0, 23.783783783783782)","(51.0, 70.0, 67.90697674418604)","(4.4, 5.2, 5.128913963328632)","(16.0, 19.0, 18.75423728813559)","(20.0, 21.0, 20.639344262295083)","(26.0, 32.0, 31.880597014925375)","(19.0, 25.0, 24.81081081081081)","(101.0, 490.0, 480.90909090909093)","(4.8, 5.4, 5.349539170506913)","(2.3, 2.72, 2.6902117647058823)","(71.0, 110.0, 106.5909090909091)","(61.0, 110.0, 96.78571428571429)"
12-01-2023 18:44:55.530164,"(18.0, 24.0, 23.475)","(51.0, 70.0, 67.56756756756756)","(4.4, 5.2, 5.128913963328632)","(16.0, 19.0, 18.75423728813559)","(19.0, 21.0, 20.639344262295083)","(26.0, 32.0, 34.034188034188034)","(19.0, 25.0, 26.12121212121212)","(101.0, 490.0, 482.5)","(4.8, 5.4, 5.3695335276967935)","(2.3, 2.7, 2.690794451450189)","(61.0, 110.0, 106.42857142857143)","(61.0, 100.0, 97.06896551724138)"
12-01-2023 18:44:57.034978,"(18.0, 24.0, 23.727272727272727)","(51.0, 70.0, 68.26923076923077)","(4.4, 5.2, 5.146320868516285)","(16.0, 19.0, 18.93)","(19.0, 22.0, 21.16393442622951)","(26.0, 36.0, 32.60377358490566)","(19.0, 27.0, 27.182795698924732)","(101.0, 490.0, 482.5)","(4.8, 5.4, 5.368485915492958)","(2.3, 2.7, 2.6371604938271607)","(61.0, 110.0, 107.5)","(61.0, 100.0, 92.75862068965517)"
