,Smash Devil,Zipping Chassis,Know Account,Opawa Duchess,Silky Adobe,Go Ivy,Goldstar Austin,Know Grizzles
06-01-2023 09:07:56.199951,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:07:57.236345,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:07:58.290723,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:07:59.348707,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:00.524712,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:01.572460,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:02.607622,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:03.694637,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:04.724395,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:05.794817,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
